Sample_ID,Species,Species_ID,Root_complexity,Nroot
LA7339,L. Aequinoctialis,LA7339,5,2
LJ9250,L. Japonica,LJ9250,5,1.478333333
LM7123,L. Minor,LM7123,5.75,1.285714286
LM7200,L. Minuta,LM7200,6.75,1
LP0049,L. Punctuata,LP0049,5,1.946666667
LP7760,L. Punctuata,LP7760,5.2,2.266666667
LP8539,L. Perpusilla,LP8539,5.25,1
LT9109,L. Turionifera,LT9109,5,1
LT9243,L. Tenera,LT9243,5.4,1
LV7650,L. Valdiviana,LV7650,5.6,1
LY5280,L. Yungensis,LY5280,5.8,1
PS,P. Statiotes,PS,7.6,5.8
SI7820,S. Intermedia,SI7820,7.333333333,2.893333333
SI9227,S. Intermedia,SI9227,6,3.12
SP5543,S. Polyrrhiza,SP5543,6.8,2.406666667
SP7498,S. Polyrrhiza,SP7498,5.8,2.82
SP9509,S. Polyrrhiza,SP9509,6,2.341666667
SP9192,S. Polyrrhiza,SP9192,6.6,3.473333333
