	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P03.bc89	P2	bc89	3	12	A	A12	R106	Root	Spirodela_Intermedia_7820	1	SI7820	6	3.5	106
P01.bc88	P1	bc88	1	11	H	H11	R107	Root	Spirodela_Intermedia_7820	2	SI7820	7	3.6	107
P02.bc54	P2	bc54	2	7	F	F7	R108	Root	Spirodela_Intermedia_7820	3	SI7820	7	2	108
P04.bc12	P4	bc12	4	2	D	D2	R109	Root	Spirodela_Intermedia_7820	4	SI7820	7	3	109
P02.bc6	P2	bc6	2	1	F	F1	R110	Root	Spirodela_Intermedia_7820	5	SI7820	7	2	110
P02.bc76	P2	bc76	2	10	D	D10	R111	Root	Spirodela_Intermedia_9227	1	SI9227	7	2.75	111
P02.bc39	P2	bc39	2	5	G	G5	R112	Root	Spirodela_Intermedia_9227	2	SI9227	8	3	112
P03.bc39	P2	bc39	3	5	G	G5	R113	Root	Spirodela_Intermedia_9227	3	SI9227	8	1.866666667	113
P02.bc19	P2	bc19	2	3	C	C3	R114	Root	Spirodela_Intermedia_9227	4	SI9227	7	2.25	114
P01.bc53	P1	bc53	1	7	E	E7	R115	Root	Spirodela_Intermedia_9227	5	SI9227	8	4.6	115
P01.bc55	P1	bc55	1	7	G	G7	R116	Root	Spirodela_polyrhiza_9509	1	SP9509	7	2.666666667	116
P04.bc23	P4	bc23	4	3	G	G3	R117_(2)	Root	Spirodela_polyrhiza_9509	2	SP9509	7	4.75	117
P02.bc89	P2	bc89	2	12	A	A12	R118	Root	Spirodela_polyrhiza_9509	3	SP9509	7	4.2	118
P03.bc76	P2	bc76	3	10	D	D10	R119	Root	Spirodela_polyrhiza_9509	4	SP9509	7	2.5	119
P01.bc4	P1	bc4	1	1	D	D1	R120	Root	Spirodela_polyrhiza_9509	5	SP9509	7	3.25	120
P02.bc38	P2	bc38	2	5	F	F5	R121	Root	Spirodela_polyrhiza_5543	1	SP5543	7	4	121
P01.bc27	P1	bc27	1	4	C	C4	R122	Root	Spirodela_polyrhiza_5543	2	SP5543	6	3	122
P01.bc25	P1	bc25	1	4	A	A4	R123	Root	Spirodela_polyrhiza_5543	3	SP5543	7	2.2	123
P03.bc50	P2	bc50	3	7	B	B7	R124	Root	Spirodela_polyrhiza_5543	4	SP5543	6	3.4	124
P03.bc26	P2	bc26	3	4	B	B4	R125	Root	Spirodela_polyrhiza_5543	5	SP5543	7	3	125
P01.bc16	P1	bc16	1	2	H	H2	R126	Root	Spirodela_polyrhiza_7498	1	SP7498	7	4.333333333	126
P01.bc85	P1	bc85	1	11	E	E11	R127	Root	Spirodela_polyrhiza_7498	2	SP7498	7	2.2	127
P03.bc25	P2	bc25	3	4	A	A4	R128	Root	Spirodela_polyrhiza_7498	3	SP7498	7	2	128
P03.bc16	P2	bc16	3	2	H	H2	R129	Root	Spirodela_polyrhiza_7498	4	SP7498	8	2.5	129
P03.bc77	P2	bc77	3	10	E	E10	R130	Root	Spirodela_polyrhiza_7498	5	SP7498	7	1	130
P01.bc71	P1	bc71	1	9	G	G9	R131	Root	Spirodela_polyrhiza_9192	1	SP9192	7	2.666666667	131
P03.bc43	P2	bc43	3	6	C	C6	R132	Root	Spirodela_polyrhiza_9192	2	SP9192	6	2.5	134
P04.bc14	P4	bc14	4	2	F	F2	R133	Root	Spirodela_polyrhiza_9192	3	SP9192	7	2.875	133
P03.bc44	P2	bc44	3	6	D	D6	R134	Root	Spirodela_polyrhiza_9192	4	SP9192	8	1	134
P03.bc6	P2	bc6	3	1	F	F1	R135	Root	Spirodela_polyrhiza_9192	5	SP9192	5	2.666666667	135
P01.bc81	P1	bc81	1	11	A	A11	R136	Root	Londoltia_Punctata_7760	1	LP7760	6	1.666666667	136
P03.bc59	P2	bc59	3	8	C	C8	R137	Root	Londoltia_Punctata_7760	2	LP7760	6	3.666666667	137
P01.bc18	P1	bc18	1	3	B	B3	R138	Root	Londoltia_Punctata_7760	3	LP7760	6	1	138
P02.bc28	P2	bc28	2	4	D	D4	R140	Root	Londoltia_Punctata_7760	4	LP7760	6	3	140
P03.bc73	P2	bc73	3	10	A	A10	R141	Root	Londoltia_Punctata_0049	1	LP0049	5	2	141
P02.bc15	P2	bc15	2	2	G	G2	R142	Root	Londoltia_Punctata_0049	2	LP0049	5	1.8	142
P01.bc14	P1	bc14	1	2	F	F2	R143	Root	Londoltia_Punctata_0049	3	LP0049	5	2.333333333	143
P02.bc70	P2	bc70	2	9	F	F9	R144	Root	Londoltia_Punctata_0049	4	LP0049	5	1	144
P01.bc37	P1	bc37	1	5	E	E5	R145	Root	Londoltia_Punctata_0049	5	LP0049	6	2.6	145
P02.bc20	P2	bc20	2	3	D	D3	R146	Root	Lemna_Turionifera_9109	1	LT9109	6	1	146
P02.bc18	P2	bc18	2	3	B	B3	R147	Root	Lemna_Turionifera_9109	2	LT9109	5	1	147
P01.bc15	P1	bc15	1	2	G	G2	R148	Root	Lemna_Turionifera_9109	3	LT9109	5	1	148
P01.bc29	P1	bc29	1	4	E	E4	R149	Root	Lemna_Turionifera_9109	4	LT9109	5	1	149
P03.bc70	P2	bc70	3	9	F	F9	R150	Root	Lemna_Turionifera_9109	5	LT9109	5	1	150
P03.bc57	P2	bc57	3	8	A	A8	R151	Root	Lemna_Japonica_9250	1	LJ9250	5	1.6	151
P03.bc27	P2	bc27	3	4	C	C4	R152	Root	Lemna_Japonica_9250	2	LJ9250	6	1	152
P04.bc9	P4	bc9	4	2	A	A2	R153	Root	Lemna_Japonica_9250	3	LJ9250	5	2.75	153
P03.bc41	P2	bc41	3	6	A	A6	R154	Root	Lemna_Japonica_9250	4	LJ9250	6	0.875	154
