"ID" "Species" "Root" "Compartment" "Sample" "Complexity" "Shannon" "Observed" "Simpson" "Chao1" "Specie"
"P01.bc10" "SI9227_Low_SR" "SI9227" "Low" "SR" 2 7.6 1.34392189441019 27 0.638015231372641 27 "SI9227"
"P01.bc11" "SI9227_Low_SR" "SI9227" "Low" "SR" 3 7.6 1.30889549033825 34 0.571042127610666 34 "SI9227"
"P01.bc13" "SI9227_Low_SR" "SI9227" "Low" "SR" 5 7.6 1.25979837371186 20 0.619201632386038 20 "SI9227"
"P01.bc17" "LP8539_High_SR" "LP8539" "High" "SR" 1 5 1.08522089217359 5 0.637283457340631 5 "LP8539"
"P01.bc18" "LP8539_Low_SR" "LP8539" "Low" "SR" 2 5 0 1 0 1 "LP8539"
"P01.bc19" "LP8539_Low_SR" "LP8539" "Low" "SR" 3 5 1.2711528067373 22 0.612630771645921 22 "LP8539"
"P01.bc20" "LP8539_Low_SR" "LP8539" "Low" "SR" 4 5 1.32518968663715 28 0.603846814050479 28 "LP8539"
"P01.bc21" "LP8539_Low_SR" "LP8539" "Low" "SR" 5 5 1.48536957671951 49 0.643963347793391 49 "LP8539"
"P01.bc25" "LJ9250_Low_SR" "LJ9250" "Low" "SR" 1 5.33 1.0532563583803 4 0.632404958677686 4 "LJ9250"
"P01.bc27" "LJ9250_Low_SR" "LJ9250" "Low" "SR" 3 5.33 1.05833913528929 3 0.638468127991938 3 "LJ9250"
"P01.bc28" "LJ9250_Low_SR" "LJ9250" "Low" "SR" 4 5.33 1.03271193693065 3 0.62744140625 3 "LJ9250"
"P01.bc29" "LJ9250_Low_SR" "LJ9250" "Low" "SR" 5 5.33 0.703664547568162 3 0.410115960608356 3 "LJ9250"
"P01.bc33" "SP7498_Low_SR" "SP7498" "Low" "SR" 1 7.25 1.28600066349067 27 0.61842248754841 27 "SP7498"
"P01.bc34" "SP7498_Low_SR" "SP7498" "Low" "SR" 2 7.25 1.35249882866369 23 0.649830884907924 23 "SP7498"
"P01.bc35" "SP7498_Low_SR" "SP7498" "Low" "SR" 3 7.25 1.33086236060424 21 0.658584484728695 21 "SP7498"
"P01.bc36" "SP7498_Low_SR" "SP7498" "Low" "SR" 4 7.25 1.13818346938454 9 0.629191116127649 9 "SP7498"
"P01.bc37" "SP7498_Low_SR" "SP7498" "Low" "SR" 5 7.25 1.22520469608879 12 0.651470522300046 12 "SP7498"
"P01.bc41" "LA7339_Low_SR" "LA7339" "Low" "SR" 1 5 1.57521653731344 57 0.675611402947819 57 "LA7339"
"P01.bc42" "LA7339_Low_SR" "LA7339" "Low" "SR" 2 5 1.35815992560256 22 0.657900911663676 22 "LA7339"
"P01.bc43" "LA7339_Low_SR" "LA7339" "Low" "SR" 3 5 1.1694392933562 8 0.656207990315745 8 "LA7339"
"P01.bc44" "LA7339_Low_SR" "LA7339" "Low" "SR" 4 5 1.09890405929727 5 0.636857322607677 5 "LA7339"
"P01.bc45" "LA7339_Low_SR" "LA7339" "Low" "SR" 5 5 1.32653984890652 17 0.668360786429814 17 "LA7339"
"P01.bc50" "SP9509_Low_SR" "SP9509" "Low" "SR" 2 7 1.13675149800803 6 0.65319685928136 6 "SP9509"
"P01.bc51" "SP9509_Low_SR" "SP9509" "Low" "SR" 3 7 0.924757721890008 3 0.541612723520781 3 "SP9509"
"P01.bc52" "SP9509_Low_SR" "SP9509" "Low" "SR" 4 7 0.829125615014157 3 0.525826446280992 3 "SP9509"
"P01.bc53" "SP9509_Low_SR" "SP9509" "Low" "SR" 5 7 0.816461218210202 3 0.495200259924386 3 "SP9509"
"P01.bc57" "LP0049_Low_SR" "LP0049" "Low" "SR" 1 5.2 1.27762739515728 14 0.658343064614903 14 "LP0049"
"P01.bc58" "LP0049_Low_SR" "LP0049" "Low" "SR" 2 5.2 1.23808512954301 11 0.666659986112865 11 "LP0049"
"P01.bc59" "LP0049_Low_SR" "LP0049" "Low" "SR" 3 5.2 1.12893048649943 5 0.659249006792259 5 "LP0049"
"P01.bc60" "LP0049_Low_SR" "LP0049" "Low" "SR" 4 5.2 1.15062613778086 5 0.670193510096275 5 "LP0049"
"P01.bc61" "LP0049_Low_SR" "LP0049" "Low" "SR" 5 5.2 0.997703576409867 5 0.600639795462241 5 "LP0049"
"P01.bc65" "SI7820_Low_SR" "SI7820" "Low" "SR" 1 6.8 1.37244735912651 26 0.660794633281804 26 "SI7820"
"P01.bc66" "SI7820_Low_SR" "SI7820" "Low" "SR" 2 6.8 1.7780186201015 88 0.687146506464588 88 "SI7820"
"P01.bc67" "SI7820_Low_SR" "SI7820" "Low" "SR" 3 6.8 1.33397203607334 18 0.679213392895182 18 "SI7820"
"P01.bc68" "SI7820_Low_SR" "SI7820" "Low" "SR" 4 6.8 1.12741587392604 5 0.648223802133585 5 "SI7820"
"P01.bc73" "LT9243_Low_SR" "LT9243" "Low" "SR" 1 6.2 1.24154204453245 22 0.590268474450202 22 "LT9243"
"P01.bc74" "LT9243_Low_SR" "LT9243" "Low" "SR" 2 6.2 1.44700983893165 32 0.670756569226652 32 "LT9243"
"P01.bc75" "LT9243_Low_SR" "LT9243" "Low" "SR" 3 6.2 1.48251512402461 37 0.684965996994207 37 "LT9243"
"P01.bc76" "LT9243_Low_SR" "LT9243" "Low" "SR" 4 6.2 1.3343952019426 30 0.617346022405112 30 "LT9243"
"P01.bc77" "LT9243_Low_SR" "LT9243" "Low" "SR" 5 6.2 0.797247822900586 3 0.523148148148148 3 "LT9243"
"P01.bc81" "Control_Low_SR" "Control" "Low" "SR" 1 NA 1.45283181726647 40 0.64936178726529 40 "Control"
"P01.bc82" "Control_Low_SR" "Control" "Low" "SR" 2 NA 1.5088498051418 36 0.694068649239214 36 "Control"
"P01.bc83" "Control_Low_SR" "Control" "Low" "SR" 3 NA 1.38202534450799 23 0.690834378283884 23 "Control"
"P01.bc84" "Control_Low_SR" "Control" "Low" "SR" 4 NA 1.19664823084384 22 0.529635080502909 22 "Control"
"P01.bc85" "Control_Low_SR" "Control" "Low" "SR" 5 NA 1.2400820006258 18 0.634996428497395 18 "Control"
"P02.bc10" "SI9227_Medium_SR" "SI9227" "Medium" "SR" 2 7.6 1.2101015064698 28 0.590254812096918 28 "SI9227"
"P02.bc11" "SI9227_Medium_SR" "SI9227" "Medium" "SR" 3 7.6 1.24975499559299 16 0.652694039993602 16 "SI9227"
"P02.bc12" "SI9227_Medium_SR" "SI9227" "Medium" "SR" 4 7.6 0.82967861140939 3 0.472897904216817 3 "SI9227"
"P02.bc13" "SI9227_Medium_SR" "SI9227" "Medium" "SR" 5 7.6 0.921156770631775 7 0.463824948281904 7 "SI9227"
"P02.bc18" "LP8539_Medium_SR" "LP8539" "Medium" "SR" 2 5 1.21474924056311 31 0.54930485313659 31 "LP8539"
"P02.bc20" "LP8539_Medium_SR" "LP8539" "Medium" "SR" 4 5 1.03916010588247 12 0.545818517472787 12 "LP8539"
"P02.bc21" "LP8539_Medium_SR" "LP8539" "Medium" "SR" 5 5 1.25314048252588 24 0.622457164669387 24 "LP8539"
"P02.bc25" "LJ9250_Medium_SR" "LJ9250" "Medium" "SR" 1 5.33 0.994265490028415 23 0.448195944895635 23 "LJ9250"
"P02.bc27" "LJ9250_Medium_SR" "LJ9250" "Medium" "SR" 3 5.33 1.03352250526311 16 0.530595120022184 16 "LJ9250"
"P02.bc28" "LJ9250_Medium_SR" "LJ9250" "Medium" "SR" 4 5.33 0.990583957101622 10 0.486248226684181 10 "LJ9250"
"P02.bc33" "SP7498_Medium_SR" "SP7498" "Medium" "SR" 1 7.25 1.24889301567412 44 0.540096707721955 44 "SP7498"
"P02.bc34" "SP7498_Medium_SR" "SP7498" "Medium" "SR" 2 7.25 1.28175216985926 19 0.594926295505227 19 "SP7498"
"P02.bc36" "SP7498_Medium_SR" "SP7498" "Medium" "SR" 4 7.25 1.07583763246015 19 0.455033124473916 19 "SP7498"
"P02.bc37" "SP7498_Medium_SR" "SP7498" "Medium" "SR" 5 7.25 1.29951557713756 10 0.675850083041531 10 "SP7498"
"P02.bc41" "LA7339_Medium_SR" "LA7339" "Medium" "SR" 1 5 1.31334104671203 47 0.557111898060784 47 "LA7339"
"P02.bc42" "LA7339_Medium_SR" "LA7339" "Medium" "SR" 2 5 0 1 0 1 "LA7339"
