"Microbiome" "Compound" "Dosis" "ID" "Well" "Verde" "Amarillo" "Blanco" "Total" "Healthy" "Stressed" "Dead"
"1" "NB" "NB" "NB" "NB" 1 2 4 1 7 28.57142857 57.14285714 14.28571429
"2" "NB" "NB" "NB" "NB" 2 0 2 3 5 0 40 60
"3" "NB" "NB" "NB" "NB" 3 3 5 1 9 33.33333333 55.55555556 11.11111111
"4" "NB" "NB" "NB" "NB" 4 3 4 1 8 37.5 50 12.5
"5" "Syncom" "Syncom" "Syncom" "Syncom" 1 1 6 4 11 9.090909091 54.54545455 36.36363636
"6" "Syncom" "Syncom" "Syncom" "Syncom" 2 3 3 6 12 25 25 50
"7" "Syncom" "Syncom" "Syncom" "Syncom" 3 1 3 5 9 11.11111111 33.33333333 55.55555556
"8" "Syncom" "Syncom" "Syncom" "Syncom" 4 1 3 4 8 12.5 37.5 50
"9" "Syncom" "C4" "25" "C4_25" 1 2 0 6 8 25 0 75
"10" "Syncom" "C4" "25" "C4_25" 2 2 2 2 6 33.33333333 33.33333333 33.33333333
"11" "Syncom" "C4" "25" "C4_25" 3 2 0 6 8 25 0 75
"12" "Syncom" "C4" "25" "C4_25" 4 2 2 2 6 33.33333333 33.33333333 33.33333333
"13" "Syncom" "C4" "50" "C4_50" 1 1 4 1 6 16.66666667 66.66666667 16.66666667
"14" "Syncom" "C4" "50" "C4_50" 2 0 4 4 8 0 50 50
"15" "Syncom" "C4" "50" "C4_50" 3 6 1 4 11 54.54545455 9.090909091 36.36363636
"16" "Syncom" "C4" "50" "C4_50" 4 1 2 0 3 33.33333333 66.66666667 0
"17" "Syncom" "C4" "75" "C4_75" 1 1 2 5 8 12.5 25 62.5
"18" "Syncom" "C4" "75" "C4_75" 2 1 2 4 7 14.28571429 28.57142857 57.14285714
"19" "Syncom" "C4" "75" "C4_75" 3 1 0 6 7 14.28571429 0 85.71428571
"20" "Syncom" "C4" "75" "C4_75" 4 1 5 3 9 11.11111111 55.55555556 33.33333333
"21" "Syncom" "C5" "25" "C5_25" 1 1 3 4 8 12.5 37.5 50
"22" "Syncom" "C5" "25" "C5_25" 2 1 2 3 6 16.66666667 33.33333333 50
"23" "Syncom" "C5" "25" "C5_25" 3 3 0 5 8 37.5 0 62.5
"24" "Syncom" "C5" "25" "C5_25" 4 2 1 1 4 50 25 25
"25" "Syncom" "C5" "50" "C5_50" 1 1 3 4 8 12.5 37.5 50
"26" "Syncom" "C5" "50" "C5_50" 2 1 0 4 5 20 0 80
"27" "Syncom" "C5" "50" "C5_50" 3 2 4 2 8 25 50 25
"28" "Syncom" "C5" "50" "C5_50" 4 1 2 4 7 14.28571429 28.57142857 57.14285714
"29" "Syncom" "C5" "75" "C5_75" 1 0 0 1 1 0 0 100
"30" "Syncom" "C5" "75" "C5_75" 2 0 0 1 1 0 0 100
"31" "Syncom" "C5" "75" "C5_75" 3 0 0 1 1 0 0 100
"32" "Syncom" "C5" "75" "C5_75" 4 0 0 1 1 0 0 100
