"ID" "Roots_number" "Plant_number" "root_plant" "Dead" "Species" "Treatment" "Replicates"
"31" 6 16 4 4 0 "SP7820" "No-Microbiome" 1
"84" 7 12 3 4 0 "SP7820" "No-Microbiome" 2
"186" 8 16 4 4 0 "SP7820" "No-Microbiome" 3
"91" 9 13 3 4.333333333 0 "SP7820" "No-Microbiome" 4
"39" 10 4 4 1 0 "SP7820" "No-Microbiome" 5
"42" 11 33 6 5.5 12.5 "SI9227" "No-Microbiome" 1
"47" 12 10 3 3.333333333 4.545454545 "SI9227" "No-Microbiome" 2
"5" 13 24 10 2.4 5.555555556 "SI9227" "No-Microbiome" 3
"107" 14 30 4 7.5 0 "SI9227" "No-Microbiome" 4
"112" 15 38 5 7.6 5.263157895 "SI9227" "No-Microbiome" 5
"155" 16 16 4 4 0 "SP9509" "No-Microbiome" 1
"117" 17 6 4 1.5 0 "SP9509" "No-Microbiome" 2
"161" 18 12 4 3 0 "SP9509" "No-Microbiome" 3
"68" 19 12 4 3 0 "SP9509" "No-Microbiome" 4
"125" 20 10 3 3.333333333 0 "SP9509" "No-Microbiome" 5
"74" 21 17 4 4.25 5.555555556 "SP5543" "No-Microbiome" 1
"126" 22 15 4 3.75 0 "SP5543" "No-Microbiome" 2
"167" 23 15 4 3.75 0 "SP5543" "No-Microbiome" 3
"127" 24 17 7 2.428571429 0 "SP5543" "No-Microbiome" 4
"21" 25 19 8 2.375 10 "SP5543" "No-Microbiome" 5
"128" 26 13 4 3.25 0 "SP7498" "No-Microbiome" 1
"168" 27 8 3 2.666666667 3.03030303 "SP7498" "No-Microbiome" 2
"129" 28 8 3 2.666666667 8.333333333 "SP7498" "No-Microbiome" 3
"22" 29 13 6 2.166666667 6.060606061 "SP7498" "No-Microbiome" 4
"169" 30 16 5 3.2 0 "SP7498" "No-Microbiome" 5
"130" 31 4 4 1 0 "SP9192" "No-Microbiome" 1
"75" 32 11 8 1.375 4.651162791 "SP9192" "No-Microbiome" 2
"131" 33 7 3 2.333333333 7.692307692 "SP9192" "No-Microbiome" 3
"132" 34 8 3 2.666666667 0 "SP9192" "No-Microbiome" 4
"76" 35 3 3 1 0 "SP9192" "No-Microbiome" 5
"133" 36 13 5 2.6 0 "LP7760" "No-Microbiome" 1
"170" 37 13 5 2.6 0 "LP7760" "No-Microbiome" 2
"23" 38 5 5 1 0 "LP7760" "No-Microbiome" 3
"171" 39 8 4 2 0 "LP7760" "No-Microbiome" 4
"24" 40 22 9 2.444444444 0 "LP7760" "No-Microbiome" 5
"25" 41 5 5 1 0 "LP0049" "No-Microbiome" 1
"26" 42 5 5 1 0 "LP0049" "No-Microbiome" 2
"27" 43 5 5 1 0 "LP0049" "No-Microbiome" 3
"28" 44 6 6 1 0 "LP0049" "No-Microbiome" 4
"134" 45 7 7 1 0 "LP0049" "No-Microbiome" 5
"172" 46 10 9 1.111111111 0 "LT9109" "No-Microbiome" 1
"135" 47 5 5 1 0 "LT9109" "No-Microbiome" 2
"77" 48 12 5 2.4 2.564102564 "LT9109" "No-Microbiome" 3
"29" 49 5 5 1 0 "LT9109" "No-Microbiome" 4
"136" 50 7 7 1 0 "LT9109" "No-Microbiome" 5
"30" 51 9 8 1.125 0 "LJ9250" "No-Microbiome" 1
"78" 52 7 7 1 8.333333333 "LJ9250" "No-Microbiome" 2
"173" 53 4 4 1 5 "LJ9250" "No-Microbiome" 3
"174" 54 5 5 1 0 "LJ9250" "No-Microbiome" 4
"137" 55 5 5 1 0 "LJ9250" "No-Microbiome" 5
"175" 56 6 6 1 0 "LM7123" "No-Microbiome" 1
"138" 57 10 5 2 6.666666667 "LM7123" "No-Microbiome" 2
"79" 58 6 6 1 5.555555556 "LM7123" "No-Microbiome" 3
"80" 59 7 7 1 0 "LM7123" "No-Microbiome" 4
"81" 60 6 6 1 0 "LM7123" "No-Microbiome" 5
"82" 61 3 3 1 0 "LM8389" "No-Microbiome" 1
"139" 62 5 5 1 8.333333333 "LM8389" "No-Microbiome" 2
"32" 63 8 6 1.333333333 0 "LM8389" "No-Microbiome" 3
"176" 64 8 7 1.142857143 0 "LM8389" "No-Microbiome" 4
"83" 65 3 3 1 0 "LM8389" "No-Microbiome" 5
"177" 66 9 4 2.25 0 "LV7650" "No-Microbiome" 1
"178" 67 10 4 2.5 0 "LV7650" "No-Microbiome" 2
"179" 68 8 4 2 0 "LV7650" "No-Microbiome" 3
"180" 69 6 3 2 12.5 "LV7650" "No-Microbiome" 4
"33" 70 6 4 1.5 0 "LV7650" "No-Microbiome" 5
"181" 71 10 5 2 11.11111111 "LY5280" "No-Microbiome" 1
"182" 72 7 4 1.75 21.73913043 "LY5280" "No-Microbiome" 2
"34" 73 4 4 1 5.882352941 "LY5280" "No-Microbiome" 3
"183" 74 10 5 2 25 "LY5280" "No-Microbiome" 4
"85" 75 5 5 1 14.28571429 "LY5280" "No-Microbiome" 5
"184" 76 6 6 1 12.5 "LM7200" "No-Microbiome" 1
"35" 77 4 4 1 28 "LM7200" "No-Microbiome" 2
"36" 78 4 4 1 15.78947368 "LM7200" "No-Microbiome" 3
