"ID" "Species" "Treatment" "Replicates" "Day_0" "Day_3" "Day_5" "Day_7" "Day_12" "Day_14" "Day_17" "Day_19" "Day_21" "Day_25" "Max" "Tfmax" "derivada_Total_vel" "derivada_Initial_vel" "Total_vel" "Initial_vel"
"6" 6 "SP7820" "No-Microbiome" 1 1 1.409979447 1.575739422 2.113115622 2.656834818 2.653579227 3.010660431 2.872185101 3.200043099 3.265535116 3.265535116 25 10.03303022 6.323174999 0.099670785 0.158148399
"7" 7 "SP7820" "No-Microbiome" 2 1 1.43773562 1.878571227 2.154495171 2.674334517 2.72463087 2.837201217 2.92864028 2.831446107 3.486915193 3.486915193 25 10.48380962 5.871662461 0.095385174 0.170309517
"8" 8 "SP7820" "No-Microbiome" 3 1 2.058312839 2.757251958 3.323918103 3.938827544 3.907140172 4.399646238 4.896367596 4.557370858 5.581628817 5.581628817 25 5.804641336 2.980236152 0.172275933 0.335543879
"9" 9 "SP7820" "No-Microbiome" 4 1 1.428912929 1.461430426 1.73880267 2.281040426 2.336811433 2.435195397 2.488568993 2.697261621 2.369079489 2.697261621 21 12.41011637 9.514180472 0.080579422 0.105106268
"10" 10 "SP7820" "No-Microbiome" 5 1 1.599453989 1.794842987 1.891835437 2.486558654 2.946861435 3.429169063 3.117196061 3.411957895 3.892247132 3.892247132 25 8.641139296 7.173361488 0.115725481 0.139404657
"11" 11 "SI9227" "No-Microbiome" 1 1 1.550614796 2.04151937 1.935821379 2.259334493 2.751565496 3.002754346 2.839700406 2.782876965 3.670848526 3.670848526 25 10.22647031 5.900896514 0.09778545 0.169465775
"12" 12 "SI9227" "No-Microbiome" 2 1 1.098691634 1.30229062 1.872260071 1.914069658 2.230560073 2.246962357 2.381578297 2.745200527 2.992826696 2.992826696 25 12.0611246 6.872981337 0.082911008 0.145497267
"13" 13 "SI9227" "No-Microbiome" 3 1 1.426314193 1.409034539 1.61709959 2.100776557 2.081484298 2.575732235 2.776676497 3.171262137 3.588005603 3.588005603 25 9.796299786 10.85199108 0.102079359 0.092148988
"14" 14 "SI9227" "No-Microbiome" 4 1 0.924893526 1.526674158 1.520780822 2.430905988 2.397066834 2.482845388 2.962116674 2.620903534 3.474576747 3.474576747 25 9.501782225 7.57284615 0.105243414 0.132050748
"15" 15 "SI9227" "No-Microbiome" 5 1 1.074027942 1.496447048 2.261109877 2.154739667 2.362087034 2.95338173 2.983458755 3.450883336 3.363603932 3.450883336 21 8.346347625 4.646628312 0.119812886 0.215209811
"16" 16 "SP9509" "No-Microbiome" 1 1 1.381554463 1.733634121 1.849671441 2.36769037 2.248154651 2.741905218 2.657495694 2.604486427 3.129800796 3.129800796 25 12.14048214 7.699719471 0.082369052 0.129874862
