	Numerical_ID	ID	Species	Treatment	Replicates	Days	Measure
1	6	6	SP7820	No-Microbiome	1	0	1
2	7	7	SP7820	No-Microbiome	2	0	1
3	8	8	SP7820	No-Microbiome	3	0	1
4	9	9	SP7820	No-Microbiome	4	0	1
5	10	10	SP7820	No-Microbiome	5	0	1
6	11	11	SI9227	No-Microbiome	1	0	1
7	12	12	SI9227	No-Microbiome	2	0	1
8	13	13	SI9227	No-Microbiome	3	0	1
9	14	14	SI9227	No-Microbiome	4	0	1
10	15	15	SI9227	No-Microbiome	5	0	1
11	16	16	SP9509	No-Microbiome	1	0	1
12	17	17	SP9509	No-Microbiome	2	0	1
13	18	18	SP9509	No-Microbiome	3	0	1
14	19	19	SP9509	No-Microbiome	4	0	1
15	20	20	SP9509	No-Microbiome	5	0	1
16	21	21	SP5543	No-Microbiome	1	0	1
17	22	22	SP5543	No-Microbiome	2	0	1
18	23	23	SP5543	No-Microbiome	3	0	1
19	24	24	SP5543	No-Microbiome	4	0	1
20	25	25	SP5543	No-Microbiome	5	0	1
21	26	26	SP7498	No-Microbiome	1	0	1
22	27	27	SP7498	No-Microbiome	2	0	1
23	28	28	SP7498	No-Microbiome	3	0	1
24	29	29	SP7498	No-Microbiome	4	0	1
25	30	30	SP7498	No-Microbiome	5	0	1
26	31	31	SP9192	No-Microbiome	1	0	1
27	32	32	SP9192	No-Microbiome	2	0	1
28	33	33	SP9192	No-Microbiome	3	0	1
29	34	34	SP9192	No-Microbiome	4	0	1
30	35	35	SP9192	No-Microbiome	5	0	1
31	36	36	LP7760	No-Microbiome	1	0	1
32	37	37	LP7760	No-Microbiome	2	0	1
33	38	38	LP7760	No-Microbiome	3	0	1
34	39	39	LP7760	No-Microbiome	4	0	1
35	40	40	LP7760	No-Microbiome	5	0	1
36	41	41	LP0049	No-Microbiome	1	0	1
37	42	42	LP0049	No-Microbiome	2	0	1
38	43	43	LP0049	No-Microbiome	3	0	1
39	44	44	LP0049	No-Microbiome	4	0	1
40	45	45	LP0049	No-Microbiome	5	0	1
41	46	46	LT9109	No-Microbiome	1	0	1
42	47	47	LT9109	No-Microbiome	2	0	1
43	48	48	LT9109	No-Microbiome	3	0	1
44	49	49	LT9109	No-Microbiome	4	0	1
45	50	50	LT9109	No-Microbiome	5	0	1
46	51	51	LJ9250	No-Microbiome	1	0	1
47	52	52	LJ9250	No-Microbiome	2	0	1
48	53	53	LJ9250	No-Microbiome	3	0	1
49	54	54	LJ9250	No-Microbiome	4	0	1
50	55	55	LJ9250	No-Microbiome	5	0	1
51	56	56	LM7123	No-Microbiome	1	0	1
52	57	57	LM7123	No-Microbiome	2	0	1
53	58	58	LM7123	No-Microbiome	3	0	1
54	59	59	LM7123	No-Microbiome	4	0	1
55	60	60	LM7123	No-Microbiome	5	0	1
56	61	61	LM8389	No-Microbiome	1	0	1
57	62	62	LM8389	No-Microbiome	2	0	1
58	63	63	LM8389	No-Microbiome	3	0	1
59	64	64	LM8389	No-Microbiome	4	0	1
60	65	65	LM8389	No-Microbiome	5	0	1
61	66	66	LV7605	No-Microbiome	1	0	1
62	67	67	LV7605	No-Microbiome	2	0	1
63	68	68	LV7605	No-Microbiome	3	0	1
64	69	69	LV7605	No-Microbiome	4	0	1
65	70	70	LV7605	No-Microbiome	5	0	1
66	71	71	LY9208	No-Microbiome	1	0	1
67	72	72	LY9208	No-Microbiome	2	0	1
68	73	73	LY9208	No-Microbiome	3	0	1
69	74	74	LY9208	No-Microbiome	4	0	1
70	75	75	LY9208	No-Microbiome	5	0	1
71	76	76	LM9200	No-Microbiome	1	0	1
72	77	77	LM9200	No-Microbiome	2	0	1
73	78	78	LM9200	No-Microbiome	3	0	1
74	79	79	LM9200	No-Microbiome	4	0	1
75	80	80	LM9200	No-Microbiome	5	0	1
76	81	81	LA7339	No-Microbiome	1	0	1
77	82	82	LA7339	No-Microbiome	2	0	1
78	83	83	LA7339	No-Microbiome	3	0	1
79	84	84	LA7339	No-Microbiome	4	0	1
80	85	85	LA7339	No-Microbiome	5	0	1
81	86	86	LP8539	No-Microbiome	1	0	1
82	87	87	LP8539	No-Microbiome	2	0	1
83	88	88	LP8539	No-Microbiome	3	0	1
84	89	89	LP8539	No-Microbiome	4	0	1
85	90	90	LP8539	No-Microbiome	5	0	1
86	91	91	LT9243	No-Microbiome	1	0	1
87	92	92	LT9243	No-Microbiome	2	0	1
88	93	93	LT9243	No-Microbiome	3	0	1
89	94	94	LT9243	No-Microbiome	4	0	1
90	95	95	LT9243	No-Microbiome	5	0	1
91	96	96	PS	No-Microbiome	1	0	1
92	97	97	PS	No-Microbiome	2	0	1
93	98	98	PS	No-Microbiome	3	0	1
94	99	99	PS	No-Microbiome	4	0	1
95	100	100	PS	No-Microbiome	5	0	1
96	106	106	SP7820	With-Microbiome	1	0	1
97	107	107	SP7820	With-Microbiome	2	0	1
98	108	108	SP7820	With-Microbiome	3	0	1
99	109	109	SP7820	With-Microbiome	4	0	1
100	110	110	SP7820	With-Microbiome	5	0	1
101	111	111	SI9227	With-Microbiome	1	0	1
102	112	112	SI9227	With-Microbiome	2	0	1
103	113	113	SI9227	With-Microbiome	3	0	1
104	114	114	SI9227	With-Microbiome	4	0	1
105	115	115	SI9227	With-Microbiome	5	0	1
106	116	116	SP9509	With-Microbiome	1	0	1
107	117	117	SP9509	With-Microbiome	2	0	1
108	118	118	SP9509	With-Microbiome	3	0	1
109	119	119	SP9509	With-Microbiome	4	0	1
110	120	120	SP9509	With-Microbiome	5	0	1
111	121	121	SP5543	With-Microbiome	1	0	1
112	122	122	SP5543	With-Microbiome	2	0	1
113	123	123	SP5543	With-Microbiome	3	0	1
114	124	124	SP5543	With-Microbiome	4	0	1
115	125	125	SP5543	With-Microbiome	5	0	1
116	126	126	SP7498	With-Microbiome	1	0	1
117	127	127	SP7498	With-Microbiome	2	0	1
118	128	128	SP7498	With-Microbiome	3	0	1
119	129	129	SP7498	With-Microbiome	4	0	1
120	130	130	SP7498	With-Microbiome	5	0	1
121	131	131	SP9192	With-Microbiome	1	0	1
122	132	132	SP9192	With-Microbiome	2	0	1
123	133	133	SP9192	With-Microbiome	3	0	1
124	134	134	SP9192	With-Microbiome	4	0	1
125	135	135	SP9192	With-Microbiome	5	0	1
126	136	136	LP7760	With-Microbiome	1	0	1
127	137	137	LP7760	With-Microbiome	2	0	1
128	138	138	LP7760	With-Microbiome	3	0	1
129	139	139	LP7760	With-Microbiome	4	0	1
130	140	140	LP7760	With-Microbiome	5	0	1
131	141	141	LP0049	With-Microbiome	1	0	1
132	142	142	LP0049	With-Microbiome	2	0	1
133	143	143	LP0049	With-Microbiome	3	0	1
134	144	144	LP0049	With-Microbiome	4	0	1
135	145	145	LP0049	With-Microbiome	5	0	1
136	146	146	LT9109	With-Microbiome	1	0	1
137	147	147	LT9109	With-Microbiome	2	0	1
138	148	148	LT9109	With-Microbiome	3	0	1
139	149	149	LT9109	With-Microbiome	4	0	1
140	150	150	LT9109	With-Microbiome	5	0	1
141	151	151	LJ9250	With-Microbiome	1	0	1
142	152	152	LJ9250	With-Microbiome	2	0	1
143	153	153	LJ9250	With-Microbiome	3	0	1
144	154	154	LJ9250	With-Microbiome	4	0	1
145	155	155	LJ9250	With-Microbiome	5	0	1
146	156	156	LM7123	With-Microbiome	1	0	1
