Numer	ID	Nutrient	Treatment	MxT	MxS	Plant	Replicate	Day 	Value
1	1	High	NB	High_NB	NB_7820	7820	1	1	1
2	2	High	NB	High_NB	NB_7820	7820	2	1	1
3	3	High	NB	High_NB	NB_7820	7820	3	1	1
4	4	High	NB	High_NB	NB_7820	7820	4	1	1
5	5	High	NB	High_NB	NB_9509	9509	1	1	1
6	6	High	NB	High_NB	NB_9509	9509	2	1	1
7	7	High	NB	High_NB	NB_9509	9509	3	1	1
8	8	High	NB	High_NB	NB_9509	9509	4	1	1
9	9	High	NB	High_NB	NB_8539	8539	1	1	1
10	10	High	NB	High_NB	NB_8539	8539	2	1	1
11	11	High	NB	High_NB	NB_8539	8539	3	1	1
12	12	High	NB	High_NB	NB_8539	8539	4	1	1
13	13	High	NB	High_NB	NB_7339	7339	1	1	1
14	14	High	NB	High_NB	NB_7339	7339	2	1	1
15	15	High	NB	High_NB	NB_7339	7339	3	1	1
16	16	High	NB	High_NB	NB_7339	7339	4	1	1
17	17	High	NB	High_NB	NB_PS	PS	1	1	1
18	18	High	NB	High_NB	NB_PS	PS	2	1	1
19	19	High	NB	High_NB	NB_PS	PS	3	1	1
20	20	High	NB	High_NB	NB_PS	PS	4	1	1
21	21	High	NB	High_NB	NB_0049	0049	1	1	1
22	22	High	NB	High_NB	NB_0049	0049	2	1	1
23	23	High	NB	High_NB	NB_0049	0049	3	1	1
24	24	High	NB	High_NB	NB_0049	0049	4	1	1
25	25	High	NB	High_NB	NB_9250	9250	1	1	1
26	26	High	NB	High_NB	NB_9250	9250	2	1	1
27	27	High	NB	High_NB	NB_9250	9250	3	1	1
28	28	High	NB	High_NB	NB_9250	9250	4	1	1
29	36	High	Syncom	High_SynCom	SynCom_7820	7820	1	1	1
30	37	High	Syncom	High_SynCom	SynCom_7820	7820	2	1	1
31	38	High	Syncom	High_SynCom	SynCom_7820	7820	3	1	1
32	39	High	Syncom	High_SynCom	SynCom_7820	7820	4	1	1
33	40	High	Syncom	High_SynCom	SynCom_9509	9509	1	1	1
34	41	High	Syncom	High_SynCom	SynCom_9509	9509	2	1	1
35	42	High	Syncom	High_SynCom	SynCom_9509	9509	3	1	1
36	43	High	Syncom	High_SynCom	SynCom_9509	9509	4	1	1
37	44	High	Syncom	High_SynCom	SynCom_8539	8539	1	1	1
38	45	High	Syncom	High_SynCom	SynCom_8539	8539	2	1	1
39	46	High	Syncom	High_SynCom	SynCom_8539	8539	3	1	1
40	47	High	Syncom	High_SynCom	SynCom_8539	8539	4	1	1
41	48	High	Syncom	High_SynCom	SynCom_7339	7339	1	1	1
42	49	High	Syncom	High_SynCom	SynCom_7339	7339	2	1	1
43	50	High	Syncom	High_SynCom	SynCom_7339	7339	3	1	1
44	51	High	Syncom	High_SynCom	SynCom_7339	7339	4	1	1
45	52	High	Syncom	High_SynCom	SynCom_PS	PS	1	1	1
46	53	High	Syncom	High_SynCom	SynCom_PS	PS	2	1	1
47	54	High	Syncom	High_SynCom	SynCom_PS	PS	3	1	1
48	55	High	Syncom	High_SynCom	SynCom_PS	PS	4	1	1
49	56	High	Syncom	High_SynCom	SynCom_0049	0049	1	1	1
50	57	High	Syncom	High_SynCom	SynCom_0049	0049	2	1	1
51	58	High	Syncom	High_SynCom	SynCom_0049	0049	3	1	1
52	59	High	Syncom	High_SynCom	SynCom_0049	0049	4	1	1
53	60	High	Syncom	High_SynCom	SynCom_9250	9250	1	1	1
54	61	High	Syncom	High_SynCom	SynCom_9250	9250	2	1	1
55	62	High	Syncom	High_SynCom	SynCom_9250	9250	3	1	1
56	63	High	Syncom	High_SynCom	SynCom_9250	9250	4	1	1
57	106	Medium	NB	100_NB	NB_7820	7820	1	1	1
58	107	Medium	NB	100_NB	NB_7820	7820	2	1	1
59	108	Medium	NB	100_NB	NB_7820	7820	3	1	1
60	109	Medium	NB	100_NB	NB_7820	7820	4	1	1
61	110	Medium	NB	100_NB	NB_9509	9509	1	1	1
62	111	Medium	NB	100_NB	NB_9509	9509	2	1	1
63	112	Medium	NB	100_NB	NB_9509	9509	3	1	1
64	113	Medium	NB	100_NB	NB_9509	9509	4	1	1
65	114	Medium	NB	100_NB	NB_8539	8539	1	1	1
66	115	Medium	NB	100_NB	NB_8539	8539	2	1	1
67	116	Medium	NB	100_NB	NB_8539	8539	3	1	1
68	117	Medium	NB	100_NB	NB_8539	8539	4	1	1
69	118	Medium	NB	100_NB	NB_7339	7339	1	1	1
70	119	Medium	NB	100_NB	NB_7339	7339	2	1	1
71	120	Medium	NB	100_NB	NB_7339	7339	3	1	1
72	121	Medium	NB	100_NB	NB_7339	7339	4	1	1
73	122	Medium	NB	100_NB	NB_PS	PS	1	1	1
74	123	Medium	NB	100_NB	NB_PS	PS	2	1	1
75	124	Medium	NB	100_NB	NB_PS	PS	3	1	1
76	125	Medium	NB	100_NB	NB_PS	PS	4	1	1
77	126	Medium	NB	100_NB	NB_0049	0049	1	1	1
78	127	Medium	NB	100_NB	NB_0049	0049	2	1	1
79	128	Medium	NB	100_NB	NB_0049	0049	3	1	1
80	129	Medium	NB	100_NB	NB_0049	0049	4	1	1
81	130	Medium	NB	100_NB	NB_9250	9250	1	1	1
82	131	Medium	NB	100_NB	NB_9250	9250	2	1	1
83	132	Medium	NB	100_NB	NB_9250	9250	3	1	1
84	133	Medium	NB	100_NB	NB_9250	9250	4	1	1
85	141	Medium	Syncom	100_SynCom	SynCom_7820	7820	1	1	1
86	142	Medium	Syncom	100_SynCom	SynCom_7820	7820	2	1	1
87	143	Medium	Syncom	100_SynCom	SynCom_7820	7820	3	1	1
88	144	Medium	Syncom	100_SynCom	SynCom_7820	7820	4	1	1
89	145	Medium	Syncom	100_SynCom	SynCom_9509	9509	1	1	1
90	146	Medium	Syncom	100_SynCom	SynCom_9509	9509	2	1	1
91	147	Medium	Syncom	100_SynCom	SynCom_9509	9509	3	1	1
92	148	Medium	Syncom	100_SynCom	SynCom_9509	9509	4	1	1
93	149	Medium	Syncom	100_SynCom	SynCom_8539	8539	1	1	1
94	150	Medium	Syncom	100_SynCom	SynCom_8539	8539	2	1	1
95	151	Medium	Syncom	100_SynCom	SynCom_8539	8539	3	1	1
96	152	Medium	Syncom	100_SynCom	SynCom_8539	8539	4	1	1
97	153	Medium	Syncom	100_SynCom	SynCom_7339	7339	1	1	1
98	154	Medium	Syncom	100_SynCom	SynCom_7339	7339	2	1	1
99	155	Medium	Syncom	100_SynCom	SynCom_7339	7339	3	1	1
100	156	Medium	Syncom	100_SynCom	SynCom_7339	7339	4	1	1
101	157	Medium	Syncom	100_SynCom	SynCom_PS	PS	1	1	1
102	158	Medium	Syncom	100_SynCom	SynCom_PS	PS	2	1	1
103	159	Medium	Syncom	100_SynCom	SynCom_PS	PS	3	1	1
104	160	Medium	Syncom	100_SynCom	SynCom_PS	PS	4	1	1
105	161	Medium	Syncom	100_SynCom	SynCom_0049	0049	1	1	1
106	162	Medium	Syncom	100_SynCom	SynCom_0049	0049	2	1	1
107	163	Medium	Syncom	100_SynCom	SynCom_0049	0049	3	1	1
108	164	Medium	Syncom	100_SynCom	SynCom_0049	0049	4	1	1
109	165	Medium	Syncom	100_SynCom	SynCom_9250	9250	1	1	1
110	166	Medium	Syncom	100_SynCom	SynCom_9250	9250	2	1	1
111	167	Medium	Syncom	100_SynCom	SynCom_9250	9250	3	1	1
112	168	Medium	Syncom	100_SynCom	SynCom_9250	9250	4	1	1
113	176	Low	NB	1000_NB	NB_7820	7820	1	1	1
114	177	Low	NB	1000_NB	NB_7820	7820	2	1	1
115	178	Low	NB	1000_NB	NB_7820	7820	3	1	1
116	179	Low	NB	1000_NB	NB_7820	7820	4	1	1
117	180	Low	NB	1000_NB	NB_9509	9509	1	1	1
118	181	Low	NB	1000_NB	NB_9509	9509	2	1	1
