	Medium	Treatment	Species	Replicate	Fmax	Tfmax	AUC6	AUC14	Vel_in	Vel_fn
1	Dir	NB	SI7820	1	2.238097186	10	8.060822971	24.84362729	0.345611093	-0.105700534
2	Dir	NB	SI7820	2	2.929432196	14	7.067630625	24.52999849	0.17910752	0.459627001
3	Dir	NB	SI7820	3	2.803286758	14	8.198229597	26.31261512	0.451238488	0.245173071
4	Dir	NB	SI7820	4	2.440267844	14	7.785480575	23.86305085	0.310982238	0.275599496
5	Dir	NB	SP9509	1	3.486735681	14	9.771713133	31.74651732	0.579549397	0.43052893
6	Dir	NB	SP9509	2	2.033508924	14	6.184130826	20.59333057	0.082238588	0.102804706
7	Dir	NB	SP9509	3	1.851207347	14	6.374728531	19.6203022	0.151332499	0.085719807
8	Dir	NB	SP9509	4	1.959182633	14	7.107243732	21.65309317	0.228232607	0.062169245
9	Dir	NB	LP8539	1	4.199052133	14	8.968984342	32.69548263	0.480487732	0.694567761
10	Dir	NB	LP8539	2	3.091459636	14	7.682736184	27.80639119	0.208086868	0.326854825
11	Dir	NB	LP8539	3	6.641014759	14	10.27797425	44.7398029	0.412010185	1.459353044
12	Dir	NB	LP8539	4	4.787255801	14	8.846410184	37.47727273	0.37969885	0.586236688
13	Dir	NB	LA7339	1	6.925142207	14	7.364391354	44.51988623	0.179704209	1.043731513
14	Dir	NB	LA7339	2	3.278946394	14	5.589476282	21.94772068	0.044884646	0.725271421
15	Dir	NB	LA7339	3	4.567075669	14	5.577609816	27.52115455	0.032831605	1.001272292
16	Dir	NB	LA7339	4	5.916783248	14	6.48499481	33.52782165	0.102396318	1.469402951
17	Dir	NB	PS	1	1.6417237	14	6.540063616	17.96998803	0.199446936	0.143023713
18	Dir	NB	PS	2	1.474064251	10	6.286804376	14.85542898	0.156505736	-0.737032126
19	Dir	NB	PS	3	1.339258199	14	5.684113072	15.44514058	0.078692943	0.082756603
20	Dir	NB	PS	4	1.797400701	14	6.918290206	20.11033522	0.233108543	0.074502813
21	Dir	NB	LP0049	1	3.119901185	14	8.645531277	30.93097668	0.39445049	0.083125018
22	Dir	NB	LP0049	2	2.594339623	14	7.108394581	24.71156483	0.294016016	0.101744186
23	Dir	NB	LP0049	3	3.088312234	14	8.750910917	29.60110011	0.446769748	0.212804223
24	Dir	NB	LP0049	4	2.297120789	14	7.861290778	24.15803479	0.333338566	0.134847248
25	Dir	NB	LJ9250	1	3.110693926	14	9.181826507	28.25488221	0.523535337	0.459580119
26	Dir	NB	LJ9250	2	2.746240936	14	7.152690497	26.65504389	0.221053301	0.046457194
27	Dir	NB	LJ9250	3	3.561798769	14	7.498439197	28.37977289	0.138673996	0.612027235
28	Dir	NB	LJ9250	4	3.366377662	14	10.49655744	34.76482213	0.495888053	0.244103022
36	Dir	SynCom	SI7820	1	2.234866999	10	7.388176755	24.34223729	0.231236488	-0.024450136
37	Dir	SynCom	SI7820	2	1.923709549	14	6.112918989	18.1882683	0.11763918	0.270817346
38	Dir	SynCom	SI7820	3	2.346230563	14	7.00627295	22.1708543	0.233442132	0.253943968
39	Dir	SynCom	SI7820	4	2.188287726	14	6.795498846	20.84260153	0.236010181	0.237902615
40	Dir	SynCom	SP9509	1	2.767564465	14	7.435225608	24.52364084	0.272179338	0.368676264
41	Dir	SynCom	SP9509	2	2.266548741	14	6.963772422	22.77035599	0.208182471	0.127898621
42	Dir	SynCom	SP9509	3	1.882693029	14	6.488911446	19.70653397	0.177102412	0.110383521
43	Dir	SynCom	SP9509	4	2.112211743	14	6.729618963	21.21608435	0.168729033	0.171012933
44	Dir	SynCom	LP8539	1	4.050813421	14	8.916014235	32.74402644	0.348576512	0.671797153
45	Dir	SynCom	LP8539	2	4.686847653	14	9.272469022	33.67387783	0.472633554	1.033176513
46	Dir	SynCom	LP8539	3	2.640143653	10	6.439308785	24.93649868	0.116625079	-0.121312469
47	Dir	SynCom	LP8539	4	4.614747021	14	7.641668106	33.85593162	0.243740287	0.671438439
