"Experiment" "Time" "Plate" "nr" "Sample" "Microbe" "Compound" "Compound2" "Value" "Relative"
"1" 1 "T3" "P7" 7 "X36" "P101" "C4" "Compound" 0.112 0.049339207
"2" 1 "T4" "P7" 7 "X36" "P101" "C4" "Compound" 0.112 0.049339207
"3" 1 "T5" "P7" 7 "X36" "P101" "C4" "Compound" 0.113 0.049779736
"4" 1 "T6" "P7" 7 "X36" "P101" "C4" "Compound" 0.115 0.050660793
"5" 1 "T2" "P8" 8 "X36" "P101" "C4" "Compound" 0.118 0.051982379
"6" 1 "T4" "P7" 7 "X60" "P54" "C1" "Compound" 0.111 0.076446281
"7" 1 "T3" "P7" 7 "X60" "P54" "C1" "Compound" 0.112 0.077134986
"8" 1 "T5" "P7" 7 "X60" "P54" "C1" "Compound" 0.113 0.077823691
"9" 1 "T2" "P8" 8 "X60" "P54" "C1" "Compound" 0.114 0.078512397
"10" 1 "T6" "P7" 7 "X60" "P54" "C1" "Compound" 0.114 0.078512397
"11" 1 "T1" "P8" 8 "X36" "P101" "C4" "Compound" 0.202 0.088986784
"12" 1 "T2" "P8" 8 "X48" "P108" "Blank" "Blank" 0.113 0.098689956
"13" 1 "T3" "P7" 7 "X48" "P108" "Blank" "Blank" 0.115 0.100436681
"14" 1 "T4" "P7" 7 "X48" "P108" "Blank" "Blank" 0.115 0.100436681
"15" 1 "T6" "P7" 7 "X48" "P108" "Blank" "Blank" 0.115 0.100436681
"16" 1 "T5" "P7" 7 "X48" "P108" "Blank" "Blank" 0.117 0.102183406
"17" 1 "T4" "P19" 19 "X49" "A174" "Control" "Control" 0.135 0.118525022
"18" 1 "T4" "P19" 19 "X50" "A175" "Control" "Control" 0.117 0.123678647
"19" 1 "T1" "P8" 8 "X60" "P54" "C1" "Compound" 0.185 0.127410468
"20" 1 "T3" "P19" 19 "X50" "P41" "Control" "Control" 0.117 0.129855716
"21" 1 "T2" "P19" 19 "X50" "P41" "Control" "Control" 0.129 0.143174251
"22" 1 "T2" "P6" 6 "X85" "A155B" "C4" "Compound" 0.282 0.147181628
"23" 1 "T6" "P19" 19 "X50" "P41" "Control" "Control" 0.133 0.147613762
"24" 1 "T2" "P21" 21 "X61" "P96" "C1" "Compound" 0.393 0.162329616
"25" 1 "T2" "P6" 6 "X94" "A157A.1" "Blank" "Blank" 0.114 0.168141593
"26" 1 "T1" "P2" 2 "X7" "A99A" "Control" "Control" 0.36 0.176817289
"27" 1 "T2" "P8" 8 "X31" "P106" "C3" "Compound" 0.375 0.180722892
"28" 1 "T4" "P36" 36 "X78" "P155" "C3" "Compound" 0.107 0.184165232
"29" 1 "T1" "P8" 8 "X48" "P108" "Blank" "Blank" 0.212 0.185152838
"30" 1 "T6" "P30" 30 "X93" "A179A" "Blank" "Blank" 0.104 0.185714286
"31" 1 "T5" "P36" 36 "X78" "P155" "C3" "Compound" 0.108 0.185886403
"32" 1 "T5" "P30" 30 "X93" "A179A" "Blank" "Blank" 0.106 0.189285714
"33" 1 "T3" "P30" 30 "X93" "A179A" "Blank" "Blank" 0.108 0.192857143
"34" 1 "T3" "P30" 30 "X91" "A176" "Blank" "Blank" 0.104 0.192949907
"35" 1 "T1" "P4" 4 "X25" "A289" "C3" "Compound" 0.571 0.194482289
"36" 1 "T3" "P30" 30 "X95" "A180A" "Blank" "Blank" 0.11 0.194690265
"37" 1 "T5" "P30" 30 "X91" "A176" "Blank" "Blank" 0.105 0.194805195
"38" 1 "T2" "P21" 21 "X7" "P91B" "Control" "Control" 0.388 0.195860676
"39" 1 "T6" "P30" 30 "X95" "A180A" "Blank" "Blank" 0.111 0.196460177
"40" 1 "T4" "P18" 18 "X93" "A155B" "Blank" "Blank" 0.103 0.197696737
"41" 1 "T2" "P30" 30 "X91" "A176" "Blank" "Blank" 0.107 0.19851577
"42" 1 "T6" "P30" 30 "X91" "A176" "Blank" "Blank" 0.107 0.19851577
"43" 1 "T2" "P8" 8 "X24" "P108" "C2" "Compound" 0.116 0.198630137
"44" 1 "T3" "P7" 7 "X24" "P108" "C2" "Compound" 0.116 0.198630137
"45" 1 "T6" "P7" 7 "X24" "P108" "C2" "Compound" 0.116 0.198630137
"46" 1 "T2" "P19" 19 "X80" "P58" "C3" "Compound" 0.465 0.198633063
"47" 1 "T4" "P7" 7 "X84" "P54" "C4" "Compound" 0.116 0.199655766
"48" 1 "T4" "P7" 7 "X24" "P108" "C2" "Compound" 0.117 0.200342466
