	Species	Microbiome	ID	Nutrition	Subsample	cell_layer_n	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Arenquima_mean_area	Arenquima_N
1	SI7820	NB	1	High	1	6	9.7202225	3.5882	13.56273375	6.068115	0	0	22.29666228	8.949029198	128.9200425	8	8	8	8	0	0	17	33	137.9967357	7
2	SI7820	NB	2	High	2	6	7.135877143	3.839774286	13.23711286	8.32913	0	0	27.69234571	8.161183571	142.036595	7	7	7	1	0	0	13	28	292.818335	6
3	SI7820	NB	3	High	3	7	6.48374625	3.319055417	13.39244033	11.03932133	13.18908333	0	22.44800548	5.13287119	151.2501425	8	6	6	6	1	0	19	30	595.061705	6
4	SP9509	NB	5	High	1	6	7.32537125	3.44540875	8.93227	9.050186667	0	0	21.47904444	5.450421556	115.2354725	8	6	6	6	0	0	18	30	184.0796343	7
5	SP9509	NB	6	High	2	7	7.81832375	3.9516075	13.5348425	7.0632	7.599544583	0	25.83924	8.364985909	150.1367275	8	8	8	8	6	0	6	7	76.79734	7
6	SP9509	NB	7	High	3	7	8.703657143	3.303152857	17.61680857	8.925184286	8.437219643	0	25.6873688	8.159090981	165.3147575	7	7	7	7	4	0	23	35	579.9348013	8
7	SP9509	NB	8	High	4	7	7.065011429	3.376997143	14.27344	7.294308571	10.98649571	0	31.55615814	6.038069286	162.119935	7	7	7	7	7	0	20	35	553.2936586	7
8	LP8539	NB	9	High	1	5	10.31460444	4.652878056	17.13858861	0	0	0	31.67520089	16.882443	165.079855	9	8	9	0	0	0	10	20	103.0040633	9
9	LP8539	NB	10	High	2	5	12.46089909	5.100252576	20.74985197	0	0	0	35.89947386	18.8565385	189.65742	11	11	11	0	0	0	12	20	95.67452273	11
10	LP8539	NB	11	High	3	5	12.03883556	4.923224444	18.836612	0	0	0	32.13419467	22.85898381	192.1148	9	9	10	1	0	0	9	21	169.4300122	9
11	LP8539	NB	12	High	4	6	9.06275	3.990082222	13.86718	23.64888153	0	0	40.57790936	7.359795421	76.888735	9	9	9	8	0	0	19	30	73.07891556	9
