	Species	Microbiome	ID	Nutrition	Nutrition2	Subsample	Experiment	Cell_type	Diameter	Percentage
1	SI7820	NB	1	335mM	335	1	1	Stele	9.7202225	15.38320461
2	SI7820	NB	2	335mM	335	2	1	Stele	7.135877143	11.32683584
3	SI7820	NB	3	335mM	335	3	1	Stele	6.48374625	8.079548996
4	SP9509	NB	5	335mM	335	1	1	Stele	7.32537125	12.9305492
5	SP9509	NB	6	335mM	335	2	1	Stele	7.81832375	11.19918394
6	SP9509	NB	7	335mM	335	3	1	Stele	8.703657143	10.74733176
7	SP9509	NB	8	335mM	335	4	1	Stele	7.065011429	9.455101109
8	LP8539	NB	9	335mM	335	1	1	Stele	10.31460444	12.80606669
9	LP8539	NB	10	335mM	335	2	1	Stele	12.46089909	14.02579284
10	LP8539	NB	11	335mM	335	3	1	Stele	12.03883556	12.73181155
11	LP8539	NB	12	335mM	335	4	1	Stele	9.06275	10.06269133
12	LA7339	NB	13	335mM	335	1	1	Stele	7.223131111	8.481559231
13	LA7339	NB	14	335mM	335	2	1	Stele	11.98807091	14.41209613
14	LA7339	NB	15	335mM	335	3	1	Stele	10.85651556	10.57204395
15	LA7339	NB	16	335mM	335	4	1	Stele	8.819539	15.38881935
16	LP0049	NB	21	335mM	335	1	1	Stele	9.30608	12.12270575
17	LP0049	NB	23	335mM	335	2	1	Stele	8.734965	14.2697194
18	LP0049	NB	24	335mM	335	3	1	Stele	9.566373333	15.49803221
19	LJ9250	NB	25	335mM	335	1	1	Stele	9.156871	13.03907327
20	LJ9250	NB	26	335mM	335	2	1	Stele	8.797312222	12.74912012
21	LJ9250	NB	27	335mM	335	3	1	Stele	8.793431111	13.02416633
22	LJ9250	NB	28	335mM	335	4	1	Stele	9.06275	12.6357655
23	SI7820	SynCom	36	335mM	335	1	1	Stele	7.26219	10.43280085
24	SI7820	SynCom	37	335mM	335	2	1	Stele	6.95951	10.70130542
25	SI7820	SynCom	38	335mM	335	3	1	Stele	7.099558571	12.75553126
26	SI7820	SynCom	39	335mM	335	4	1	Stele	7.404797143	10.28364387
27	SP9509	SynCom	41	335mM	335	1	1	Stele	8.506674286	12.45905878
28	SP9509	SynCom	42	335mM	335	2	1	Stele	7.618528571	14.32343269
29	SP9509	SynCom	43	335mM	335	3	1	Stele	9.642675	10.82649342
30	LP8539	SynCom	44	335mM	335	1	1	Stele	12.0341525	15.33356587
31	LP8539	SynCom	45	335mM	335	2	1	Stele	12.52147125	16.44635139
32	LP8539	SynCom	47	335mM	335	3	1	Stele	10.93942333	14.79196503
33	LA7339	SynCom	49	335mM	335	1	1	Stele	9.025508889	12.19661381
34	LA7339	SynCom	50	335mM	335	2	1	Stele	9.17887625	12.36612865
35	LP0049	SynCom	56	335mM	335	1	1	Stele	8.3612375	12.1200856
36	LP0049	SynCom	57	335mM	335	2	1	Stele	6.312034286	11.08349341
37	LP0049	SynCom	59	335mM	335	3	1	Stele	7.896894444	12.39514855
38	LJ9250	SynCom	60	335mM	335	1	1	Stele	8.44035	12.75638175
39	LJ9250	SynCom	61	335mM	335	2	1	Stele	8.994955556	12.87018294
40	LJ9250	SynCom	63	335mM	335	3	1	Stele	7.92343875	11.56869635
41	SI7820	NB	107	6.7mM	6.7	1	1	Stele	6.901741429	10.54810981
42	SI7820	NB	108	6.7mM	6.7	2	1	Stele	8.216124286	12.06754758
43	SI7820	NB	109	6.7mM	6.7	3	1	Stele	6.193797143	10.31958761
44	SP9509	NB	110	6.7mM	6.7	1	1	Stele	8.04271	12.66301631
45	SP9509	NB	111	6.7mM	6.7	2	1	Stele	6.864577143	10.2481462
46	SP9509	NB	112	6.7mM	6.7	3	1	Stele	6.718485	9.134016129
47	SP9509	NB	113	6.7mM	6.7	4	1	Stele	7.273311111	9.454436171
48	LP8539	NB	114	6.7mM	6.7	1	1	Stele	7.41037	11.76974762
49	LP8539	NB	115	6.7mM	6.7	2	1	Stele	8.429	12.27833153
50	LP8539	NB	116	6.7mM	6.7	3	1	Stele	10.419726	12.68469561
51	LP8539	NB	117	6.7mM	6.7	4	1	Stele	10.77833	11.72960866
52	LA7339	NB	118	6.7mM	6.7	1	1	Stele	7.91812	14.47832099
53	LA7339	NB	120	6.7mM	6.7	2	1	Stele	8.49181875	10.78231792
54	LA7339	NB	121	6.7mM	6.7	3	1	Stele	8.308753333	10.34995172
55	LP0049	NB	126	6.7mM	6.7	1	1	Stele	7.614925455	6.600869337
56	LP0049	NB	127	6.7mM	6.7	2	1	Stele	7.153535714	10.10328919
57	LP0049	NB	129	6.7mM	6.7	3	1	Stele	10.041717	14.67898783
58	LJ9250	NB	130	6.7mM	6.7	1	1	Stele	8.346538571	11.56719058
59	LJ9250	NB	131	6.7mM	6.7	2	1	Stele	9.445435556	12.15816228
60	LJ9250	NB	132	6.7mM	6.7	3	1	Stele	7.096937143	9.231369684
61	LJ9250	NB	133	6.7mM	6.7	4	1	Stele	9.02322	12.83100378
62	SI7820	SynCom	141	6.7mM	6.7	1	1	Stele	6.991983333	11.71693561
63	SI7820	SynCom	142	6.7mM	6.7	2	1	Stele	9.48549125	13.9824603
64	SI7820	SynCom	143	6.7mM	6.7	3	1	Stele	7.442217143	10.88425183
65	SI7820	SynCom	143.2	6.7mM	6.7	4	1	Stele	7.30116	11.58002259
66	SI7820	SynCom	144	6.7mM	6.7	5	1	Stele	7.86766	6.841498774
67	SP9509	SynCom	145	6.7mM	6.7	1	1	Stele	8.108014286	12.15613045
68	SP9509	SynCom	146	6.7mM	6.7	2	1	Stele	7.598687143	8.861156248
69	SP9509	SynCom	147	6.7mM	6.7	3	1	Stele	7.064681667	10.16326758
70	SP9509	SynCom	148	6.7mM	6.7	4	1	Stele	7.8097625	13.33279662
71	LP8539	SynCom	149	6.7mM	6.7	1	1	Stele	11.84479111	11.21921796
72	LP8539	SynCom	150	6.7mM	6.7	2	1	Stele	9.599276667	15.60203464
