	ID	Species	Medium	Treatment	MxT	MxS	Replicate	Fitness	Value
1	13	LA7339	Dir	NB	Dir_NB	NB_7339	1	Healthy	100
2	14	LA7339	Dir	NB	Dir_NB	NB_7339	2	Healthy	100
3	15	LA7339	Dir	NB	Dir_NB	NB_7339	3	Healthy	96
4	16	LA7339	Dir	NB	Dir_NB	NB_7339	4	Healthy	100
5	13	LA7339	Dir	NB	Dir_NB	NB_7339	1	Stressed 	0
6	14	LA7339	Dir	NB	Dir_NB	NB_7339	2	Stressed 	0
7	15	LA7339	Dir	NB	Dir_NB	NB_7339	3	Stressed 	0
8	16	LA7339	Dir	NB	Dir_NB	NB_7339	4	Stressed 	0
9	13	LA7339	Dir	NB	Dir_NB	NB_7339	1	Dead	0
10	14	LA7339	Dir	NB	Dir_NB	NB_7339	2	Dead	0
11	15	LA7339	Dir	NB	Dir_NB	NB_7339	3	Dead	4
12	16	LA7339	Dir	NB	Dir_NB	NB_7339	4	Dead	0
13	48	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	1	Healthy	100
14	49	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	2	Healthy	100
15	50	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	3	Healthy	100
16	51	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	4	Healthy	100
17	48	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	1	Stressed 	0
18	49	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	2	Stressed 	0
19	50	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	3	Stressed 	0
20	51	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	4	Stressed 	0
21	48	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	1	Dead	0
22	49	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	2	Dead	0
23	50	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	3	Dead	0
24	51	LA7339	Dir	Syncom	Dir_SynCom	SynCom_7339	4	Dead	0
25	118	LA7339	Hundred	NB	100_NB	NB_7339	1	Healthy	100
26	119	LA7339	Hundred	NB	100_NB	NB_7339	2	Healthy	90.90909091
27	120	LA7339	Hundred	NB	100_NB	NB_7339	3	Healthy	100
28	121	LA7339	Hundred	NB	100_NB	NB_7339	4	Healthy	100
