ID	Species	Treatment	Subsample	Dead
1	SI7820	No-Microbiome	1	0
2	SI7820	No-Microbiome	2	0
3	SI7820	No-Microbiome	3	0
4	SI7820	No-Microbiome	4	0
5	SI7820	No-Microbiome	5	0
6	SI9227	No-Microbiome	1	12.5
7	SI9227	No-Microbiome	2	4.545454545
8	SI9227	No-Microbiome	3	5.555555556
9	SI9227	No-Microbiome	4	0
10	SI9227	No-Microbiome	5	5.263157895
11	SP9509	No-Microbiome	1	0
12	SP9509	No-Microbiome	2	0
13	SP9509	No-Microbiome	3	0
14	SP9509	No-Microbiome	4	0
15	SP9509	No-Microbiome	5	0
16	SP5543	No-Microbiome	1	5.555555556
17	SP5543	No-Microbiome	2	0
18	SP5543	No-Microbiome	3	0
19	SP5543	No-Microbiome	4	0
20	SP5543	No-Microbiome	5	10
21	SP7498	No-Microbiome	1	0
22	SP7498	No-Microbiome	2	3.03030303
23	SP7498	No-Microbiome	3	8.333333333
24	SP7498	No-Microbiome	4	6.060606061
25	SP7498	No-Microbiome	5	0
26	SP9192	No-Microbiome	1	0
27	SP9192	No-Microbiome	2	4.651162791
28	SP9192	No-Microbiome	3	7.692307692
29	SP9192	No-Microbiome	4	0
30	SP9192	No-Microbiome	5	0
31	LP7760	No-Microbiome	1	0
32	LP7760	No-Microbiome	2	0
33	LP7760	No-Microbiome	3	0
34	LP7760	No-Microbiome	4	0
35	LP7760	No-Microbiome	5	0
36	LP0049	No-Microbiome	1	0
37	LP0049	No-Microbiome	2	0
38	LP0049	No-Microbiome	3	0
39	LP0049	No-Microbiome	4	0
40	LP0049	No-Microbiome	5	0
41	LT9109	No-Microbiome	1	0
42	LT9109	No-Microbiome	2	0
43	LT9109	No-Microbiome	3	2.564102564
44	LT9109	No-Microbiome	4	0
45	LT9109	No-Microbiome	5	0
46	LJ9250	No-Microbiome	1	0
47	LJ9250	No-Microbiome	2	8.333333333
48	LJ9250	No-Microbiome	3	5
49	LJ9250	No-Microbiome	4	0
50	LJ9250	No-Microbiome	5	0
51	LM7123	No-Microbiome	1	0
52	LM7123	No-Microbiome	2	6.666666667
53	LM7123	No-Microbiome	3	5.555555556
54	LM7123	No-Microbiome	4	0
55	LM7123	No-Microbiome	5	0
56	LM8389	No-Microbiome	1	0
57	LM8389	No-Microbiome	2	8.333333333
58	LM8389	No-Microbiome	3	0
59	LM8389	No-Microbiome	4	0
60	LM8389	No-Microbiome	5	0
61	LV7605	No-Microbiome	1	0
62	LV7605	No-Microbiome	2	0
63	LV7605	No-Microbiome	3	0
64	LV7605	No-Microbiome	4	12.5
65	LV7605	No-Microbiome	5	0
66	LY9208	No-Microbiome	1	11.11111111
67	LY9208	No-Microbiome	2	21.73913043
68	LY9208	No-Microbiome	3	5.882352941
69	LY9208	No-Microbiome	4	25
70	LY9208	No-Microbiome	5	14.28571429
71	LM9200	No-Microbiome	1	12.5
72	LM9200	No-Microbiome	2	28
73	LM9200	No-Microbiome	3	15.78947368
74	LM9200	No-Microbiome	4	22.22222222
75	LM9200	No-Microbiome	5	19.35483871
76	LA7339	No-Microbiome	1	20.83333333
77	LA7339	No-Microbiome	2	3.571428571
78	LA7339	No-Microbiome	3	18.51851852
79	LA7339	No-Microbiome	4	14.81481481
80	LA7339	No-Microbiome	5	18.18181818
81	LP8539	No-Microbiome	1	20
82	LP8539	No-Microbiome	2	15.38461538
83	LP8539	No-Microbiome	3	18.91891892
84	LP8539	No-Microbiome	4	27.27272727
85	LP8539	No-Microbiome	5	5.263157895
86	LT9243	No-Microbiome	1	0
87	LT9243	No-Microbiome	2	6.25
88	LT9243	No-Microbiome	3	2.702702703
89	LT9243	No-Microbiome	4	6.666666667
90	LT9243	No-Microbiome	5	7.692307692
91	PS	No-Microbiome	1	0
92	PS	No-Microbiome	2	0
93	PS	No-Microbiome	3	0
94	PS	No-Microbiome	4	0
95	PS	No-Microbiome	5	0
96	SI7820	With-Microbiome	1	25
97	SI7820	With-Microbiome	2	4.545454545
98	SI7820	With-Microbiome	3	5
99	SI7820	With-Microbiome	4	0
100	SI7820	With-Microbiome	5	0
101	SI9227	With-Microbiome	1	0
102	SI9227	With-Microbiome	2	7.142857143
103	SI9227	With-Microbiome	3	0
104	SI9227	With-Microbiome	4	0
105	SI9227	With-Microbiome	5	0
106	SP9509	With-Microbiome	1	66.66666667
107	SP9509	With-Microbiome	2	0
108	SP9509	With-Microbiome	3	5
109	SP9509	With-Microbiome	4	25
110	SP9509	With-Microbiome	5	0
111	SP5543	With-Microbiome	1	0
112	SP5543	With-Microbiome	2	0
113	SP5543	With-Microbiome	3	4.761904762
114	SP5543	With-Microbiome	4	0
115	SP5543	With-Microbiome	5	0
116	SP7498	With-Microbiome	1	28.57142857
117	SP7498	With-Microbiome	2	9.523809524
118	SP7498	With-Microbiome	3	13.33333333
119	SP7498	With-Microbiome	4	8.695652174
120	SP7498	With-Microbiome	5	0
