	Treatment	Species	Root_complexity	ID	Subsample	Fmax
1	NB	Control	Control	Control	1	-0.135041
2	NB	LA7339	5	1	1	0.569355
3	NB	LA7339	5	2	2	1.12136
4	NB	LA7339	5	3	3	0.643782
5	NB	LP8539	5.25	4	1	0.673075
6	NB	LP8539	5.25	5	2	0.979013
7	NB	LP8539	5.25	6	3	0.520785
8	NB	LY5280	5.8	7	1	1.064254
9	NB	LY5280	5.8	8	2	0.596188
10	NB	LY5280	5.8	9	3	0.544273
11	NB	SP7498	6.8	10	1	0.675488
12	NB	SP7498	6.8	11	2	0.606616
13	NB	SP7498	6.8	12	3	0.088056
14	NB	LT9243	5.4	13	1	0.72875
15	NB	LT9243	5.4	14	2	0.896447
16	NB	LT9243	5.4	15	3	0.570247
17	NB	LJ9250	5	16	1	0.165726
18	NB	LJ9250	5	17	2	0.416167
19	NB	LJ9250	5	18	3	0.424592
20	NB	SI9227	7.3333	19	1	0.12329
21	NB	SI9227	7.3333	20	2	0.585298
22	NB	SI9227	7.3333	21	3	0.211825
23	NB	SP9509	6.6	22	1	0.261627
24	NB	SP9509	6.6	23	2	1.197782
25	NB	SP9509	6.6	24	3	0.544195
26	NB	LP0049	5	25	1	0.138764
27	NB	LP0049	5	27	2	0.735531
28	NB	SI7820	5.8	28	1	-0.015786
29	NB	SI7820	5.8	29	2	0.721927
30	NB	SI7820	5.8	30	3	0.684753
31	SynCom	LA7539	5	31	1	0.452028
32	SynCom	LA7539	5	32	2	0.210169
33	SynCom	LA7539	5	33	3	0.366807
34	SynCom	LP8539	5	34	1	0.619611
35	SynCom	LP8539	5	35	2	0.586417
36	SynCom	LP8539	5	36	3	0.631346
37	SynCom	LY5280	7.6	37	1	0.563878
38	SynCom	LY5280	7.6	38	2	0.281463
39	SynCom	LY5280	7.6	39	3	0.466238
40	SynCom	SP7498	7.25	40	1	0.40324
41	SynCom	SP7498	7.25	41	2	0.303947
42	SynCom	SP7498	7.25	42	3	0.339919
43	SynCom	LT9243	6.2	43	1	0.02728
44	SynCom	LT9243	6.2	44	2	0.28234
45	SynCom	LT9243	6.2	45	3	0.456115
46	SynCom	LJ9250	5.33	46	1	0.431281
47	SynCom	LJ9250	5.33	47	2	0.504643
48	SynCom	LJ9250	5.33	48	3	0.187225
49	SynCom	SI9227	7.6	49	1	0.185753
50	SynCom	SI9227	7.6	50	2	0.096475
51	SynCom	SI9227	7.6	51	3	0.072239
52	SynCom	SP9509	7	52	1	0.015501
53	SynCom	SP9509	7	53	2	-0.013065
54	SynCom	SP9509	7	54	3	1.138811
55	SynCom	LP0049	5.2	55	1	1.132748
56	SynCom	LP0049	5.2	56	2	0.84441
57	SynCom	LP0049	5.2	57	3	0.165714
58	SynCom	SI7820	6.8	58	1	0.605597
59	SynCom	SI7820	6.8	59	2	0.763102
60	SynCom	SI7820	6.8	60	3	0.452039
