"Species" "Microbiome" "Subsample" "Stile_diameter" "Endodermis_diameter" "CCL1_diameter" "CCL2_diameter" "CCL3_diameter" "CCL4_diameter" "Exodermis_diameter" "Epidermis_diameter" "Max_diameter" "Stile_cell" "Endodermis_n_cell" "CCL1_n_cell" "CCL2__n_cell" "CCL3_n_cell" "CCL4_n_cell" "Exodermis_n_cell" "Epidermis_n_cell" "Aerenchyma_mean_area" "Aerenchyma_n" "CCL" "root_plant"
"6" "SI7820" "NB" 1 7.099645 4.159490714 10.72575304 4.5995 0 0 19.34530583 7.706062604 139.35302 4 7 8 7 4 0 18 32 191.592525 6 7 4
"7" "SI7820" "NB" 2 8.10398375 5.475191964 12.62747429 0 0 0 25.0228225 10.17186066 120.903605 8 7 7 0 0 0 12 22 62.74142571 7 5 4
"8" "SI7820" "NB" 3 10.26286833 10.68733333 8.106241667 9.82025 0 0 28.16417571 7.108084643 154.8304875 6 6 6 6 0 0 21 28 378.9949617 6 6 4
"9" "SI7820" "NB" 4 10.5171 17.70979 19.90566286 0 0 0 13.3863025 11.08899592 147.989485 6 6 6 6 0 0 14 24 372.108455 6 5 4.333333333
"10" "SI7820" "NB" 5 5.87726375 5.135090536 19.26124946 16.72791054 0 0 36.84463071 6.148010429 130.4276825 8 7 6 9 0 0 14 29 176.8920483 6 6 1
"11" "SI9227" "NB" 1 7.088603333 2.194083333 13.61056619 9.33089 9.764888571 6.618421905 22.91132083 7.962001083 161.25379 6 6 7 7 6 3 33 31 533.2353029 7 8 5.5
"12" "SI9227" "NB" 2 7.088603333 2.194083333 13.61056619 9.33089 9.764888571 6.618421905 22.91132083 7.962001083 161.25379 6 6 7 7 6 3 33 31 533.2353029 7 8 3.333333333
"13" "SI9227" "NB" 3 10.53703714 5.664759524 20.69708833 11.36636071 3.398849286 0 36.80510761 9.49427893 197.9079475 7 6 8 7 2 0 23 39 820.5987571 7 7 2.4
"14" "SI9227" "NB" 4 10.53703714 5.664759524 20.69708833 11.36636071 3.398849286 0 36.80510761 9.49427893 197.9079475 7 6 8 7 2 0 23 39 820.5987571 7 7 7.5
"15" "SI9227" "NB" 5 9.132675714 4.807153036 19.10486696 12.94599714 6.196942143 0 19.70912196 9.938623366 162.0877883 7 8 7 7 2 0 23 31 650.181148 5 7 7.6
"16" "SP9509" "NB" 1 7.117105714 3.58412 13.34350429 6.199126 0 0 59.83519545 6.835726212 138.0670925 7 7 7 6 0 0 11 20 168.0465243 6 6 4
"17" "SP9509" "NB" 2 6.978728333 3.619186667 12.20653667 8.22543 3.602735833 0 24.22049544 9.603027748 139.660272 6 6 6 7 4 0 17 29 333.3720917 6 7 1.5
"18" "SP9509" "NB" 3 6.472784286 2.929074286 9.109268571 9.20128119 10.21598333 0 25.35804944 7.859089222 145.09582 7 7 6 6 6 0 18 30 450.7332033 6 7 3
"19" "SP9509" "NB" 4 8.718295714 5.456681429 14.55114714 0 0 0 27.81004208 8.081402767 134.80653 7 7 7 0 0 0 11 23 101.9378786 7 5 3
"20" "SP9509" "NB" 5 7.499775 3.681209286 8.113312381 6.634418333 9.006145 10.75609 18.92251895 8.630279841 153.376585 6 7 6 6 6 5 18 40 598.3701 7 8 3.333333333
"21" "SP5543" "NB" 1 9.03771 8.402458889 16.64236 10.38369444 0 0 22.201665 10.7764958 168.778756 7 9 9 6 0 0 18 29 170.20776 6 5 4.25
"22" "SP5543" "NB" 5 9.03771 8.402458889 16.64236 10.38369444 0 0 22.201665 10.7764958 168.778756 7 9 9 6 0 0 18 29 170.20776 6 7 3.75
"23" "SP5543" "NB" 2 8.93767125 4.8562925 11.8675175 8.989394464 0 0 24.73474429 8.168661935 137.22392 8 8 8 8 0 0 15 31 153.4847722 9 6 3.75
"24" "SP5543" "NB" 3 11.21018889 5.211847778 10.08440778 10.91378056 0 0 7.379525 8.897842667 111.7413625 9 9 9 3 0 0 12 29 15.94128333 9 6 2.428571429
"25" "SP5543" "NB" 4 7.96735625 3.482426607 17.23957464 8.9812545 0 0 27.70446443 8.229368371 150.0468325 8 8 8 5 0 0 14 25 186.6965275 8 6 2.375
"26" "SP7498" "NB" 1 5.95425 2.53898 10.74897 7.602112 0 0 25.88648108 8.487977756 123.602645 6 6 6 5 0 0 13 24 202.7758067 6 6 3.25
"27" "SP7498" "NB" 2 5.52306 2.572021667 11.038925 7.188881667 1.581551667 0 30.592685 8.637770145 133.748585 6 6 6 6 1 0 12 23 276.6932867 6 7 2.666666667
"28" "SP7498" "NB" 3 6.752814286 2.714711429 12.14162571 6.83153 7.759302571 0 27.35202663 7.191377813 145.880275 7 7 7 7 5 0 16 22 301.746485 8 7 2.666666667
"29" "SP7498" "NB" 4 9.557942857 2.660279143 14.44908086 12.95763 15.82241381 0 32.78053439 8.26783209 204.3137325 7 5 7 7 2 0 19 36 806.1665829 7 7 2.166666667
"30" "SP7498" "NB" 5 6.340124286 1.865487143 12.55250143 6.94024 6.181397143 0 19.93188556 21.12353025 127.1090875 7 7 7 7 2 0 15 23 262.4547833 6 7 3.2
"31" "SP9192" "NB" 1 7.704012857 4.157588571 9.704807143 7.33227 0 0 18.8094158 8.75861625 120.2504267 7 7 7 7 1 0 16 32 119.9627929 7 5 1
"32" "SP9192" "NB" 2 7.704012857 4.157588571 9.704807143 7.33227 0 0 18.8094158 8.75861625 120.2504267 7 7 7 7 1 0 16 32 119.9627929 7 7 1.375
"33" "SP9192" "NB" 3 9.129381429 3.277581429 9.44907 4.069569643 0 0 14.4091035 7.638021407 100.7844125 7 7 7 7 1 0 15 21 59.73555429 7 6 2.333333333
"34" "SP9192" "NB" 4 7.704012857 4.157588571 9.704807143 7.33227 0 0 18.8094158 8.75861625 120.2504267 7 7 7 7 1 0 16 32 119.9627929 7 6 2.666666667
"35" "SP9192" "NB" 5 9.129381429 3.277581429 9.44907 4.069569643 0 0 14.4091035 7.638021407 100.7844125 7 7 7 7 1 0 15 21 59.73555429 7 6 1
"36" "LP7760" "NB" 1 5.88957 2.906201429 12.41119143 0 0 0 24.38987014 8.421717952 115.8207525 7 7 7 0 0 0 10 21 24.23872571 7 5 2.6
"37" "LP7760" "NB" 2 9.563801875 3.628462875 17.94810736 2.406683514 0 0 31.34342933 2.704140356 99.3240075 8 8 8 8 0 0 30 18 52.61982968 8 6 2.6
"38" "LP7760" "NB" 3 5.9879925 3.45119125 9.4352375 0 0 0 23.95521589 7.822421357 104.5397025 8 8 8 0 0 0 8 20 13.19808714 7 5 1
"39" "LP7760" "NB" 4 8.254903333 3.933386667 14.65654 0 0 0 26.98455091 8.144319891 125.95586 8 8 8 8 0 0 11 25 27.87535875 8 5 2
"40" "LP7760" "NB" 5 7.84161625 2.67051125 18.68354679 0 0 0 38.33339155 6.321982567 152.898158 8 8 7 0 0 0 12 25 30.72389 7 5 2.444444444
"41" "LP0049" "NB" 1 8.157924444 3.548797778 13.71536444 0 0 0 27.42620533 7.693349154 123.55172 9 9 9 0 0 0 10 26 43.38780556 9 5 1
"42" "LP0049" "NB" 2 10.26021889 4.756644747 17.19447455 0 0 0 21.22327 6.910758077 134.602535 9 11 11 4 0 0 16 26 82.67554545 8 4 0.9
"43" "LP0049" "NB" 3 7.07920375 3.9321175 12.38615625 0 0 0 26.58701139 4.932242711 114.6632175 8 8 8 0 0 0 9 24 25.81909444 9 6 1.1
"44" "LP0049" "NB" 4 6.59700875 2.9517 7.391445 0 0 0 19.35680625 5.654436471 88.2879325 8 8 8 0 0 0 8 17 18.634429 10 5 1
"45" "LP0049" "NB" 5 2.177459 1.335231 3.827517778 0 0 0 9.601731111 1.643038254 38.11714 10 10 8 0 0 0 9 21 2.874648889 9 5 1
"46" "LT9109" "NB" 1 7.46972 2.72813 13.68876333 0 0 0 33.66779111 15.86253261 150.7265125 8 8 8 0 0 0 9 17 130.5744886 7 5 1.111111111
"47" "LT9109" "NB" 2 8.575713125 4.952079 10.97092625 0 0 0 25.2548555 15.11289339 128.2987313 8 8 8 0 0 0 8 17 54.20623692 10 4 1
"48" "LT9109" "NB" 3 6.6300275 3.674655 13.366555 0 0 0 36.48625875 14.47697185 156.017755 8 8 8 0 0 0 8 21 59.6505125 8 6 2.4
"49" "LT9109" "NB" 5 6.6300275 3.674655 13.366555 0 0 0 36.48625875 14.47697185 156.017755 8 8 8 0 0 0 8 21 59.6505125 8 5 1
"50" "LT9109" "NB" 4 6.36645 3.400087143 11.05366429 0 0 0 32.21277286 14.07047513 135.0733475 7 7 7 0 0 0 7 17 26.8289425 8 5 1
"51" "LJ9250" "NB" 1 7.42476 3.74575125 12.24519875 0 0 0 31.423445 13.24834088 139.2782075 7 8 8 0 0 0 8 17 46.74007625 8 5 1.125
"52" "LJ9250" "NB" 5 7.42476 3.74575125 12.24519875 0 0 0 31.423445 13.24834088 139.2782075 7 8 8 0 0 0 8 17 46.74007625 8 4 1
"53" "LJ9250" "NB" 2 6.52553 3.273505556 11.05632222 0 0 0 30.17587111 12.54753833 127.2056 9 9 9 0 0 0 9 18 19.546046 10 6 1
"54" "LJ9250" "NB" 3 7.29267 3.04901625 10.92871931 0 0 0 33.40818694 12.75072361 137.8150275 7 8 8 0 0 0 8 18 37.4220725 8 5 1
"55" "LJ9250" "NB" 4 7.511388889 3.56448 12.97712778 0 0 0 31.82658222 9.569723492 133.0941433 9 9 9 0 0 0 9 21 39.47459333 9 5 1
"56" "LM7123" "NB" 1 6.501557143 2.861298571 10.62076286 3.494244505 17.90085192 0 17.46039967 36.54008627 134.440635 7 7 7 7 2 0 15 27 240.5283171 7 7 1
"57" "LM7123" "NB" 2 6.032021429 2.381505714 10.04627429 0 0 0 38.73369039 13.35289427 135.0723525 7 7 7 0 0 0 7 15 25.33308714 7 5 2
"58" "LM7123" "NB" 3 7.66223625 3.487595 11.5396525 0 0 0 30.3849025 10.68975125 136.4459275 8 8 8 0 0 0 8 20 23.88218167 6 5 1
"59" "LM7123" "NB" 4 8.835244444 3.96562 14.33029667 0 0 0 37.53173222 12.81468095 160.28614 9 9 9 0 0 0 9 21 33.50711667 9 6 1
"60" "LM7123" "NB" 5 8.835244444 3.96562 14.33029667 0 0 0 37.53173222 12.81468095 160.28614 9 9 9 0 0 0 9 21 33.50711667 9 6 1
"61" "LM8389" "NB" 1 8.506563333 3.789692222 14.4242 0 0 0 37.78005667 14.98597578 164.8106425 9 9 9 0 0 0 10 19 34.190058 10 4 1
"62" "LM8389" "NB" 2 7.17071625 4.0998225 11.7172425 0 0 0 32.09505875 9.480533 175.4174675 8 8 8 0 0 0 8 20 44.70293 6 6 1
"63" "LM8389" "NB" 4 7.17071625 4.0998225 11.7172425 0 0 0 32.09505875 9.480533 175.4174675 8 8 8 0 0 0 8 20 44.70293 6 5 1.333333333
"64" "LM8389" "NB" 3 5.988983333 4.050793333 26.75144833 0 0 0 23.88495727 5.574735108 146.847445 6 6 6 0 0 0 11 21 106.0353575 6 5 1.142857143
"65" "LM8389" "NB" 5 5.988983333 4.050793333 26.75144833 0 0 0 23.88495727 5.574735108 146.847445 6 6 6 0 0 0 11 21 106.0353575 6 5 1
"66" "LV7650" "NB" 1 4.780761667 3.339846667 21.31404333 0 0 0 23.942495 3.965902807 117.60979 6 6 6 0 0 0 7 19 5.849299091 11 5 2.25
"67" "LV7650" "NB" 2 6.13814 3.636484286 16.06610286 14.14950086 0 0 33.19235152 5.725970381 135.4751925 7 7 7 5 0 0 15 21 139.4021586 7 6 2.5
"68" "LV7650" "NB" 3 5.5315875 3.6022 17.92890875 14.84668042 0 0 18.3537051 6.421391569 137.1330975 8 8 8 6 0 0 13 21 225.6719371 7 6 2
"69" "LV7650" "NB" 4 5.892976667 3.824963333 23.89923833 0 0 0 27.52268238 7.014034503 141.1117775 6 6 6 0 0 0 14 23 84.18467286 11 5 2
"70" "LV7650" "NB" 5 5.672332857 3.689968571 21.31705857 11.83034 0 0 13.11850417 3.129827433 125.6104625 7 7 7 2 0 0 12 25 49.431848 5 6 1.5
"71" "LY5280" "NB" 1 5.83838 4.300145 22.05815833 17.13688067 0 0 33.64981247 8.311486978 181.4152525 6 6 6 5 0 0 17 29 874.3621083 6 6 2
"72" "LY5280" "NB" 2 0.002458571 0.001564286 0.00822 0.00558 0 0 0.012036617 0.003226082 0.06481 7 7 7 2 0 0 19 27 8.29e-05 5 6 1.75
"73" "LY5280" "NB" 3 6.296971429 4.803611429 28.19168 17.73791714 0 0 37.04095091 8.337412841 208.20497 7 7 7 7 0 0 22 32 1188.182667 5 6 1
"74" "LY5280" "NB" 4 4.919811667 4.294693333 19.92737833 16.663415 0 0 32.00160381 7.722726005 171.52098 6 6 6 6 0 0 14 27 701.5478433 11 6 2
"75" "LY5280" "NB" 5 6.034354286 4.038065714 20.46298143 0 0 0 32.49774563 6.923148358 140.9161875 7 7 7 0 0 0 17 24 188.6196486 5 5 1
"76" "LM7200" "NB" 1 6.56001 3.457068571 14.34361857 8.893184524 0 0 11.88680708 10.93486236 115.293195 7 7 7 6 0 0 24 26 204.8517471 7 6 1
"77" "LM7200" "NB" 2 7.486365714 2.730525714 14.75580357 9.203501667 10.59948619 2.063617143 28.62870318 6.750690956 168.663185 7 7 8 6 7 3 22 29 860.4395443 7 8 1
"78" "LM7200" "NB" 5 7.486365714 2.730525714 14.75580357 9.203501667 10.59948619 2.063617143 28.62870318 6.750690956 168.663185 7 7 8 6 7 3 22 29 860.4395443 7 8 1
"79" "LM7200" "NB" 3 3.365507143 2.124777143 8.786975714 3.6498175 0 0 11.40867179 5.447879048 71.2743875 7 7 7 4 0 0 14 24 48.02760714 7 6 1
"80" "LM7200" "NB" 4 6.74531 4.936492857 24.76648 18.10746571 11.71104143 0 25.21811741 9.400699489 205.955895 7 7 7 6 0 0 27 29 1346.961784 7 7 2
"81" "LA7339" "NB" 1 6.529924 4.500140143 10.07024529 0 0 0 28.16521629 13.5436916 127.1098153 7 7 7 0 0 0 7 16 162.8400119 7 5 2
"82" "LA7339" "NB" 2 5.50499 3.052488571 10.78546143 0 0 0 38.30147 11.32021947 139.4150725 7 7 7 0 0 0 7 19 29.1488175 8 5 1
"83" "LA7339" "NB" 3 6.35226 2.93384 8.102984286 0 0 0 31.34667 13.22847214 126.356915 7 7 7 0 0 0 7 14 13.65473571 7 4 1
"84" "LA7339" "NB" 4 7.299937143 2.857125714 14.06640089 0 0 0 30.02733403 9.520713472 126.95107 7 7 8 0 0 0 9 16 16.53156286 7 6 1
