"","Stile_diameter","Endodermis_diameter","CCL1_diameter","CCL2_diameter","CCL3_diameter","CCL4_diameter","Exodermis_diameter","Epidermis_diameter","Max_diameter","Endodermis_n_cell","CCL1_n_cell","CCL2__n_cell","CCL3_n_cell","CCL4_n_cell","Exodermis_n_cell","Epidermis_n_cell","Aerenchyma_mean_area","Aerenchyma_n","CCL","root_plant"
"Stile_diameter",1,0.762714115161878,0.306581971152435,0.67235953522714,0.846309305253079,0.891477674700342,0.431433989190858,0.742349945443192,0.967220994450987,0.92402784365232,0.867958130918818,0.629748922062894,0.517763742287254,0.835010111877485,0.487326941824171,0.472467143290375,0.788343849267329,0.520096296691429,0.407578893406261,0.527720029714165
"Endodermis_diameter",0.762714115161878,1,0.298146666173704,0.528704200929672,0.664854412375125,0.652360710652796,0.311247050213979,0.487403445235405,0.738323315785247,0.728500715015965,0.687338974661721,0.549927671398303,0.413924600484033,0.631853992038221,0.461128961786729,0.501192922703397,0.611726376465552,0.461247005971759,0.324472407542412,0.418189963618772
"CCL1_diameter",0.306581971152435,0.298146666173704,1,0.522501809226291,0.332634738307052,0.306742265917057,0.110363988656941,0.0159467823049324,0.401122445936648,0.21892897073872,0.192258927594125,0.342426107917638,0.197859865088746,0.313948974061966,0.432888370371747,0.363446713044529,0.427925665093662,0.0995203052701074,0.279384348566759,0.114782367494249
"CCL2_diameter",0.67235953522714,0.528704200929672,0.522501809226291,1,0.77427879092959,0.646254145368323,-0.0783442160791295,0.268352838291266,0.710878593488334,0.570150395694879,0.550655845017537,0.820772013762091,0.521368471967529,0.629827981688617,0.735870731660558,0.688098770479138,0.704161315697064,0.190115546561726,0.705009708890112,0.543542182269988
"CCL3_diameter",0.846309305253079,0.664854412375125,0.332634738307052,0.77427879092959,1,0.773601453514771,0.247300395513563,0.49319230616223,0.874620774866861,0.743083723636544,0.723394049411501,0.773579940716157,0.73848386946234,0.716462974609553,0.750836165890325,0.705742287855127,0.868607630546299,0.322923253601037,0.68937012466723,0.705615697523144
"CCL4_diameter",0.891477674700342,0.652360710652796,0.306742265917057,0.646254145368323,0.773601453514771,1,0.33212569113934,0.6658206015643,0.903448687389859,0.802123405668138,0.719597380394792,0.620422498536738,0.599027150689635,0.931904812988922,0.545186762870242,0.498154437193994,0.814735527744369,0.42763013841756,0.484254621543373,0.382583032237939
"Exodermis_diameter",0.431433989190858,0.311247050213979,0.110363988656941,-0.0783442160791295,0.247300395513563,0.33212569113934,1,0.473941232417815,0.470205632085701,0.431883655774826,0.437168407333423,-0.0919168745035624,0.158320430261309,0.381942084626981,-0.154837437963319,-0.0138190673027757,0.268010523196024,0.38537704366847,-0.165804183599784,0.0617320329116615
"Epidermis_diameter",0.742349945443192,0.487403445235405,0.0159467823049324,0.268352838291266,0.49319230616223,0.6658206015643,0.473941232417815,1,0.735966063537262,0.754450306169572,0.651536710691183,0.280419609656977,0.230853855026279,0.556540337894305,0.0950404335597236,-0.0369343500487796,0.485850441542367,0.536056363711626,0.10204775733003,0.1845974653079
"Max_diameter",0.967220994450987,0.738323315785247,0.401122445936648,0.710878593488334,0.874620774866861,0.903448687389859,0.470205632085701,0.735966063537262,1,0.892505617439095,0.822558199644626,0.658564235389511,0.592917687931116,0.835885007067436,0.551218084856952,0.498697985686327,0.854052662903926,0.493166780460999,0.489129254201398,0.50578818567297
"Endodermis_n_cell",0.92402784365232,0.728500715015965,0.21892897073872,0.570150395694879,0.743083723636544,0.802123405668138,0.431883655774826,0.754450306169572,0.892505617439095,1,0.938434068446745,0.514981675801293,0.44559112977876,0.733649537674702,0.360954675283837,0.355952681871063,0.625826973068562,0.654807284325507,0.299436011080581,0.470532280419314
"CCL1_n_cell",0.867958130918818,0.687338974661721,0.192258927594125,0.550655845017537,0.723394049411501,0.719597380394792,0.437168407333423,0.651536710691183,0.822558199644626,0.938434068446745,1,0.418925771390672,0.407756933880994,0.710554122121859,0.318847453974889,0.38929154315341,0.523873609800568,0.694325473642108,0.229324693309553,0.503102102338272
"CCL2__n_cell",0.629748922062894,0.549927671398303,0.342426107917638,0.820772013762091,0.773579940716157,0.620422498536738,-0.0919168745035624,0.280419609656977,0.658564235389511,0.514981675801293,0.418925771390672,1,0.665034168825488,0.50161581699456,0.837774307799863,0.73113981236826,0.767174377023411,0.0847959744820799,0.833206614343436,0.550262840951138
"CCL3_n_cell",0.517763742287254,0.413924600484033,0.197859865088746,0.521368471967529,0.73848386946234,0.599027150689635,0.158320430261309,0.230853855026279,0.592917687931116,0.44559112977876,0.407756933880994,0.665034168825488,1,0.532800214995569,0.764987554495354,0.7079121717128,0.737863814912765,0.136271256645332,0.719276646963919,0.46243284183331
"CCL4_n_cell",0.835010111877485,0.631853992038221,0.313948974061966,0.629827981688617,0.716462974609553,0.931904812988922,0.381942084626981,0.556540337894305,0.835885007067436,0.733649537674702,0.710554122121859,0.50161581699456,0.532800214995569,1,0.472741518360204,0.509538290932793,0.725613865928978,0.420548921249314,0.354950941667446,0.362668586892251
"Exodermis_n_cell",0.487326941824171,0.461128961786729,0.432888370371747,0.735870731660558,0.750836165890325,0.545186762870242,-0.154837437963319,0.0950404335597236,0.551218084856952,0.360954675283837,0.318847453974889,0.837774307799863,0.764987554495354,0.472741518360204,1,0.807788716708134,0.773642935127029,0.000169044837251901,0.834515716631707,0.513785101222468
"Epidermis_n_cell",0.472467143290375,0.501192922703397,0.363446713044529,0.688098770479138,0.705742287855127,0.498154437193994,-0.0138190673027757,-0.0369343500487796,0.498697985686327,0.355952681871063,0.38929154315341,0.73113981236826,0.7079121717128,0.509538290932793,0.807788716708134,1,0.646210022776186,0.0414487374020535,0.700859294965295,0.548052871282183
"Aerenchyma_mean_area",0.788343849267329,0.611726376465552,0.427925665093662,0.704161315697064,0.868607630546299,0.814735527744369,0.268010523196024,0.485850441542367,0.854052662903926,0.625826973068562,0.523873609800568,0.767174377023411,0.737863814912765,0.725613865928978,0.773642935127029,0.646210022776186,1,0.206323086932062,0.687926400115184,0.462136934667404
"Aerenchyma_n",0.520096296691429,0.461247005971759,0.0995203052701074,0.190115546561726,0.322923253601037,0.42763013841756,0.38537704366847,0.536056363711626,0.493166780460999,0.654807284325507,0.694325473642108,0.0847959744820799,0.136271256645332,0.420548921249314,0.000169044837251901,0.0414487374020535,0.206323086932062,1,-0.0716625390759593,0.123548910749053
"CCL",0.407578893406261,0.324472407542412,0.279384348566759,0.705009708890112,0.68937012466723,0.484254621543373,-0.165804183599784,0.10204775733003,0.489129254201398,0.299436011080581,0.229324693309553,0.833206614343436,0.719276646963919,0.354950941667446,0.834515716631707,0.700859294965295,0.687926400115184,-0.0716625390759593,1,0.488451528977355
"root_plant",0.527720029714165,0.418189963618772,0.114782367494249,0.543542182269988,0.705615697523144,0.382583032237939,0.0617320329116615,0.1845974653079,0.50578818567297,0.470532280419314,0.503102102338272,0.550262840951138,0.46243284183331,0.362668586892251,0.513785101222468,0.548052871282183,0.462136934667404,0.123548910749053,0.488451528977355,1
