"","Stile_diameter","Endodermis_diameter","CCL1_diameter","CCL2_diameter","CCL3_diameter","CCL4_diameter","Exodermis_diameter","Epidermis_diameter","Max_diameter","Endodermis_n_cell","CCL1_n_cell","CCL2__n_cell","CCL3_n_cell","CCL4_n_cell","Exodermis_n_cell","Epidermis_n_cell","Aerenchyma_mean_area","Aerenchyma_n","CCL","root_plant"
"Stile_diameter",0,2.68251471420738e-19,0.00251314102103675,8.5973673569181e-14,3.54387545169554e-27,9.73065527415864e-34,1.27107829904653e-05,7.37861602114577e-18,3.7159158409628e-57,1.30715428802388e-40,5.10754574373311e-30,8.11620723472789e-12,7.73161726532203e-08,7.30853357017404e-26,5.48992631578485e-07,1.3372016133689e-06,2.4996700651101e-21,6.60005173776952e-08,4.14073098814212e-05,3.90210085115159e-08
"Endodermis_diameter",2.68251471420738e-19,0,0.00334027017361284,3.64268712048661e-08,2.02099113077345e-13,7.95135612623252e-13,0.0021395775149329,5.46422444191529e-07,1.36991294889161e-17,5.91596391154484e-17,1.44621201966242e-14,7.8226207897219e-09,3.05072488659643e-05,6.59018893344927e-12,2.56575928449789e-06,2.30131821626114e-07,4.53513869199163e-11,2.54871485550795e-06,0.00133679132980528,2.47577200716844e-05
"CCL1_diameter",0.00251314102103675,0.00334027017361284,0,5.5992865483054e-08,0.000989420262536962,0.00249938926126319,0.287006625794678,0.878096942555668,5.61496044025116e-05,0.033044869990667,0.0619638023322076,0.000682106073642222,0.0546036557121615,0.00194687507181011,1.17931942727419e-05,0.000294410734410445,1.5207429233281e-05,0.337282955480073,0.00610890324974283,0.268028059595024
"CCL2_diameter",8.5973673569181e-14,3.64268712048661e-08,5.5992865483054e-08,0,3.5096370294836e-20,1.51782005050616e-12,0.45045471877631,0.00855434500888818,7.00313082010365e-16,1.62928562124908e-09,7.40626829068907e-09,2.42871103536368e-24,6.05129046296144e-08,8.05319652945366e-12,1.98594147098325e-17,1.31743475178245e-14,1.71249699788838e-15,0.0649858922669398,1.53173091348206e-15,1.25671160183426e-08
"CCL3_diameter",3.54387545169554e-27,2.02099113077345e-13,0.000989420262536962,3.5096370294836e-20,0,3.96668200118811e-20,0.0156863388471274,3.81833101830656e-07,5.38618766574422e-31,6.5836814590729e-18,1.23460779615307e-16,3.98210718084399e-20,1.3368194418279e-17,3.26557823035211e-16,1.92745849010622e-18,1.3906273161852e-15,4.12416747165037e-30,0.00141405027200397,1.12636698908062e-14,1.41407574739144e-15
"CCL4_diameter",9.73065527415864e-34,7.95135612623252e-13,0.00249938926126319,1.51782005050616e-12,3.96668200118811e-20,0,0.00100840643637172,1.81290560568912e-13,5.61725675083208e-36,1.53501531457462e-22,2.11102391385832e-16,2.00448449590628e-11,1.43022258139327e-10,9.65426783853366e-43,1.11332253868913e-08,2.79350651600551e-07,9.78100529729139e-24,1.54375015829771e-05,6.62221301603071e-07,0.000130120067712622
"Exodermis_diameter",1.27107829904653e-05,0.0021395775149329,0.287006625794678,0.45045471877631,0.0156863388471274,0.00100840643637172,0,1.22645234021152e-06,1.52566876024303e-06,1.24201623044723e-05,9.44052481570522e-06,0.375664855527994,0.125431037870367,0.000133837955410342,0.134070551343133,0.89426071785163,0.00864235816604768,0.000115004339500655,0.108317567382501,0.552317265380054
"Epidermis_diameter",7.37861602114577e-18,5.46422444191529e-07,0.878096942555668,0.00855434500888818,3.81833101830656e-07,1.81290560568912e-13,1.22645234021152e-06,0,1.95763245785286e-17,1.07040241795393e-18,8.68363829842097e-13,0.0059148434923074,0.0243986531120063,4.73748399350218e-09,0.359586930379831,0.722329542259049,6.00900403207112e-07,2.16368648698875e-08,0.325094320051769,0.0733191153008741
"Max_diameter",3.7159158409628e-57,1.36991294889161e-17,5.61496044025116e-05,7.00313082010365e-16,5.38618766574422e-31,5.61725675083208e-36,1.52566876024303e-06,1.95763245785286e-17,0,6.40364520586372e-34,1.59217933625338e-24,4.06043772123482e-13,2.44165916957848e-10,5.82966031499361e-26,7.09938013311765e-09,2.69868331088396e-07,3.85624515909825e-28,3.82442571972322e-07,4.91385942879173e-07,1.71048003437016e-07
"Endodermis_n_cell",1.30715428802388e-40,5.91596391154484e-17,0.033044869990667,1.62928562124908e-09,6.5836814590729e-18,1.53501531457462e-22,1.24201623044723e-05,1.07040241795393e-18,6.40364520586372e-34,0,1.03350901288228e-44,9.32323580707014e-08,6.03905836247791e-06,2.77006496382129e-17,0.000326238706073074,0.000399883971327702,1.19142260087199e-11,6.11144051272382e-13,0.00319982744511561,1.49697489818956e-06
"CCL1_n_cell",5.10754574373311e-30,1.44621201966242e-14,0.0619638023322076,7.40626829068907e-09,1.23460779615307e-16,2.11102391385832e-16,9.44052481570522e-06,8.68363829842097e-13,1.59217933625338e-24,1.03350901288228e-44,0,2.38748748224292e-05,4.10573544106348e-05,7.31650103261447e-16,0.00163703852379142,9.65524676770614e-05,5.09516713328898e-08,6.06867135336128e-15,0.0253863808530359,2.03549237047369e-07
"CCL2__n_cell",8.11620723472789e-12,7.8226207897219e-09,0.000682106073642222,2.42871103536368e-24,3.98210718084399e-20,2.00448449590628e-11,0.375664855527994,0.0059148434923074,4.06043772123482e-13,9.32323580707014e-08,2.38748748224292e-05,0,1.98060647378594e-13,2.23973578737676e-07,3.56149411814409e-26,4.01848685593624e-17,1.24142369617436e-19,0.413916650206266,1.15993432590288e-25,7.62827224194433e-09
"CCL3_n_cell",7.73161726532203e-08,3.05072488659643e-05,0.0546036557121615,6.05129046296144e-08,1.3368194418279e-17,1.43022258139327e-10,0.125431037870367,0.0243986531120063,2.44165916957848e-10,6.03905836247791e-06,4.10573544106348e-05,1.98060647378594e-13,0,2.7293039120915e-08,1.81511911295582e-19,1.04264177624582e-15,1.46907833256132e-17,0.187913513436269,2.20799649261216e-16,2.38332050635004e-06
"CCL4_n_cell",7.30853357017404e-26,6.59018893344927e-12,0.00194687507181011,8.05319652945366e-12,3.26557823035211e-16,9.65426783853366e-43,0.000133837955410342,4.73748399350218e-09,5.82966031499361e-26,2.77006496382129e-17,7.31650103261447e-16,2.23973578737676e-07,2.7293039120915e-08,0,1.31589607786259e-06,1.33828492208395e-07,8.98512851601629e-17,2.20304872695111e-05,0.000416355645427531,0.000304027553048457
"Exodermis_n_cell",5.48992631578485e-07,2.56575928449789e-06,1.17931942727419e-05,1.98594147098325e-17,1.92745849010622e-18,1.11332253868913e-08,0.134070551343133,0.359586930379831,7.09938013311765e-09,0.000326238706073074,0.00163703852379142,3.56149411814409e-26,1.81511911295582e-19,1.31589607786259e-06,0,4.56999741020457e-23,3.93710246465263e-20,0.998702773465811,8.29968256492326e-26,1.00997326907652e-07
"Epidermis_n_cell",1.3372016133689e-06,2.30131821626114e-07,0.000294410734410445,1.31743475178245e-14,1.3906273161852e-15,2.79350651600551e-07,0.89426071785163,0.722329542259049,2.69868331088396e-07,0.000399883971327702,9.65524676770614e-05,4.01848685593624e-17,1.04264177624582e-15,1.33828492208395e-07,4.56999741020457e-23,0,1.5248460470005e-12,0.690029056142065,2.63376054593587e-15,9.00009972529729e-09
"Aerenchyma_mean_area",2.4996700651101e-21,4.53513869199163e-11,1.5207429233281e-05,1.71249699788838e-15,4.12416747165037e-30,9.78100529729139e-24,0.00864235816604768,6.00900403207112e-07,3.85624515909825e-28,1.19142260087199e-11,5.09516713328898e-08,1.24142369617436e-19,1.46907833256132e-17,8.98512851601629e-17,3.93710246465263e-20,1.5248460470005e-12,0,0.0448556454518493,1.34563899274996e-14,2.42361599915784e-06
"Aerenchyma_n",6.60005173776952e-08,2.54871485550795e-06,0.337282955480073,0.0649858922669398,0.00141405027200397,1.54375015829771e-05,0.000115004339500655,2.16368648698875e-08,3.82442571972322e-07,6.11144051272382e-13,6.06867135336128e-15,0.413916650206266,0.187913513436269,2.20304872695111e-05,0.998702773465811,0.690029056142065,0.0448556454518493,0,0.490117828808198,0.2329318131855
"CCL",4.14073098814212e-05,0.00133679132980528,0.00610890324974283,1.53173091348206e-15,1.12636698908062e-14,6.62221301603071e-07,0.108317567382501,0.325094320051769,4.91385942879173e-07,0.00319982744511561,0.0253863808530359,1.15993432590288e-25,2.20799649261216e-16,0.000416355645427531,8.29968256492326e-26,2.63376054593587e-15,1.34563899274996e-14,0.490117828808198,0,5.12340391568903e-07
"root_plant",3.90210085115159e-08,2.47577200716844e-05,0.268028059595024,1.25671160183426e-08,1.41407574739144e-15,0.000130120067712622,0.552317265380054,0.0733191153008741,1.71048003437016e-07,1.49697489818956e-06,2.03549237047369e-07,7.62827224194433e-09,2.38332050635004e-06,0.000304027553048457,1.00997326907652e-07,9.00009972529729e-09,2.42361599915784e-06,0.2329318131855,5.12340391568903e-07,0
