"","Stile_diameter","Endodermis_diameter","CCL1_diameter","CCL2_diameter","CCL3_diameter","CCL4_diameter","Exodermis_diameter","Epidermis_diameter","Max_diameter","Endodermis_n_cell","CCL1_n_cell","CCL2__n_cell","CCL3_n_cell","CCL4_n_cell","Exodermis_n_cell","Epidermis_n_cell","Aerenchyma_mean_area","Aerenchyma_n","CCL","root_plant"
"Stile_diameter",0,4.8120252619951e-07,0.0614778721398784,6.99374151242093e-08,1.06890658828468e-11,2.34321439068921e-19,0.3664690747234,0.619635552161321,1.20240822813528e-17,3.4774692129429e-28,4.35012160874985e-22,4.15270368304666e-11,6.37420043640804e-11,1.00165943062535e-22,1.25402787845214e-10,1.66932841162548e-13,0.431941059693051,6.30323469645411e-07,5.86892019570235e-05,0.00837890985089541
"Endodermis_diameter",4.8120252619951e-07,0,0.00299443445318806,0.00944074145133564,0.0930513656305709,0.0139993423604307,0.461655563391989,0.592424833797976,7.485686342723e-06,0.00422551253732789,0.00829852697754693,0.0011130111284338,0.288655025179982,0.0121180389430569,0.0162413287423093,0.00195735343543109,0.184679002428622,0.556107173488627,0.651854006181485,0.000411060001823695
"CCL1_diameter",0.0614778721398784,0.00299443445318806,0,0.0189917441772278,0.855412853048973,0.918232398810736,0.00186614447971007,0.237866035026344,1.98819316525841e-07,0.833131447705655,0.861221619905868,0.555888100539759,0.422727055268845,0.333105832166339,0.0097564771637576,0.021735891816513,0.000198684772698222,0.778198317598755,0.83440170470208,0.330973622689661
"CCL2_diameter",6.99374151242093e-08,0.00944074145133564,0.0189917441772278,0,1.49297232809393e-09,1.36799679930099e-07,0.0215714306029531,0.222067979839823,1.39816105978807e-09,1.39419938075084e-05,3.17890948414162e-05,4.10830089407615e-21,8.33468777011591e-05,2.43293681010595e-06,3.90038347977666e-14,1.00103195249685e-15,5.16167592865925e-06,0.38057252729027,1.03442790970279e-13,0.000401800450787044
"CCL3_diameter",1.06890658828468e-11,0.0930513656305709,0.855412853048973,1.49297232809393e-09,0,4.96550042095891e-21,0.0523519339429631,0.0448265404264192,6.35892296870202e-13,2.73992965497795e-12,1.442971201486e-12,1.17156744830642e-14,3.53510674906856e-11,9.07099156247787e-13,6.72250414295806e-11,6.51476179472991e-11,0.000598217209599664,0.00280796964366775,4.3252439041653e-13,0.0530279846337655
"CCL4_diameter",2.34321439068921e-19,0.0139993423604307,0.918232398810736,1.36799679930099e-07,4.96550042095891e-21,0,0.0785834396638948,0.965121581728814,1.10839691507794e-12,3.79023683556612e-26,2.20431701511513e-22,9.59384558739366e-15,3.974823724744e-08,1.21876189023693e-33,6.87039633681391e-10,6.40752674412212e-10,0.184773502815057,2.12032171022921e-05,6.75982449921289e-09,0.0394884347058874
"Exodermis_diameter",0.3664690747234,0.461655563391989,0.00186614447971007,0.0215714306029531,0.0523519339429631,0.0785834396638948,0,0.153912566835743,0.00287115747727384,0.0998177199194023,0.205944488796365,0.0105093654871582,0.0791162279926636,0.176357069779045,0.00765191641307581,0.0092747162045726,0.0421746846828349,0.493873906930155,0.031574787343691,0.396298829625113
"Epidermis_diameter",0.619635552161321,0.592424833797976,0.237866035026344,0.222067979839823,0.0448265404264192,0.965121581728814,0.153912566835743,0,0.0586145172473937,0.84987534845285,0.496117733496657,0.529430656796496,0.351196993860652,0.679786023292055,0.0214956967064583,0.0708419672879441,0.639553362941415,0.505731578378211,0.485637565400533,0.174229180774369
"Max_diameter",1.20240822813528e-17,7.485686342723e-06,1.98819316525841e-07,1.39816105978807e-09,6.35892296870202e-13,1.10839691507794e-12,0.00287115747727384,0.0586145172473937,0,2.44484591676768e-10,1.20061732644489e-10,2.42029359903512e-08,3.95155195135142e-06,2.53966354402323e-11,2.38806803499943e-07,8.76406117335628e-10,1.84334557328259e-06,0.0144757269862172,7.49414941045065e-06,0.0232078753875027
"Endodermis_n_cell",3.4774692129429e-28,0.00422551253732789,0.833131447705655,1.39419938075084e-05,2.73992965497795e-12,3.79023683556612e-26,0.0998177199194023,0.84987534845285,2.44484591676768e-10,0,3.22993330565739e-48,1.55039056823466e-09,3.8386074938518e-08,6.18614809654893e-24,2.19086931694451e-06,3.91812051614454e-08,0.357651124298646,7.24312047979515e-09,0.00194049772343041,0.451187362853974
