"","Stile_diameter","Endodermis_diameter","CCL1_diameter","CCL2_diameter","CCL3_diameter","CCL4_diameter","Exodermis_diameter","Epidermis_diameter","Max_diameter","Endodermis_n_cell","CCL1_n_cell","CCL2__n_cell","CCL3_n_cell","CCL4_n_cell","Exodermis_n_cell","Epidermis_n_cell","Aerenchyma_mean_area","Aerenchyma_n","CCL","root_plant"
"Stile_diameter",1,0.489468573776088,0.192611465303889,0.519244283522341,0.626941224887914,0.763504090180876,-0.0936931265028991,0.0515750213438395,0.739178246486895,0.85440307424662,0.797101750939254,0.612677593850774,0.608020818359494,0.804140635382188,0.600509435586867,0.66655190432779,0.0815744137908334,0.485066372870267,0.400173539283144,0.269044513148129
"Endodermis_diameter",0.489468573776088,1,0.30141611711752,0.265037904286535,0.173302529319324,0.251377064386394,-0.0764258597302716,0.0556169626027519,0.441570549342218,0.290986098634496,0.269365698333017,0.329468412397848,0.109989545416788,0.256460849935385,0.24604220004632,0.313795975475524,0.137266494345256,0.0611454275673214,0.0468861376315953,0.355268967864423
"CCL1_diameter",0.192611465303889,0.30141611711752,1,0.240306318903989,0.0189441258373287,0.0106737515963442,0.315153345015608,-0.122263680797834,0.503466479411032,0.0219034105532167,-0.0181752102680576,0.0611792834101566,0.083211376122201,0.100379838567219,0.263922946726281,0.235256436128393,0.372811117853138,-0.0292799157381389,0.0217342547331197,0.100821225134313
"CCL2_diameter",0.519244283522341,0.265037904286535,0.240306318903989,1,0.571237673063626,0.509204533931852,-0.235543210952035,-0.126447237516524,0.572051556283326,0.429630144775393,0.413077062560962,0.785777244050797,0.392546020876816,0.46206914980051,0.679110723279571,0.708217433919172,0.448498378080656,0.0909797253213839,0.670753580816839,0.355834200397588
"CCL3_diameter",0.626941224887914,0.173302529319324,0.0189441258373287,0.571237673063626,1,0.784788952299801,-0.199696907708608,0.206350545931136,0.654439689499216,0.640552137681418,0.646736819225397,0.689051492639355,0.614407999607805,0.6511275878737,0.607437313640389,0.607781734411682,0.345806431506097,0.303322285161371,0.657987181649769,0.19913864778387
"CCL4_diameter",0.763504090180876,0.251377064386394,0.0106737515963442,0.509204533931852,0.784788952299801,1,-0.181367115585127,0.00454651700592636,0.64924067742887,0.837536975022622,0.800394974422568,0.690665386537836,0.527455328097618,0.890920249668498,0.580725827750628,0.581563840158186,0.137237238123575,0.421318704047236,0.551867928366974,0.21165733472486
"Exodermis_diameter",-0.0936931265028991,-0.0764258597302716,0.315153345015608,-0.235543210952035,-0.199696907708608,-0.181367115585127,1,0.147439819300316,0.302663930538978,-0.169868374635038,-0.130939232517195,-0.261386775137742,-0.181049943087125,-0.139886855462693,-0.27205397617126,-0.265637377144761,0.208916898709716,-0.0710451124993899,-0.220753627645642,-0.0880247915838278
"Epidermis_diameter",0.0515750213438395,0.0556169626027519,-0.122263680797834,-0.126447237516524,0.206350545931136,0.00454651700592636,0.147439819300316,1,0.194736199267507,0.0196780839170137,0.0706774506455784,-0.0653169790360097,-0.0967046655378971,-0.0428961516061743,-0.235675899968562,-0.186182460531197,-0.04866471339926,0.0691119375170811,-0.0724022925659611,-0.140571362737908
"Max_diameter",0.739178246486895,0.441570549342218,0.503466479411032,0.572051556283326,0.654439689499216,0.64924067742887,0.302663930538978,0.194736199267507,1,0.592902631462051,0.600998500163541,0.534489245125014,0.45338528545459,0.617929367341967,0.50061509302423,0.57778227037981,0.466932915455224,0.25018450152846,0.44154925858413,0.232769179493827
"Endodermis_n_cell",0.85440307424662,0.290986098634496,0.0219034105532167,0.429630144775393,0.640552137681418,0.837536975022622,-0.169868374635038,0.0196780839170137,0.592902631462051,1,0.948499730579718,0.570768542202813,0.527955012856016,0.816745374441907,0.463914679409868,0.527661318587196,-0.0954222658148589,0.550951907507337,0.314042456608494,0.0782179339863524
