"ID" "Name" "Syncom" "Phylum" "Clases" "Order" "Family" "Genus" "Replicates" "Batch" "CCL" "Complexity" "Stele_N_cell" "Endodermis_N_cell" "CCL1_N_cell" "CCL2_N_cell" "CCL3_N_cell" "CCL4_N_cell" "Exodermis_N_cell" "Epidermis_N_cell" "Aerenchyma_mean_area" "Aerenchyma_n" "Aerenchyma_total_area" "Stele_diameter" "Endodermis_diameter" "CCL1_diameter" "CCL2_diameter" "CCL3_diameter" "CCL4_diameter" "Exodermis_diameter" "Epidermis_diameter" "Root_diameter"
"NB1" "NB1" "NB" "NB" NA NA NA NA NA 1 1 6 6.166666667 6 6 6 6 1 0 15 25 369.83792 6 2219.00099 3.664938333 3.184411667 13.190345 8.772746667 3.980518333 0 29.733682 10.2550632 148.0206033
"NB3" "NB3" "NB" "NB" NA NA NA NA NA 3 1 6 6 7 7 7 7 0 0 16 18 230.23829 7 247.86239 3.97984 3.214765714 10.40005286 6.790491429 0 0 19.54704706 37.62710555 125.7955475
"NB4" "NB4" "NB" "NB" NA NA NA NA NA 4 1 6 5.857142857 7 7 7 6 0 0 15 49 519.0223563 8 3699.53169 6.055448571 3.815498571 14.19995571 8.88972381 0 0 26.30466 16.41889579 156.0259975
"1.1" "1.1" "Syncom" "Full_Syncom" NA NA NA NA NA 1 1 7 6.714285714 7 8 7 7 5 0 18 28 369.6752143 7 2587.72651 4.655728571 2.374312857 10.70514357 1.699995 13.2604 0 24.80417333 9.890129524 137.49331
"1.2" "1.2" "Syncom" "Full_Syncom" NA NA NA NA NA 2 1 6 5.857142857 7 7 7 6 0 0 15 29 287.1632617 6 18615.89427 5.661082857 3.969808571 13.34330143 23.04859857 10.25435524 0 3.907351458 4.284387092 128.05366
"1.3" "1.3" "Syncom" "Full_Syncom" NA NA NA NA NA 3 1 7 6.428571429 7 7 7 7 3 0 16 23 430.2382786 7 3011.66795 4.743414286 3.571141429 11.87545571 10.40165143 5.85742381 0 27.10387208 13.30578299 150.26925
"1.5" "1.5" "Syncom" "Full_Syncom" NA NA NA NA NA 4 1 7 6.714285714 7 7 7 7 5 0 14 33 297.4043214 7 2081.83025 4.442632857 2.919862857 10.16395429 6.920782857 5.631599143 0 18.2324755 7.941642083 117.5952233
"1.6" "1.6" "Syncom" "Full_Syncom" NA NA NA NA NA 5 1 7 6.714285714 7 7 7 7 5 0 16 24 331.1663929 7 2318.16475 4.558401429 4.061051429 10.06731857 7.064185714 6.443082857 0 19.19328176 10.23675199 123.4072675
"2.1" "2.1" "2" "P128A.22" "Firmicutes" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" 1 1 7 7 7 7 7 7 7 0 21 34 669.6721886 7 4687.73864 4.953017143 3.10867 13.40247571 9.927217143 11.23226714 0 32.52861667 7.162132073 166.1640025
"2.2" "2.2" "2" "P128A.22" "Firmicutes" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" 2 1 7 6.75 7 8 8 8 6 0 20 27 393.8244163 8 3150.59533 5.56174 3.43170375 11.46053 8.5982925 9.540782083 0 22.91951317 10.44190109 143.348515
"2.3" "2.3" "2" "P128A.22" "Firmicutes" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" 3 1 6 5.142857143 7 7 7 7 1 0 18 27 229.6057983 6 288.63509 6.07376 3.528867143 9.684655714 7.429788571 5.332758571 0 17.99384278 11.0400813 126.824645
"2.4" "2.4" "2" "P128A.22" "Firmicutes" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" 4 1 7 7.142857143 7 7 7 7 7 1 20 34 86.82354833 25 88.92526 5.492907143 3.083867143 14.15220143 8.763068571 11.81640286 0 35.57668536 6.8371775 172.3357775
"3.1" "3.1" "3" "P129" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 1 1 6 5.857142857 7 7 7 6 0 0 11 21 199.3732529 7 1395.61278 4.111478571 2.400985714 11.94108429 8.646109762 0 0 26.02985417 6.748438654 123.44918
"3.2" "3.2" "3" "P129" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" 2 1 6 6.142857143 7 7 7 7 1 0 14 24 275.7957629 7 1930.57035 4.385585714 2.990981429 13.08241286 8.01784 3.55651 0 57.73412308 9.817121506 137.5597375
