	Name	Syncom	Phylum	Clases	Order	Family	Genus	Replicates	Batch	Plant	Still_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Still_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Aerenchyma_mean_area	Aerenchyma_n	CCL	complexity	Aerenchyma_total_area
NB1	NB	NB	NA	NA	NA	NA	NA	1	1	LA7339	6.68867	3.72129625	14.43863625	0	0	0	31.797065	13.813458	140.70456	8	8	8	0	0	0	8	20	39.921975	8	5	5	319.35122
NB2	NB	NB	NA	NA	NA	NA	NA	3	1	LA7339	4.773974286	3.465948571	9.863784286	0	0	0	29.94012714	10.84531849	117.4925525	7	7	6	0	0	0	7	18	43.10382714	7	5	5	301.72678
NB3	NB	NB	NA	NA	NA	NA	NA	3	1	LA7339	6.53407	3.81544625	12.91721	0	0	0	34.15098625	13.9678415	142.075365	8	8	8	0	0	0	8	20	40.86000625	8	5	5	326.88005
NB4	NB	NB	NA	NA	NA	NA	NA	4	1	LA7339	6.1483125	4.3929375	14.7112325	0	0	0	29.4939775	12.15265611	137.5011	8	8	8	0	0	0	8	18	48.33567714	7	5	5	373.19947
1.1	Syncom	Full_Syncom	NA	NA	NA	NA	NA	1	1	LA7339	4.85828	4.044057143	13.52104143	0	0	0	35.32083429	16.73904548	179.791695	7	7	7	0	0	0	7	18	37.30545571	7	5	5	261.16673
1.2	Syncom	Full_Syncom	NA	NA	NA	NA	NA	2	1	LA7339	5.632112857	2.898828571	13.44248	0	0	0	40.43530571	14.21699952	167.6650075	7	7	7	0	0	0	7	18	29.59599714	7	5	5	207.17197
1.3	Syncom	Full_Syncom	NA	NA	NA	NA	NA	3	1	LA7339	3.50248	3.682948571	6.664855714	0	0	0	28.88267738	11.79761405	108.606525	7	7	7	0	0	0	6	15	13.08802	6	5	5	78.52813
1.4	Syncom	Full_Syncom	NA	NA	NA	NA	NA	4	1	LA7339	5.51975	3.534305	10.4859675	0	0	0	28.31016	10.21361013	50.73896	9	8	8	0	0	0	8	19	57.31289	7	5	5	205.20453
2.1	2	P128A.22	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	1	1	LA7339	3.8192	3.635995556	14.10746302	0	0	0	31.61076286	15.2375619	138.128305	5	9	7	0	0	0	7	18	62.92755571	7	5	5	440.49289
2.2	2	P128A.22	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	2	1	LA7339	5.61277625	3.134114861	12.70027389	0	0	0	29.77020929	14.88533571	90.48766	8	8	8	0	0	0	7	18	29.683965	7	5	5	167.57131
2.3	2	P128A.22	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	3	1	LA7339	6.137445714	3.539648036	8.39244625	0	0	0	30.69132429	10.82716807	123.5463733	7	8	7	0	0	0	7	17	36.14390667	6	5	5	194.7427
