	Syncom	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Aerenchyma_mean_area	Aerenchyma_n	CCL	Complexity	Aerenchyma_total_area
v7.1	P128A.22	5.57331	4.024778333	18.03100667	12.71829833	0	0	33.72552193	8.695636642	167.7992475	6	6	6	6	0	0	19	21	298.3762017	6	6	6	1790.25719
v7.2	P128A.22	7.849935714	3.950064286	21.66164143	14.80636571	0	0	51.81273119	19.67762967	247.243525	7	7	7	7	1	0	24	55	1802.069875	8	6	6	12425.27504
v7.3	P128A.22	7.051595	6.38820875	20.30829625	14.38321333	0	0	34.65153667	22.23920108	207.11151	7	6	5	5	0	0	14	65	1503.104458	6	6	6	241.09381
v7.4	P128A.22	5.246451667	3.86439	16.18215	8.147425	0	0	27.60281048	13.64538981	151.011255	6	6	6	3	0	0	14	23	243.7670583	6	6	6	462.60235
v8.1	P129	5.789911429	2.775481429	17.89260714	12.17511714	13.02626	9.362622857	28.81567238	9.374962857	205.406035	7	7	7	7	7	1	21	42	1160.14325	5	7	7.142857143	7612.56189
v8.2	P129	5.759801429	3.26181	20.21564714	11.77665857	16.28061452	1.327481667	35.06764111	13.75565889	2848.858145	7	7	7	7	6	2	18	45	1368.676446	7	7	7.285714286	9580.73513
v8.3	P129	6.481685714	2.958968571	12.40376714	7.74115	11.85083	0	27.01929571	8.353053668	155.939385	7	7	7	7	7	0	21	37	558.7908571	7	7	7	3911.53601
v8.4	P129	6.312625	3.705135	17.50750286	10.91683857	10.98443714	11.36044143	29.135798	8.4542145	199.8088	7	7	7	7	7	4	20	56	1306.678553	7	8	7.571428571	9146.74988
v9.1	P118A	6.03914625	3.19458	16.3861175	8.916209583	13.45643167	12.227335	19.13568227	11.84931644	186.4919567	8	8	8	6	6	2	20	31	922.17537	7	7	7.3333	6455.2276
v9.2	P118A	4.823665	6.04580125	14.86717625	13.2641225	21.19694	24.348095	-8.404162273	6.858140982	172.57689	1	2	4	4	2	6	4	35	1695.705379	1	7	7.3333	162.25011
v9.3	P118A	5.343747143	3.25552619	14.37790667	10.138412	10.274804	5.785259	24.5958745	7.553293389	816.7861367	7	6	6	5	5	2	20	45	844.37474	6	7	7.4	5066.24844
v10.1	P65	5.567291429	2.421714286	15.64705762	8.874666667	11.006675	0	31.61916409	9.436330909	168.3280167	7	7	6	6	6	0	22	41	832.6952	6	7	7	4996.206
v10.2	P65	5.342223333	2.985869524	14.92398429	9.914482857	10.26292	0	35.04115471	11.96900214	183.433605	6	7	7	6	6	2	17	38	861.7203357	7	7	7.33	6032.04237
v10.3	P65	6.51965875	4.342746964	14.18072143	9.267714286	11.27758286	0	26.84794454	9.493788596	32.5424525	8	7	7	7	7	0	17	2	548.5463671	7	7	7.33	3839.82457
v10.4	P65	6.58734	3.480041429	17.91885857	10.45684857	9.625879762	0	40.07577767	10.651834	200.8187125	7	7	7	7	6	0	25	34	743.8783425	7	7	7.33	5855.9159
v11.1	R148A	6.097804286	3.436809464	15.663465	9.33172875	12.51923	3.6201925	28.134615	8.162821444	176.1287775	7	8	8	8	8	1	24	45	713.99	8	7	7.33	5711.92
v11.2	R148A	7.097775714	3.258418571	15.50320714	9.552308571	15.5032075	12.02482125	79.01112391	10.27489779	183.278565	7	7	7	8	8	1	23	41	775.1913543	7	7	7.125	5426.38362
v12.1	P69	5.171221667	2.455316667	15.160865	10.70874833	7.318628333	20.42945	9.649165455	4.753124784	152.1607725	6	6	6	5	6	1	22	42	636.5280567	6	7	7.166666667	3819.16834
v12.2	P69	5.755651667	2.069002619	17.3973	9.754283714	13.973864	3.42	32.40124381	6.947126857	170.991155	6	7	7	5	5	1	21	42	1111.236852	6	7	7.2	6667.42112
v12.3	P69	5.923415714	3.596752857	15.54476429	8.443882143	9.919629	10.351858	26.43999229	9.646579538	188.2610475	7	7	7	6	5	5	21	34	830.4841243	7	8	8	5813.38886
v12.4	P69	7.805906	2.779109714	15.35857554	10.84095375	12.10561786	0	27.24671398	11.37184154	174.9620725	10	7	8	8	7	0	38	37	719.9305713	8	7	7	5759.49246
v13.1	P74A	4.936595	3.872163333	16.10621	8.979413333	9.513511667	0	21.05041205	10.54550462	154.152225	6	6	6	6	3	0	13	32	518.900515	6	6	6.5	3113.40309
v13.2	P74A	5.9347025	2.97557625	19.07813792	11.641535	9.927895	0	27.31314879	10.30623995	182.8171525	8	8	6	6	3	0	11	37	747.327095	0	7	7	4483.96258
v13.3	P74A	5.27223	3.379016667	13.09909	7.949427619	0	0	28.41064844	9.134461939	140.528175	7	6	6	6	0	0	14	30	400.62186	6	6	6	2403.73115
v14.1	R345.2	6.88569875	4.3821175	15.90384804	8.837882857	11.05601143	2.140156429	37.35790656	6.992262326	186.3042675	8	8	7	7	7	2	32	36	935.7459043	7	7	7.285714286	6550.26497
v14.2	R345.2	6.5398875	3.21029125	17.58917125	8.86203	10.50764	0	29.89416781	7.087022473	1397.472253	8	8	7	6	5	7	31	35	636.3094363	8	7	7.285714286	5090.47548
v14.3	R345.2	6.392827143	2.790925714	18.50163429	10.58356286	11.242095	11.359685	26.66029156	5.977891514	187.856575	7	7	7	7	6	2	32	39	1021.519247	7	7	7.333333333	7150.67347
