	Syncom	Stele_diameter	Endodermis_diameter	CCL1_diameter	CCL2_diameter	CCL3_diameter	CCL4_diameter	Exodermis_diameter	Epidermis_diameter	Root_diameter	Stele_N_cell	Endodermis_N_cell	CCL1_N_cell	CCL2_N_cell	CCL3_N_cell	CCL4_N_cell	Exodermis_N_cell	Epidermis_N_cell	Aerenchyma_mean_area	Aerenchyma_n	CCL	Complexity	Aerenchyma_total_area
7.1	P128A.22	6.823465714	2.964734286	14.58136286	0	0	0	36.20396839	14.3518077	151.786095	7	7	7	0	0	0	8	19	39.31236375	8	5	5	314.53094
7.2	P128A.22	5.676415714	3.748602857	13.07783	0	0	0	39.12075286	13.48689584	152.565565	7	7	7	0	0	0	7	22	39.81449833	6	5	5	318.50579
8.1	P129	5.128167143	5.585910357	14.93629107	0	0	0	42.77286768	19.75566723	189.470615	7	8	7	0	0	0	8	23	21.24147875	8	5	5	169.93183
8.2	P129	6.646328571	3.828273929	14.79376875	0	0	0	39.44223304	12.38583155	159.1216975	7	7	6	0	0	0	7	24	45.66002429	7	5	5	386.16259
9.1	P118A	7.44013375	2.9819575	13.9324925	0	0	0	37.81319125	13.5491	153.51115	8	8	8	0	0	0	8	20	34.47871375	8	5	5	275.95911
10.1	P65	6.60064375	3.90307625	13.73284667	0	0	0	36.63244222	19.23125397	35.0830175	8	9	9	0	0	0	9	21	35.12513778	9	5	5	316.12624
10.2	P65	6.913878571	3.42944	13.90992571	0	0	0	45.69465905	10.96618017	164.71475	7	7	7	0	0	0	9	20	36.553425	6	5	5	284.66181
11.1	R148A	6.42983125	2.77154875	15.07394875	0	0	0	41.00020125	13.35382364	158.6700825	7	8	8	0	0	0	8	22	32.395135	8	5	5	259.13291
11.2	R148A	7.681982857	3.142565714	13.14588571	0	0	0	39.78964071	16.74968864	163.9736275	7	2	3	0	0	0	3	3	29.26173571	7	5	5	203.93539
11.3	R148A	6.64726375	3.349080536	12.67315696	0	0	0	38.34770375	13.7147395	150.800175	8	7	8	0	0	0	8	20	36.376165	6	5	5	186.24045
12.1	P69	5.6604525	3.60611	12.41839625	0	0	0	38.22238554	13.47352162	105.139178	8	8	8	0	0	0	7	22	26.85519	7	5	5	187.95872
12.2	P69	6.429055	2.400750714	15.93536286	0	0	0	42.03924018	13.76146125	143.000002	8	7	7	0	0	0	8	23	46.31368	7	5	5	324.19574
12.3	P69	6.22476625	3.11293375	14.22689571	0	0	0	34.35807286	14.60121793	145.6481533	8	7	7	0	0	0	7	20	37.98579286	7	5	5	265.90053
13.1	P74A	6.71262625	3.688826607	13.01715339	0	0	0	44.50750946	15.51682701	169.388585	8	7	8	0	0	0	7	19	37.43547286	7	5	5	262.0802
13.2	P74A	8.28198	5.078594444	19.09398667	0	0	0	43.39434032	14.13644537	182.5513925	8	7	6	0	0	0	4	16	66.2166425	8	5	5	611.60513
13.3	P74A	6.532008571	4.392881429	16.07364667	0	0	0	42.60961048	11.96327911	122.8307225	7	9	9	0	0	0	7	24	53.3314325	0	5	5	49.10162
14.1	R345.2	6.349412857	3.373800893	12.97421875	0	0	0	34.86682321	12.35092479	142.2709275	7	8	8	0	0	0	7	20	23.2374125	8	5	5	185.8993
14.2	R345.2	6.818005714	3.512041786	13.81241	0	0	0	36.98506583	12.44799967	159.2041	7	8	8	0	0	0	9	20	29.10398143	7	5	5	203.75354
15.1	R88	8.781146667	6.547237083	15.27293125	0	0	0	40.66073167	20.64043816	189.9483225	1	1	1	0	0	0	1	21	25.1313225	8	5	5	201.05057
15.2	R88	6.63233625	4.23127475	11.99882789	0	0	0	30.00450202	16.41977576	140.264355	7	10	9	0	0	0	11	21	45.30794222	9	5	5	43.78608
16.1	R186	5.900002857	4.877850893	19.92544375	0	0	0	49.26344625	17.47075335	197.14076	7	8	8	0	0	0	8	31	37.12425571	7	5	5	259.92813
16.2	R186	5.746235714	2.77305	10.14066143	0	0	0	44.19207857	11.43203429	152.824305	7	7	7	0	0	0	7	21	21.537564	5	5	5	107.68782
16.3	R186	8.422867143	3.230828571	13.21342714	0	0	0	27.23950839	10.78773155	17.7007075	7	7	7	0	0	0	8	25	25.08505429	7	5	5	175.62278
18.1	R28	6.251874286	3.498408571	14.42629429	0	0	0	29.45420397	12.75313843	134.3609575	7	7	7	0	0	0	9	22	38.95991125	8	5	5	311.77514
18.2	R28	5.891148889	3.468234861	12.73599875	0	0	0	34.03029639	12.29809111	135.7265425	9	8	8	0	0	0	2	20	24.00469375	8	5	5	192.08957
19.1	P162	6.0934425	3.460495	14.03423375	0	0	0	39.6939225	11.73069625	152.994315	8	8	8	0	0	0	8	25	23.95929	6	5	5	266.11282
19.2	P162	5.78742	3.8359075	12.99587875	0	0	0	31.714925	12.74670417	132.6958267	7	8	8	0	0	0	8	24	49.82518833	6	5	5	419.30638
20.1	R151	7.10997625	4.38039375	14.03691875	0	0	0	29.83255125	10.29934538	131.4278675	8	8	8	0	0	0	8	26	21.72151143	7	5	5	152.05058
20.2	R151	6.69388125	3.7374725	14.6450225	0	0	0	36.87038042	12.2291881	149.9294375	8	8	8	0	0	0	9	21	20.7063875	8	5	5	165.67733
20.3	R151	6.048255	4.500905	15.39543286	0	0	0	42.76912429	15.39982807	166.294965	8	8	7	0	0	0	7	23	55.62862571	7	5	5	389.40038
21.1	P192	6.94984875	3.19601125	15.3941275	0	0	0	37.80616375	16.45483266	159.56405	8	8	8	0	0	0	8	23	35.30040375	8	5	5	282.43909
22.1	R34	7.50872625	3.56872375	10.12578875	0	0	0	38.21868625	13.856527	151.5374875	8	10	10	0	0	0	8	23	20.02603909	11	5	5	220.28643
22.2	R34	5.71148	3.127312857	12.35704286	0	0	0	35.78422143	13.55169238	141.2797325	7	7	7	0	0	0	7	21	47.59225	7	5	5	333.20562
24.1	R289	7.148208889	4.122835556	13.75484111	0	0	0	41.74311344	18.9596175	174.8221575	9	9	9	0	0	0	10	20	24.81298625	8	5	5	198.54145
24.2	R289	5.91417875	4.45148325	16.17003911	0	0	0	41.86336444	16.00555308	170.47222	8	10	9	0	0	0	9	22	51.86000222	9	5	5	466.77146
24.3	R289	5.37325375	3.46371125	11.64778875	0	0	0	32.06163181	16.73658254	137.398775	8	8	8	0	0	0	9	21	34.647295	8	5	5	277.1554
25.1	P234	4.80883	7.697167143	12.98048286	0	0	0	46.50807	21.933251	198.7918925	8	7	7	0	0	0	7	30	59.81592333	6	5	5	358.89553
25.2	P234	5.788738333	3.661893095	11.64746286	0	0	0	39.99403821	10.553308	143.4825533	6	7	7	0	0	0	8	20	30.07782429	7	5	5	210.54476
26.1	P153	8.1317575	3.56395	14.6694955	0	0	0	39.93380271	16.43609464	175.7943675	8	8	10	0	0	0	10	28	41.163955	8	5	5	329.31165
26.2	P153	6.70393875	3.09853625	12.53937375	0	0	0	40.02675268	15.67790466	159.52907	8	8	8	0	0	0	7	23	16.82016286	7	5	5	134.23856
26.3	P153	6.738061429	3.830928571	15.48847857	0	0	0	41.48626143	12.3158824	157.965335	7	7	7	0	0	0	8	25	35.33041	7	5	5	247.31285
26.4	P153	8.065457143	5.412429107	16.75405	0	0	0	35.2487825	21.08443558	175.4233925	7	8	8	0	0	0	8	30	41.169394	5	5	5	300.326
27.1	R245	8.669192857	4.00958381	13.59338667	0	0	0	39.84839917	15.28541417	160.927155	7	9	9	0	0	0	8	18	22.54564	5	5	5	112.7282
27.2	R245	9.470931429	5.120626571	11.11084771	0	0	0	41.37042829	16.4088947	168.1440475	7	10	7	0	0	0	10	23	45.09011143	7	5	5	315.66442
27.3	R245	7.574746667	4.253050833	14.1663775	0	0	0	34.24764125	14.91729899	153.157825	9	8	8	0	0	0	8	21	22.44476625	8	5	5	179.4794
28.1	P9	7.2984375	4.241560278	15.14047	0	0	0	41.67719794	12.9125847	170.0732325	8	9	9	0	0	0	7	24	53.68375625	8	5	5	495.36122
28.2	P9	7.32977625	3.97221	14.3204725	0	0	0	34.210835	13.73768665	157.44996	8	8	8	0	0	0	8	25	30.85501778	9	5	5	277.69516
28.3	P9	6.79321625	3.32262875	13.24437125	0	0	0	43.0557375	14.13963575	162.3824475	8	8	8	0	0	0	8	20	36.4311525	8	5	5	291.44921
28.4	P9	7.341908571	3.711485714	15.32534	0	0	0	45.07907571	13.6983425	171.3901875	7	7	7	0	0	0	7	24	41.46045167	6	5	5	248.79998
 NB1	NB	6.582977143	4.043856607	14.1144775	0	0	0	40.46438764	16.00765546	164.26038	7	8	8	0	0	0	9	23	41.25039875	8	5	5	330.00318
 NB2	NB	6.569256667	3.024511905	13.34268143	0	0	0	43.0610475	17.70304829	167.309365	6	7	8	0	0	0	8	19	25.40883167	6	5	5	152.51991
 NB3	NB	7.5898725	3.47517125	14.72875625	0	0	0	41.55274625	14.51427225	181.3939175	8	8	8	0	0	0	8	20	26.31438875	8	5	5	210.55009
 NB4	NB	6.65373125	4.0179025	12.77715125	0	0	0	34.25789875	14.14835875	140.826235	8	8	8	0	0	0	8	20	42.7937125	8	5	5	342.3497
 NB5	NB	6.466565	4.077469286	14.78773196	0	0	0	30.16304042	11.35443222	135.3857525	8	7	8	0	0	0	9	18	50.9687725	8	5	5	407.66469
Syncom2	Full_Syncom	6.56062375	3.5471	15.42433875	0	0	0	39.69102528	14.34644453	157.3471675	8	8	8	0	0	0	9	26	29.442462	5	5	5	210.55009
Syncom3	Full_Syncom	6.94252	3.91345375	16.22189054	0	0	0	41.81082016	11.68436947	195.4024675	8	8	7	0	0	0	9	23	37.72726375	8	5	5	342.3497
Syncom4	Full_Syncom	6.702551429	3.099967321	11.21368569	0	0	0	40.02156556	12.00083478	159.6888475	7	8	9	0	0	0	8	23	11.92395	7	5	5	407.66469
