"Species" "Metabolite" "log2foldchange" "p.value" "SignPval" "p.ajust" "SignPajus"
"2322" "LA7339" "X2322" -0.0295188582002339 0.499977331837374 "NoSignificant" 0.680171722788126 "NoSignificant"
"4695" "LJ9250" "X2322" -0.0634763206687929 0.131965006754831 "NoSignificant" 0.470573454842811 "NoSignificant"
"7068" "LP0049" "X2322" -0.0168230944489802 0.505095468458875 "NoSignificant" 0.684257781152946 "NoSignificant"
"9441" "LT9243" "X2322" -0.111313106654168 0.0531639455065559 "NoSignificant" 0.470573454842811 "NoSignificant"
"11814" "LY9208" "X2322" -0.0536000568559127 0.222792528489875 "NoSignificant" 0.503980976429193 "NoSignificant"
"14187" "SI7820" "X2322" -0.0542625531267276 0.506601396700781 "NoSignificant" 0.68512111601988 "NoSignificant"
"16560" "SI9227" "X2322" -0.0102256728646299 0.795416356391936 "NoSignificant" 0.881598246866766 "NoSignificant"
"18933" "SP7498" "X2322" -0.0918660028427585 0.0978049388906859 "NoSignificant" 0.470573454842811 "NoSignificant"
"21306" "SP9509" "X2322" -0.0732174922985065 0.138272419303064 "NoSignificant" 0.470573454842811 "NoSignificant"
"2267" "LA7339" "X2267" -0.0348213752694604 0.0490989453614627 "q < 0.05" 0.470573454842811 "NoSignificant"
"4640" "LJ9250" "X2267" -0.056705420850093 0.122771791718556 "NoSignificant" 0.470573454842811 "NoSignificant"
"7013" "LP0049" "X2267" -0.0306729574112303 0.141099085244366 "NoSignificant" 0.470573454842811 "NoSignificant"
"9386" "LT9243" "X2267" -0.0868755257876481 0.0726257500612912 "NoSignificant" 0.470573454842811 "NoSignificant"
"11759" "LY9208" "X2267" -0.052835407406099 0.193539721368299 "NoSignificant" 0.487410360620536 "NoSignificant"
"14132" "SI7820" "X2267" -0.0528591920326344 0.440584738215985 "NoSignificant" 0.637546236466633 "NoSignificant"
"16505" "SI9227" "X2267" -0.0292799543128144 0.297449016151026 "NoSignificant" 0.544681624492205 "NoSignificant"
"18878" "SP7498" "X2267" -0.112865190578152 0.0166475669963234 "q < 0.05" 0.470573454842811 "NoSignificant"
"21251" "SP9509" "X2267" -0.0716181518560211 0.0627930015060492 "NoSignificant" 0.470573454842811 "NoSignificant"
"1318" "LA7339" "X1318" -0.0369051640075981 0.479949132018525 "NoSignificant" 0.666541617487849 "NoSignificant"
"3691" "LJ9250" "X1318" -0.0408502320142783 0.152393302704928 "NoSignificant" 0.472313366750628 "NoSignificant"
"6064" "LP0049" "X1318" -0.0372071448136184 0.156538839082786 "NoSignificant" 0.472658339481328 "NoSignificant"
"8437" "LT9243" "X1318" -0.110629911402873 0.0746044808997302 "NoSignificant" 0.470573454842811 "NoSignificant"
"10810" "LY9208" "X1318" -0.0520355410017772 0.148699751367558 "NoSignificant" 0.471673932861567 "NoSignificant"
"13183" "SI7820" "X1318" -0.0545592470469858 0.411062813535321 "NoSignificant" 0.61703773076621 "NoSignificant"
"15556" "SI9227" "X1318" -0.0228119003151339 0.3647967656519 "NoSignificant" 0.585604556292419 "NoSignificant"
"17929" "SP7498" "X1318" -0.0883552222675541 0.072255997222614 "NoSignificant" 0.470573454842811 "NoSignificant"
"20302" "SP9509" "X1318" -0.0472811933630259 0.132839931624185 "NoSignificant" 0.470573454842811 "NoSignificant"
"2191" "LA7339" "X2191" -0.0134080655639024 0.193969467314971 "NoSignificant" 0.487730434578477 "NoSignificant"
"4564" "LJ9250" "X2191" -0.0200001732548216 0.576995420491496 "NoSignificant" 0.734663897566818 "NoSignificant"
"6937" "LP0049" "X2191" -0.0256362614101429 0.327533465508851 "NoSignificant" 0.562219275267042 "NoSignificant"
"9310" "LT9243" "X2191" -0.101375792471736 0.0352138537766898 "q < 0.05" 0.470573454842811 "NoSignificant"
"11683" "LY9208" "X2191" -0.0622448378751241 0.297406888025736 "NoSignificant" 0.544681624492205 "NoSignificant"
"14056" "SI7820" "X2191" -0.0487867914914446 0.479087589960401 "NoSignificant" 0.666008074559679 "NoSignificant"
"16429" "SI9227" "X2191" -0.0396468484396268 0.227771084304905 "NoSignificant" 0.50644931461 "NoSignificant"
"18802" "SP7498" "X2191" -0.0918297321141721 0.099844805471706 "NoSignificant" 0.470573454842811 "NoSignificant"
"21175" "SP9509" "X2191" -0.103111917037953 0.0755829688895997 "NoSignificant" 0.470573454842811 "NoSignificant"
"2062" "LA7339" "X2062" -0.0397887915574722 0.468463657038475 "NoSignificant" 0.657055120730985 "NoSignificant"
"4435" "LJ9250" "X2062" -0.047100136462416 0.257583447662225 "NoSignificant" 0.52005952005366 "NoSignificant"
"6808" "LP0049" "X2062" -0.0403196967066499 0.0204034567865971 "q < 0.05" 0.470573454842811 "NoSignificant"
"9181" "LT9243" "X2062" -0.0705049825662045 0.176083741739728 "NoSignificant" 0.478618141568117 "NoSignificant"
"11554" "LY9208" "X2062" -0.0417419629723983 0.244757039910071 "NoSignificant" 0.513764027595569 "NoSignificant"
"13927" "SI7820" "X2062" -0.0264122628068386 0.76785067879945 "NoSignificant" 0.863786512884902 "NoSignificant"
"16300" "SI9227" "X2062" -0.0456224097688351 0.303908487859701 "NoSignificant" 0.549320763176503 "NoSignificant"
"18673" "SP7498" "X2062" -0.132614704017726 0.0196983400438548 "q < 0.05" 0.470573454842811 "NoSignificant"
"21046" "SP9509" "X2062" -0.0474588655002481 0.263943413023968 "NoSignificant" 0.523211502430118 "NoSignificant"
"2061" "LA7339" "X2061" -0.0400232466691972 0.466664177048503 "NoSignificant" 0.655693870343742 "NoSignificant"
"4434" "LJ9250" "X2061" -0.0475843553653474 0.257961001970058 "NoSignificant" 0.52005952005366 "NoSignificant"
"6807" "LP0049" "X2061" -0.0358712470756797 0.0824486354037587 "NoSignificant" 0.470573454842811 "NoSignificant"
"9180" "LT9243" "X2061" -0.0706219773255525 0.176085004504572 "NoSignificant" 0.478618141568117 "NoSignificant"
"11553" "LY9208" "X2061" -0.0413810586600127 0.248118875596784 "NoSignificant" 0.515200506719305 "NoSignificant"
