	Species	Microbiome	Compound	Placa 	Well	0	3	6	12	15	17	20
1	LY5290	NB	None	1	1	1	1.281111111	1.513240741	2.444722222	3.111111111	5.10287037	4.663148148
2	LY5290	NB	None	1	2	1	0.975402299	1.202068966	1.467241379	2.045977011	3.562068966	3.362873563
3	LY5290	NB	None	1	3	1	1.01	1.342111111	1.932111111	2.422222222	3.848777778	3.518444444
7	LY5290	NB	DMSO	1	7	1	0.985913978	0.905913978	1.344301075	0.698924731	0.78655914	0.687204301
8	LY5290	NB	DMSO	1	8	1	0.883855422	1.192168675	1.46373494	1.481927711	1.435783133	1.327831325
9	LY5290	NB	DMSO	1	9	1	0.871710526	1.08	1.173947368	1.078947368	1.150789474	0.979078947
13	LY5290	Syncom	None	2	1	1	1.225952381	1.340595238	2.052380952	2.767261905	5.237619048	5.746904762
14	LY5290	Syncom	None	2	2	1	1.24880597	1.443134328	1.967462687	3.087014925	4.749402985	4.901044776
15	LY5290	Syncom	None	2	3	1	1.035352113	1.31084507	1.91943662	2.545352113	6.475915493	4.740422535
19	LY5290	Syncom	DMSO	2	7	1	1.170416667	1.458541667	2.489270833	3.031770833	4.925416667	5.103854167
20	LY5290	Syncom	DMSO	2	8	1	1.19	1.240512821	1.621794872	1.800897436	2.740641026	2.685
21	LY5290	Syncom	DMSO	2	9	1	1.163777778	1.360111111	1.742	2.289666667	3.350777778	3.495888889
25	LY5290	Syncom	Methyl-Cytrate	3	1	1	1.362477876	1.572831858	3.568141593	3.927079646	6.605486726	7.240265487
26	LY5290	Syncom	Methyl-Cytrate	3	2	1	1.092912621	1.35631068	3.292038835	3.801747573	6.496504854	6.86368932
27	LY5290	Syncom	Methyl-Cytrate	3	3	1	1.153363636	1.362	2.032	2.194090909	5.937454545	4.014272727
31	LY5290	Syncom	Citrulline	3	7	1	0.900952381	1.295809524	2.066380952	2.412666667	3.875428571	4.089809524
32	LY5290	Syncom	Citrulline	3	8	1	1.003225806	1.191774194	2.447096774	2.489516129	6.839032258	3.844354839
33	LY5290	Syncom	Citrulline	3	9	1	1.004561404	1.363859649	2.867017544	2.972807018	4.194385965	4.868070175
37	LY5290	Syncom	Adrenaline	4	1	1	1.013913043	1.60673913	2.364782609	3.171086957	5.843695652	5.778478261
38	LY5290	Syncom	Adrenaline	4	2	1	1.090153846	1.528769231	1.415846154	1.952615385	3.882153846	3.611538462
39	LY5290	Syncom	Adrenaline	4	3	1	1.081168831	1.291688312	2.139480519	2.55025974	2.854545455	5.225714286
43	LY5290	Syncom	Lysine	4	7	1	1.065656566	1.229494949	1.38979798	1.19020202	1.414626263	1.553333333
44	LY5290	Syncom	Lysine	4	8	1	0.921946903	1.188495575	1.020973451	1.165309735	1.197699115	1.29699115
45	LY5290	Syncom	Lysine	4	9	1	1.081578947	1.204473684	0.961929825	0.830701754	1.312982456	0.88254386
49	LY5290	Syncom	Glutaric_acid	5	1	1	0.975945946	1.406756757	0.97472973	1.378378378	1.545	1.526756757
50	LY5290	Syncom	Glutaric_acid	5	2	1	0.967162162	1.176081081	1.221891892	1.148648649	1.053513514	1.095675676
51	LY5290	Syncom	Glutaric_acid	5	3	1	0.995955056	1.139438202	0.950898876	0.97752809	1.107865169	1.193146067
55	LY5290	Syncom	Pyrone	5	7	1	0.925327103	1.136168224	1.368317757	1.373831776	1.954392523	1.798411215
56	LY5290	Syncom	Pyrone	5	8	1	1.30412844	1.558990826	1.931009174	2.018348624	3.149174312	3.133761468
57	LY5290	Syncom	Pyrone	5	9	1	1.014852941	1.368235294	1.776029412	1.794117647	2.241470588	2.326323529
61	LJ9250	NB	None	6	1	1	1.07647619	1.931428571	5.165619048	6.095238095	9.111142857	9.255333333
62	LJ9250	NB	None	6	2	1	1.232481203	1.895037594	4.715338346	5.92481203	7.333308271	7.046015038
63	LJ9250	NB	None	6	3	1	1.125108696	1.835326087	5.0675	6.336956522	8.931630435	9.286630435
67	LJ9250	NB	DMSO	6	7	1	0.959677419	1.197580645	1.087016129	1.016129032	1.020080645	0.885645161
68	LJ9250	NB	DMSO	6	8	1	0.818015267	1.077709924	0.98221374	0.961832061	0.999389313	0.961908397
69	LJ9250	NB	DMSO	6	9	1	0.851386139	1.106435644	1.152970297	1.089108911	1.005742574	1.011782178
73	LJ9250	Syncom	None	7	1	1	1.370795455	2.049431818	7.518522727	7.927727273	11.70397727	11.74988636
74	LJ9250	Syncom	None	7	2	1	1.370689655	1.948275862	6.291551724	7.13137931	12.67362069	6.881206897
75	LJ9250	Syncom	None	7	3	1	0.992380952	2.182857143	4.085238095	4.657380952	8.039285714	20.5397619
79	LJ9250	Syncom	DMSO	7	7	1	1.262650602	1.608554217	5.234578313	6.411084337	10.76614458	10.86891566
80	LJ9250	Syncom	DMSO	7	8	1	0.994770642	1.668807339	4.984770642	6.000091743	8.703394495	8.781651376
81	LJ9250	Syncom	DMSO	7	9	1	1.309777778	1.908	2.538	2.700444444	3.495777778	3.913777778
85	LJ9250	Syncom	Methyl-Cytrate	8	1	1	1.246666667	2.496333333	13.0116	6.33997481	6.456533333	6.929266667
86	LJ9250	Syncom	Methyl-Cytrate	8	2	1	1.391304348	2.479021739	18.08684783	9.760152953	12.39369565	11.36413043
87	LJ9250	Syncom	Methyl-Cytrate	8	3	1	1.1	2.283428571	19.07628571	10.18840391	13.37328571	14.35928571
91	LJ9250	Syncom	Citrulline	8	7	1	1.1875	1.936875	8.866875	5.142052117	7.637083333	7.83875
92	LJ9250	Syncom	Citrulline	8	8	1	1.181818182	1.808636364	9.17875	4.091021617	6.211931818	6.239204545
93	LJ9250	Syncom	Citrulline	8	9	1	1.328358209	2.242537313	13.81432836	6.746268657	9.80641791	9.690746269
97	LJ9250	Syncom	Adrenaline	9	1	1	1.223802817	1.686619718	6.285633803	7.667183099	12.75	12.95633803
98	LJ9250	Syncom	Adrenaline	9	2	1	1.203589744	1.77025641	5.984230769	7.407307692	10.79576923	10.93666667
99	LJ9250	Syncom	Adrenaline	9	3	1	1.201025641	1.728461538	7.007179487	8.62	10.25038462	11.08397436
103	LJ9250	Syncom	Lysine	9	7	1	0.923723404	1.39393617	0.970638298	1.274574468	1.849787234	1.869468085
104	LJ9250	Syncom	Lysine	9	8	1	1.1477	1.4952	1.5574	1.5987	2.175	2.4103
105	LJ9250	Syncom	Lysine	9	9	1	1.011052632	1.531973684	1.285	1.410789474	1.707763158	1.632368421
108	LJ9250	Syncom	Glutaric_acid	10	1	1	0.852893082	1.06836478	0.921446541	1.018867925	0.99754717	1.064968553
109	LJ9250	Syncom	Glutaric_acid	10	2	1	1.039518072	1.247951807	1.048072289	1.265060241	1.143253012	1.223012048
