	Species	Microbiome	Compound	Placa 	Well	Verde	Amarillo	Blanco	Total	Healthy	Stressed	Dead
1	LY5290	NB	None	1	1	10	0	0	10	100	0	0
2	LY5290	NB	None	1	2	11	0	1	12	91.66666667	0	8.333333333
3	LY5290	NB	None	1	3	14	0	0	14	100	0	0
4	LY5290	NB	None	1	4	10	0	0	10	100	0	0
5	LY5290	NB	None	1	5	13	2	6	21	61.9047619	9.523809524	28.57142857
6	LY5290	NB	None	1	6	14	0	2	16	87.5	0	12.5
7	LY5290	NB	DMSO	1	7	0	5	5	10	0	50	50
8	LY5290	NB	DMSO	1	8	6	3	5	14	42.85714286	21.42857143	35.71428571
9	LY5290	NB	DMSO	1	9	0	4	5	9	0	44.44444444	55.55555556
10	LY5290	NB	DMSO	1	10	1	5	2	8	12.5	62.5	25
11	LY5290	NB	DMSO	1	11	1	5	6	12	8.333333333	41.66666667	50
12	LY5290	NB	DMSO	1	12	0	2	4	6	0	33.33333333	66.66666667
13	LY5290	Syncom	None	2	1	10	0	0	10	100	0	0
14	LY5290	Syncom	None	2	2	9	0	1	10	90	0	10
15	LY5290	Syncom	None	2	3	12	0	0	12	100	0	0
16	LY5290	Syncom	None	2	4	10	2	2	14	71.42857143	14.28571429	14.28571429
17	LY5290	Syncom	None	2	5	12	1	3	16	75	6.25	18.75
18	LY5290	Syncom	None	2	6	16	0	1	17	94.11764706	0	5.882352941
19	LY5290	Syncom	DMSO	2	7	16	0	1	17	94.11764706	0	5.882352941
20	LY5290	Syncom	DMSO	2	8	14	3	3	20	70	15	15
21	LY5290	Syncom	DMSO	2	9	14	0	1	15	93.33333333	0	6.666666667
22	LY5290	Syncom	DMSO	2	10	10	0	0	10	100	0	0
23	LY5290	Syncom	DMSO	2	11	12	0	1	13	92.30769231	0	7.692307692
24	LY5290	Syncom	DMSO	2	12	7	0	0	7	100	0	0
25	LY5290	Syncom	Methyl-Cytrate	3	1	20	0	0	20	100	0	0
26	LY5290	Syncom	Methyl-Cytrate	3	2	20	0	0	20	100	0	0
27	LY5290	Syncom	Methyl-Cytrate	3	3	14	1	0	15	93.33333333	6.666666667	0
28	LY5290	Syncom	Methyl-Cytrate	3	4	6	2	1	9	66.66666667	22.22222222	11.11111111
29	LY5290	Syncom	Methyl-Cytrate	3	5	10	0	0	10	100	0	0
30	LY5290	Syncom	Methyl-Cytrate	3	6	7	5	2	14	50	35.71428571	14.28571429
31	LY5290	Syncom	Citrulline	3	7	20	0	0	20	100	0	0
32	LY5290	Syncom	Citrulline	3	8	15	2	2	19	78.94736842	10.52631579	10.52631579
33	LY5290	Syncom	Citrulline	3	9	10	2	1	13	76.92307692	15.38461538	7.692307692
34	LY5290	Syncom	Citrulline	3	10	9	2	2	13	69.23076923	15.38461538	15.38461538
35	LY5290	Syncom	Citrulline	3	11	2	1	0	3	66.66666667	33.33333333	0
36	LY5290	Syncom	Citrulline	3	12	11	0	1	12	91.66666667	0	8.333333333
37	LY5290	Syncom	Adrenaline	4	1	9	3	2	14	64.28571429	21.42857143	14.28571429
38	LY5290	Syncom	Adrenaline	4	2	10	0	3	13	76.92307692	0	23.07692308
39	LY5290	Syncom	Adrenaline	4	3	10	0	0	10	100	0	0
40	LY5290	Syncom	Adrenaline	4	4	1	6	9	16	6.25	37.5	56.25
41	LY5290	Syncom	Adrenaline	4	5	0	6	3	9	0	66.66666667	33.33333333
42	LY5290	Syncom	Adrenaline	4	6	10	0	0	10	100	0	0
43	LY5290	Syncom	Lysine	4	7	7	0	2	9	77.77777778	0	22.22222222
44	LY5290	Syncom	Lysine	4	8	15	2	2	19	78.94736842	10.52631579	10.52631579
45	LY5290	Syncom	Lysine	4	9	10	2	1	13	76.92307692	15.38461538	7.692307692
46	LY5290	Syncom	Lysine	4	10	9	2	2	13	69.23076923	15.38461538	15.38461538
47	LY5290	Syncom	Lysine	4	11	8	0	2	10	80	0	20
48	LY5290	Syncom	Lysine	4	12	6	1	1	8	75	12.5	12.5
49	LY5290	Syncom	Glutaric_acid	5	1	5	0	5	10	50	0	50
50	LY5290	Syncom	Glutaric_acid	5	2	0	2	7	9	0	22.22222222	77.77777778
51	LY5290	Syncom	Glutaric_acid	5	3	10	0	0	10	100	0	0
52	LY5290	Syncom	Glutaric_acid	5	4	1	6	9	16	6.25	37.5	56.25
53	LY5290	Syncom	Glutaric_acid	5	5	0	6	3	9	0	66.66666667	33.33333333
54	LY5290	Syncom	Glutaric_acid	5	6	0	2	7	9	0	22.22222222	77.77777778
55	LY5290	Syncom	Pyrone	5	7	12	2	1	15	80	13.33333333	6.666666667
56	LY5290	Syncom	Pyrone	5	8	14	3	1	18	77.77777778	16.66666667	5.555555556
57	LY5290	Syncom	Pyrone	5	9	7	4	0	11	63.63636364	36.36363636	0
58	LY5290	Syncom	Pyrone	5	10	3	7	3	13	23.07692308	53.84615385	23.07692308
59	LY5290	Syncom	Pyrone	5	11	15	2	0	17	88.23529412	11.76470588	0
60	LY5290	Syncom	Pyrone	5	12	13	1	1	15	86.66666667	6.666666667	6.666666667
61	LJ9250	NB	None	6	1	1	0	0	1	100	0	0
62	LJ9250	NB	None	6	2	1	0	0	1	100	0	0
63	LJ9250	NB	None	6	3	1	0	0	1	100	0	0
64	LJ9250	NB	None	6	4	1	0	0	1	100	0	0
65	LJ9250	NB	None	6	5	13	2	0	15	86.66666667	13.33333333	0
66	LJ9250	NB	None	6	6	1	0	0	1	100	0	0
67	LJ9250	NB	DMSO	6	7	1	0	0	1	100	0	0
68	LJ9250	NB	DMSO	6	8	1	0	0	1	100	0	0
69	LJ9250	NB	DMSO	6	9	6	1	3	10	60	10	30
70	LJ9250	NB	DMSO	6	10	1	0	0	1	100	0	0
71	LJ9250	NB	DMSO	6	11	7	1	2	10	70	10	20
72	LJ9250	NB	DMSO	6	12	1	0	0	1	100	0	0
73	LJ9250	Syncom	None	7	1	1	0	0	1	100	0	0
74	LJ9250	Syncom	None	7	2	1	0	0	1	100	0	0
75	LJ9250	Syncom	None	7	3	1	0	0	1	100	0	0
76	LJ9250	Syncom	None	7	4	15	0	0	15	100	0	0
77	LJ9250	Syncom	None	7	5	1	0	0	1	100	0	0
78	LJ9250	Syncom	None	7	6	20	1	0	21	95.23809524	4.761904762	0
79	LJ9250	Syncom	DMSO	7	7	1	0	0	1	100	0	0
80	LJ9250	Syncom	DMSO	7	8	1	0	0	1	100	0	0
81	LJ9250	Syncom	DMSO	7	9	6	1	3	10	60	10	30
82	LJ9250	Syncom	DMSO	7	10	1	0	0	1	100	0	0
83	LJ9250	Syncom	DMSO	7	11	7	1	2	10	70	10	20
84	LJ9250	Syncom	DMSO	7	12	1	0	0	1	100	0	0
85	LJ9250	Syncom	Methyl-Cytrate	8	1	1	0	0	1	100	0	0
86	LJ9250	Syncom	Methyl-Cytrate	8	2	1	0	0	1	100	0	0
87	LJ9250	Syncom	Methyl-Cytrate	8	3	1	0	0	1	100	0	0
88	LJ9250	Syncom	Methyl-Cytrate	8	4	1	0	0	1	100	0	0
89	LJ9250	Syncom	Methyl-Cytrate	8	5	1	0	0	1	100	0	0
90	LJ9250	Syncom	Methyl-Cytrate	8	6	1	0	0	1	100	0	0
91	LJ9250	Syncom	Citrulline	8	7	1	0	0	1	100	0	0
92	LJ9250	Syncom	Citrulline	8	8	1	0	0	1	100	0	0
93	LJ9250	Syncom	Citrulline	8	9	1	0	0	1	100	0	0
94	LJ9250	Syncom	Citrulline	8	10	1	0	0	1	100	0	0
