	Treatment	Dosis	Replicates	CCL	complexity	Steele_cell_n	Endodermis_cell_n	CCL1_cell_n	CCL2_cell_n	CCL3_n_cell	CCL4_n_cell	Exodermis_n_cell	Epidermis_n_cell	Aerenchyma_mean_area	Aerenchyma_n	Aerenchyma_total_area	Steele	Endodermis	CCL1	CCL2	CCL3	CCL4	Exodermis	Epidermis	Max_diameter
5	Syncom	Control	1	7	6.714285714	7	8	7	7	5	0	18	28	369.6752143	7	2587.72651	4.655728571	2.374312857	10.70514357	1.699995	13.2604	0	24.80417333	9.890129524	137.49331
6	Syncom	Control	2	7	6.428571429	7	7	7	7	3	0	16	23	430.2382786	7	3011.66795	4.743414286	3.571141429	11.87545571	10.40165143	5.85742381	0	27.10387208	13.30578299	150.26925
7	Syncom	Control	3	7	6.714285714	7	7	7	7	5	0	14	33	297.4043214	7	2081.83025	4.442632857	2.919862857	10.16395429	6.920782857	5.631599143	0	18.2324755	7.941642083	117.5952233
8	Syncom	Control	4	7	6.714285714	7	7	7	7	5	0	16	24	331.1663929	7	2318.16475	4.558401429	4.061051429	10.06731857	7.064185714	6.443082857	0	19.19328176	10.23675199	123.4072675
1	NB	NB	1	5	5.285714286	7	7	7	2	0	0	15	22	258.7857786	7	1811.14461	4.62389	14.98679	7.335794286	11.27591071	0	0	23.96310643	11.4799264	148.4592575
2	NB	NB	2	7	6	7	7	7	7	0	0	17	30	665.5664857	7	4659.1012	5.954808571	3.735382857	16.95018143	9.620371429	0	0	43.95501571	13.20104667	187.83377
3	NB	NB	3	6	6	7	7	7	7	0	0	16	18	230.23829	7	247.86239	3.97984	3.214765714	10.40005286	6.790491429	0	0	19.54704706	37.62710555	125.7955475
4	NB	NB	4	6	5.857142857	7	7	7	6	0	0	15	49	519.0223563	8	3699.53169	6.055448571	3.815498571	14.19995571	8.88972381	0	0	26.30466	16.41889579	156.0259975
9	C5	50mM	1	7	7	7	7	7	7	7	0	21	34	669.6721886	7	4687.73864	4.953017143	3.10867	13.40247571	9.927217143	11.23226714	0	32.52861667	7.162132073	166.1640025
10	C5	50mM	2	7	6.75	7	8	8	8	6	0	20	27	393.8244163	8	3150.59533	5.56174	3.43170375	11.46053	8.5982925	9.540782083	0	22.91951317	10.44190109	143.348515
11	C5	50mM	3	7	7.333333333	7	8	8	7	6	2	25	45	893.7539971	7	6256.60146	6.379385714	3.866594286	18.03833125	10.79032446	8.403200952	14.57852333	21.9994868	8.095588978	186.7913025
12	C5	50mM	4	7	7.142857143	7	7	7	7	7	1	20	34	86.82354833	6	520.94129	5.492907143	3.083867143	14.15220143	8.763068571	11.81640286	0	35.57668536	6.8371775	172.3357775
17	C5	75mM	1	6	6.166666667	6	6	6	6	1	0	15	25	369.83792	6	2219.00099	3.664938333	3.184411667	13.190345	8.772746667	3.980518333	0	29.733682	10.2550632	148.0206033
18	C5	75mM	2	7	7	7	7	7	7	7	0	19	33	743.2544629	7	5202.25814	5.650542857	3.774508571	14.92716714	10.51581	10.96626429	0	80.14658474	8.609492233	180.725325
19	C5	75mM	3	7	7	7	6	6	6	6	0	22	32	682.9097133	6	4097.45827	6.07752	3.38812	12.47501	9.561793333	11.33116833	0	67.38881364	8.397235426	153.8729425
20	C5	75mM	4	7	6.6	7	6	6	5	3	0	16	29	545.6855567	6	3275.53954	4.808947143	2.80271619	14.85977333	10.01836733	5.526189333	0	70.52603188	9.933475711	163.9052075
21	C5	25nM	1	7	6.857142857	7	7	7	7	6	0	17	26	275.6503757	7	1929.55261	6.1229675	3.659453929	8.450217143	7.238094286	6.86098881	0	22.9494801	23.3805672	128.492375
22	C5	25nM	2	7	6.833333333	7	7	7	6	5	0	17	29	599.2638786	7	4192.55615	6.378282857	4.269175714	12.15684	10.52217143	9.125563333	0	32.48877222	10.34747272	175.6530475
23	C5	25nM	3	7	6.833333333	7	7	7	6	5	0	20	26	312.7640783	6	1876.66898	4.706671429	3.154837143	9.947157143	6.029117619	6.051088667	0	19.54999	9.089312231	120.9130575
24	C5	25nM	4	6	6.428571429	6	7	7	7	3	0	14	27	351.0855671	7	2457.59897	4.824271429	2.757991429	11.34292	8.098222857	7.246487619	0	28.38433595	8.352341085	143.8333825
13	C4	25nM	1	6	6	7	7	7	6	0	0	11	21	199.3732529	7	1395.61278	4.111478571	2.400985714	11.94108429	8.646109762	0	0	26.02985417	6.748438654	123.44918
14	C4	25nM	2	6	6.142857143	7	7	7	7	1	0	14	24	275.7957629	7	1930.57035	4.385585714	2.990981429	13.08241286	8.01784	3.55651	0	57.73412308	9.817121506	137.5597375
15	C4	25nM	3	7	6.571428571	7	7	7	7	4	0	18	32	438.2015129	7	3067.41059	6.354752857	3.330098571	13.80844429	9.34438	9.825234286	0	69.33402722	8.463937626	157.0417025
16	C4	25nM	4	7	7	8	8	8	8	8	0	24	37	307.39045	8	2459.02514	6.61918875	3.34315125	10.02945625	6.74296625	8.3635475	0	58.83279708	8.222548863	138.28966
25	C4	50mM	1	7	6.833333333	10	7	6	6	5	0	23	39	1067.484228	6	6404.90536	5.30159	2.724314286	16.97050405	12.43279833	8.716797333	0	33.21715426	11.33634674	183.12528
