	Experiment	Time	Time2	Plate	nr	Sample	Microbe	Compound	Compound2	Value	Relative	Slope
1	1	T0	0	P1	1	X1	A3	Control	Control	0.398	1	1.115230985
37	1	T1	1	P1	1	X1	A3	Control	Control	0.247	0.620603015	1.197988065
73	1	T2	2	P1	1	X1	A3	Control	Control	0.709	1.781407035	3.782134641
109	1	T3	3	P1	1	X1	A3	Control	Control	0.858	2.155778894	1.988674354
145	1	T4	4	P1	1	X1	A3	Control	Control	0.899	2.25879397	-16.07451475
181	1	T5	5	P1	1	X1	A3	Control	Control	0.863	2.168341709	4.732601316
217	1	T6	6	P1	1	X1	A3	Control	Control	0.856	2.150753769	3.992233766
253	1	T0	0	P1	1	X2	A12	Control	Control	0.367	1	1.109553315
289	1	T1	1	P1	1	X2	A12	Control	Control	0.264	0.719346049	1.12653877
325	1	T2	2	P1	1	X2	A12	Control	Control	0.731	1.991825613	4.592840505
361	1	T3	3	P1	1	X2	A12	Control	Control	0.843	2.297002725	-21.14055288
397	1	T4	4	P1	1	X2	A12	Control	Control	0.817	2.226158038	235.9285733
433	1	T5	5	P1	1	X2	A12	Control	Control	0.818	2.228882834	4.468336865
469	1	T6	6	P1	1	X2	A12	Control	Control	0.82	2.234332425	3.54872709
505	1	T0	0	P1	1	X3	A17A	Control	Control	0.394	1	1.006345532
541	1	T1	1	P1	1	X3	A17A	Control	Control	0.247	0.626903553	1.006569009
577	1	T2	2	P1	1	X3	A17A	Control	Control	0.778	1.974619289	2.833347267
613	1	T3	3	P1	1	X3	A17A	Control	Control	0.981	2.489847716	-6.954470473
649	1	T4	4	P1	1	X3	A17A	Control	Control	0.95	2.411167513	-6.873601071
685	1	T5	5	P1	1	X3	A17A	Control	Control	0.874	2.218274112	4.429811256
721	1	T6	6	P1	1	X3	A17A	Control	Control	0.897	2.276649746	3.646184614
757	1	T0	0	P1	1	X4	A17B	Control	Control	0.389	1	1.682670953
793	1	T1	1	P1	1	X4	A17B	Control	Control	0.276	0.709511568	1.935307416
829	1	T2	2	P1	1	X4	A17B	Control	Control	0.476	1.223650386	2.29000457
865	1	T3	3	P1	1	X4	A17B	Control	Control	0.678	1.742930591	1.961057933
901	1	T4	4	P1	1	X4	A17B	Control	Control	0.811	2.084832905	-5.885022669
