"Observed" "Chao1" "se.chao1" "Shannon" "Simpson"
"P01.bc10" 106 106 0.248817960281187 1.8080281697068 0.679332239102711
"P01.bc11" 2 2 0 0.00812770736679667 0.0020618534742125
"P01.bc12" 199 199.2 0.621378180638405 4.0643351053604 0.96022889025471
"P01.bc13" 233 233.142857142857 0.48690708032574 3.64660184209162 0.917867243882317
"P01.bc14" 111 116 6.03666062916611 2.20416215931615 0.790688229230077
"P01.bc15" 59 59 0 2.09611986031588 0.778310475172008
"P01.bc16" 85 85 0.248525060873854 2.29289813676708 0.795530792400816
"P01.bc17" 95 98 4.17567054373258 2.93408314222432 0.903453642257329
"P01.bc18" 90 90 0 2.55801324867193 0.877893129650037
"P01.bc19" 72 72 0.248257818496104 2.54270697570415 0.833104212910257
"P01.bc1" 5 5 0.447213595499958 0.0153155329577829 0.00377279240894346
"P01.bc21" 79 79 0 2.429717876284 0.858905623238016
"P01.bc22" 87 88.5 2.59317879660976 1.76138101589086 0.658459423269438
"P01.bc23" 47 47 0 2.77508282486452 0.900088984146446
"P01.bc24" 37 37 0.246598480958036 2.92615820699639 0.919549388541375
"P01.bc25" 92 92 0.497275184073821 2.81278410608689 0.88542154529058
"P01.bc26" 49 49 0 2.24486711284074 0.831186163297336
"P01.bc27" 95 95 0 2.86224470115932 0.898489016440614
"P01.bc28" 46 46 0.24726767752342 1.97098664477109 0.719886351971808
"P01.bc29" 57 57 0 1.547137025374 0.564695066740428
"P01.bc2" 171 186.6 11.6483004478171 2.8539105643731 0.889648302751652
"P01.bc30" 1 1 0 0 0
"P01.bc31" 103 103.333333333333 0.925263801491046 3.01776937888513 0.905975615407883
"P01.bc32" 89 89 0 2.76477466327555 0.883982046810443
"P01.bc33" 118 128.5 10.5649740673038 2.58897869008137 0.87771310147025
"P01.bc34" 50 50 0.247487373415292 1.97359727803865 0.726354141235352
"P01.bc35" 90 90 0.248607231502938 2.39073557008506 0.806059536507461
"P01.bc36" 2 2 0 0.00622228434694761 0.00151998696083044
"P01.bc37" 73 73 0.496563533161421 1.84668948662591 0.704319722175509
"P01.bc38" 28 28 0 2.64983249552467 0.904704223752616
"P01.bc39" 1 1 0 0 0
"P01.bc40" 70 70 0.124103931099243 2.66243529747129 0.901633463147991
"P01.bc42" 64 64 0 2.13559675469534 0.792315258505682
"P01.bc43" 67 67 0 2.69120495195601 0.895563095246668
"P01.bc44" 108 109 1.81636574114536 3.97680498598844 0.96999885510348
"P01.bc45" 62 62 0.247975675185835 1.63030768808871 0.578146954570636
"P01.bc46" 202 202 0 2.99837241757118 0.761288987242282
"P01.bc47" 2 2 0 0.00557956882537767 0.00134273185453049
"P01.bc49" 1 1 0 0 0
"P01.bc4" 3 3 0 0.0112502549771894 0.00273483095947313
"P01.bc50" 61 61 0 2.01357223297053 0.750034463151235
"P01.bc52" 1 1 0 0 0
"P01.bc53" 114 114 0 2.39150242583848 0.824740755035568
"P01.bc54" 83 84.5 2.59294673702818 1.92551781626753 0.685627677467213
"P01.bc55" 88 89 2.33560616966459 2.40412511861867 0.835718141027941
"P01.bc56" 94 97.3333333333333 4.12475752507009 3.31405107796911 0.935748894977381
"P01.bc5" 122 128 7.3824115301167 2.44131739394918 0.823971128578182
"P01.bc64" 280 280 0.0831843907060865 3.68314723464557 0.903884178324606
"P01.bc6" 147 147.333333333333 0.925572246847843 3.24800865546155 0.857565266979101
"P01.bc73" 106 106 0.248817960281187 2.72114902027485 0.876218928130493
"P01.bc74" 195 197 2.58570847638961 3.4765672242066 0.916093921539486
"P01.bc75" 71 77 7.35994776943635 2.47361973180744 0.820875243604104
"P01.bc76" 75 75.5 1.29616729972414 2.01350490793105 0.742644727646844
"P01.bc77" 87 87 0 2.39551769937152 0.82865464195509
"P01.bc78" 3 3 0 0.477944173086005 0.257489812899467
"P01.bc79" 82 82 0.496941867336809 2.60790159441043 0.876903521740605
"P01.bc7" 148 148.25 0.736417017176534 2.62951375170688 0.845510433966874
"P01.bc80" 100 100 0 2.28755286735172 0.7370500399811
"P01.bc81" 100 105 6.03560862122217 1.95855080577389 0.666002855637847
"P01.bc82" 49 49 0.164957219768465 2.78685525323394 0.904005606342819
"P01.bc83" 161 161 0.249222393139613 2.95465565609787 0.811710263334147
"P01.bc84" 319 319.666666666667 1.1468330529641 3.7601304850534 0.938787689176097
"P01.bc85" 78 78 0.49678453256404 2.61657480275312 0.877991128952609
"P01.bc86" 1 1 0 0 0
"P01.bc88" 109 109 0.124425284312099 2.87138417648279 0.902176311212948
"P01.bc89" 181 181.166666666667 0.543429844600143 3.11527687822254 0.914591758135669
"P01.bc8" 160 160 0 2.91460343332529 0.884835467806696
"P01.bc91" 93 93 0 2.3552655535233 0.781933535307708
"P01.bc92" 135 135.5 1.29743928894075 3.05028207194911 0.895665970144656
"P01.bc93" 80 80 0 2.68984597577846 0.882027472396707
"P01.bc94" 102 102 0.248771491336851 2.89127366373844 0.906201768787495
"P01.bc95" 2 2 0 0.00558253776206872 0.00134354366265654
"P01.bc9" 71 72 2.33333333333333 2.58258496317158 0.88014065221609
"P02.bc10" 121 121 0 2.91860642437735 0.88991656363027
"P02.bc12" 216 216 0 3.86416411229562 0.955251009104487
"P02.bc13" 18 18 0 2.24182850851244 0.843008809467202
"P02.bc14" 109 109 0 2.16707704218532 0.749120442403438
"P02.bc17" 93 94 2.33611789268235 1.52032935793088 0.479151229454824
"P02.bc18" 46 46 0 2.76277814985722 0.895886546127751
"P02.bc19" 197 199.5 3.16103905698735 1.79015882088078 0.565912223920483
"P02.bc1" 1 1 0 0 0
"P02.bc20" 43 43 0 2.75659594159354 0.896546147736924
"P02.bc22" 2 2 0 0.00525132090065907 0.00125339411751546
"P02.bc24" 87 87 0 1.95648433057077 0.695570625986838
"P02.bc25" 39 39 0 0.142989669454923 0.0380992289784282
"P02.bc26" 99 99 0 2.58820568625849 0.88028929163536
"P02.bc27" 108 108 0 2.19231576781943 0.754930657222492
"P02.bc29" 88 88 0 2.73872115148216 0.880140496821024
"P02.bc2" 128 128 0 2.22759066079552 0.746523717261184
"P02.bc30" 227 228 1.81728086618131 3.38166056713569 0.910391252750849
"P02.bc31" 86 86.5 1.29653272609163 2.57866110794845 0.851273121463554
"P02.bc32" 91 91.5 1.29666975711489 2.11518190086113 0.798194494253387
"P02.bc33" 243 243 0 3.03934056646658 0.837345111298431
"P02.bc34" 68 68 0 2.53725264699958 0.883104540293063
"P02.bc35" 73 73 0 2.38507157898026 0.7553131089091
"P02.bc36" 28 28 0 2.12056723489088 0.781682888218697
"P02.bc37" 54 54 0 2.49601033285572 0.874886443023053
"P02.bc38" 92 92 0 2.51899232893545 0.845109078801254
"P02.bc39" 298 298.333333333333 0.758715797688759 3.87479728787993 0.942468798898072
"P02.bc3" 44 44 0 2.78306142319663 0.89668302860201
"P02.bc40" 124 124 0.24898989485908 2.68837469579292 0.883987194642386
"P02.bc43" 77 77.3333333333333 0.924916435653339 2.81840293667835 0.876904229043338
"P02.bc45" 75 75 0 2.78039237210981 0.895153600291844
"P02.bc46" 81 81 0.496903994999953 2.35541674423965 0.828284194826227
"P02.bc47" 84 87 4.63866806091041 2.24200704949218 0.783199187973332
"P02.bc48" 1 1 0 0 0
"P02.bc49" 123 123.2 0.621234631626785 1.96747510457719 0.708879235674973
"P02.bc4" 1 1 0 0 0
"P02.bc50" 35 35 0 2.2567904000971 0.805540671852824
"P02.bc51" 57 57 0 2.88698248331338 0.923279713540018
"P02.bc52" 49 49 0.494871659305394 1.52210726769029 0.567576642820336
"P02.bc54" 78 78 0 2.75953420173895 0.897043627935284
"P02.bc55" 1 1 0 0 0
"P02.bc56" 1 1 0 0 0
