	Seqs	Plate	Pos	Plate	Colunm	Row	PlatePos	ID	Compartment	Specie	Subsample	Specie	Complexity	Nroot	Plant
P01.bc96	390	P1	bc96	1	12	H	H12	BLANK	BLANK	BLANK	1	BLANK	BLANK	BLANK	BLANK
P02.bc96	1708	P2	bc96	2	12	H	H12	BLANK	BLANK	BLANK	2	BLANK	BLANK	BLANK	BLANK
P03.bc96	3967	P2	bc96	3	12	H	H12	BLANK	BLANK	BLANK	3	BLANK	BLANK	BLANK	BLANK
P04.bc20	7281	P4	bc20	4	3	D	D3	BLANK	BLANK	BLANK	4	BLANK	BLANK	BLANK	BLANK
P01.bc44	8314	P1	bc44	1	6	D	D6	Inom1	Inoculum	Inoculum	1	Inoculum	Inoculum	Inoculum	Inom1
P03.bc51	21407	P2	bc51	3	7	C	C7	Inom3	Inoculum	Inoculum	2	Inoculum	Inoculum	Inoculum	Inom3
P03.bc79	21781	P2	bc79	3	10	G	G10	Inom4	Inoculum	Inoculum	3	Inoculum	Inoculum	Inoculum	Inom4
P04.bc18	6319	P4	bc18	4	3	B	B3	Inom5	Inoculum	Inoculum	4	Inoculum	Inoculum	Inoculum	Inom5
P01.bc41	31400	P1	bc41	1	6	A	A6	L106	Front	Spirodela_Intermedia_7820	1	SI7820	6	3.5	106
P03.bc78	16746	P2	bc78	3	10	F	F10	L107	Front	Spirodela_Intermedia_7820	2	SI7820	7	3.6	107
P03.bc42	41199	P2	bc42	3	6	B	B6	L108	Front	Spirodela_Intermedia_7820	3	SI7820	7	2	108
P02.bc80	5064	P2	bc80	2	10	H	H10	L109	Front	Spirodela_Intermedia_7820	4	SI7820	7	3	109
P03.bc4	47317	P2	bc4	3	1	D	D1	L110	Front	Spirodela_Intermedia_7820	5	SI7820	7	2	110
P03.bc55	19465	P2	bc55	3	7	G	G7	L112	Front	Spirodela_Intermedia_9227	1	SI9227	8	3	112
P03.bc67	4540	P2	bc67	3	9	C	C9	L113	Front	Spirodela_Intermedia_9227	2	SI9227	8	1.866666667	113
P03.bc29	38655	P2	bc29	3	4	E	E4	L114	Front	Spirodela_Intermedia_9227	3	SI9227	7	2.25	114
P03.bc17	48858	P2	bc17	3	3	A	A3	L116	Front	Spirodela_polyrhiza_9509	1	SP9509	7	2.666666667	116
P03.bc12	35577	P2	bc12	3	2	D	D2	L117	Front	Spirodela_polyrhiza_9509	2	SP9509	7	4.75	117
P01.bc51	28208	P1	bc51	1	7	C	C7	L118	Front	Spirodela_polyrhiza_9509	3	SP9509	7	4.2	118
P02.bc66	2286	P2	bc66	2	9	B	B9	L119	Front	Spirodela_polyrhiza_9509	4	SP9509	7	2.5	119
P03.bc65	55782	P2	bc65	3	9	A	A9	L120	Front	Spirodela_polyrhiza_9509	5	SP9509	7	3.25	120
