														SI7820
ID	Name	Formula	Calc. MW	m/z	RT [min]	Reference Ion	Annot. Source: Predicted Compositions	Annot. Source: mzCloud Search	mzCloud Best Match	mzCloud Best Match Confidence	Annot. Source: ChemSpider Search	# ChemSpider Results	Annot. Source: MassList Search	 Area: 1 (F1)
1	γ-Linolenic acid ethyl ester	C20 H34 O2	312.26627	313.27354	4.907	[M+H]+1	No match	Invalid mass	57.3	7.9	No results	0	No results	4.44E+06
2	α-Cyano-4-hydroxycinnamic acid	C10 H7 N O3	143.03737	188.03557	7.448	[M+FA-H]-1	No match	Invalid mass	84.6	49.8	No results	0	No results	2.88E+07
3	α-Cyano-4-hydroxycinnamic acid	C10 H7 N O3	189.04284	188.03557	7.446	[M-H]-1	Full match	Full match	84.6	49.8	Partial match	6	No results	2.88E+07
4	α-Cyano-4-hydroxycinnamic acid	C10 H7 N O3	207.05346	188.03561	7.456	[M-H-H2O]-1	No match	Invalid mass	84.6	49.8	No match	6	No results	2.88E+07
5	Î³-Glu-Gly	C7 H12 N2 O5	204.07476	205.08202	11.533	[M+H]+1	Full match	Invalid mass			Full match	6	No results	1.64E+08
6	{2-[(2E)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid	C12 H18 O4	226.12067	225.1134	4.238	[M-H]-1	Full match	No results			Full match	5	No results	1.38E+07
7	YU0650000	C7 H8 N2 O	136.06307	135.05617	4.749	[M-H]-1	Full match	No results			Full match	6	No results	1.11E+06
8	Xylitol	C5 H12 O5	152.06877	151.06149	11.579	[M-H]-1	Full match	No results			Full match	8	No results	1.11E+05
9	XM8330200	C5 H4 O2 S	127.99349	126.98622	14.833	[M-H]-1	Full match	No results			Full match	1	No results	4.40E+06
10	Vitexin	C21 H20 O10	432.10544	431.09837	9.241	[M-H]-1	Not the top hit	Full match	90.7	58.3	Not the top hit	20	No results	8.39E+05
11	Vanillin	C8 H8 O3	152.04735	153.05463	4.762	[M+H]+1	Full match	No results			Full match	39	No results	8.72E+06
12	UX9465930	C6 H9 N	95.07353	96.08076	23.204	[M+H]+1	Full match	No results			Full match	1	No results	1.33E+06
13	ureidoglycolic acid	C3 H6 N2 O4	134.03279	135.04007	7.273	[M+H]+1	Full match	No results			Full match	3	No results	7.60E+05
14	UNII:U48N53PWSE	C10 H14 O3	182.09479	387.17993	4.03	[2M+Na]+1	No results	No results			Full match	23	No results	9.93E+05
15	Undecanedioic acid	C11 H20 O4	216.13629	217.14344	3.611	[M+H]+1	Full match	No results			Full match	2	No results	9.40E+05
16	UDP-Glucose	C15 H24 N2 O17 P2	566.0558	565.04852	13.419	[M-H]-1	Full match	No results			Partial match	7	Full match	9.88E+04
17	Tyramine	C8 H11 N O	137.0842	136.07708	4.744	[M-H]-1	Full match	No results			Full match	14	No results	2.73E+06
18	Tyramine	C8 H11 N O	137.08437	136.07716	7.46	[M-H]-1	Full match	No results			Full match	14	No results	6.26E+06
19	Trolox	C14 H18 O4	250.12052	251.1278	3.627	[M+H]+1	Full match	No results			Full match	11	No results	1.23E+07
20	Trinexapac-ethyl	C13 H16 O5	252.09974	253.10702	4.162	[M+H]+1	Full match	No results			Full match	6	No results	5.51E+06
21	trimetozine	C14 H19 N O5	281.12656	282.13384	3.619	[M+H]+1	No results	No results			Full match	2	No results	4.08E+05
22	Triethylene glycol monomethyl ether	C7 H16 O4	164.10508	165.11221	4.751	[M+H]+1	Full match	No results			Full match	2	No results	4.55E+05
23	Triethylene glycol monomethyl ether	C7 H16 O4	164.10488	165.11218	5.906	[M+H]+1	Full match	No results			Full match	2	No results	3.75E+05
24	Triethyl phosphate	C6 H15 O4 P	182.07076	183.07804	4.121	[M+H]+1	Full match	Full match	82.2	51.4	Full match	2	No results	7.18E+05
25	Triethanolamine	C6 H15 N O3	149.10524	150.11252	10.939	[M+H]+1	Full match	Full match	99.1	97	Full match	1	No results	1.11E+08
26	Triethanolamine	C6 H15 N O3	149.1052	150.11248	9.789	[M+H]+1	Full match	Full match	97.1	88.9	Full match	1	No results	8.11E+07
27	trans-Aconitate	C6 H6 O6	174.01666	173.00938	14.681	[M-H]-1	Full match	No results			Partial match	8	Full match	1.78E+07
28	trans-2-Dodecenoylcarnitine	C19 H35 N O4	341.25629	342.26355	4.75	[M+H]+1	Full match	No results			Full match	1	No results	3.04E+06
29	trans-2-Dodecenoylcarnitine	C19 H35 N O4	341.25634	342.26356	7.453	[M+H]+1	Full match	No results			Full match	1	No results	1.37E+06
30	trans-2-Dodecenoylcarnitine	C19 H35 N O4	341.25631	342.26359	3.956	[M+H]+1	Full match	No results			Full match	1	No results	1.36E+07
31	trans-10-Heptadecenoic Acid	C17 H32 O2	268.24009	267.23281	3.434	[M-H]-1	Full match	Full match	72.6	8.6	Partial match	7	No results	6.90E+07
32	TI1100000	C20 H30 O4	334.21417	335.22148	3.575	[M+H]+1	Full match	No results			Full match	36	No results	1.79E+07
33	Thymine	C5 H6 N2 O2	126.04295	127.05021	4.817	[M+H]+1	Full match	Full match	82	9.1	Full match	3	No results	3.85E+07
34	THTC	C5 H8 O2 S	132.02458	150.05842	11.019	[M+NH4]+1	Full match	No results			Full match	2	No results	4.17E+06
35	THREONIC ACID, L-	C4 H8 O5	136.0375	135.03022	10.968	[M-H]-1	Full match	No results			Full match	4	No results	4.63E+06
36	THREONIC ACID, L-	C4 H8 O5	136.03749	135.03022	10.695	[M-H]-1	Full match	No results			Full match	7	No results	1.47E+07
37	THREO-SPHINGOSINE, (-)-	C18 H37 N O2	299.28235	332.31583	7.468	[M+H+MeOH]+1	Full match	No results			Full match	6	No results	2.14E+05
38	Thiophene	C4 H4 S	84.00334	82.99607	14.843	[M-H]-1	Full match	No results			Full match	1	No results	2.09E+06
39	Theophylline	C7 H8 N4 O2	180.06494	179.05772	7.407	[M-H]-1	Full match	No results			Full match	3	No results	2.06E+05
40	Theophylline	C7 H8 N4 O2	180.06484	181.07199	6.046	[M+H]+1	Full match	No results			Full match	3	No results	6.05E+05
41	Theophylline	C7 H8 N4 O2	180.06367	179.05638	11.084	[M-H]-1	No match	Invalid mass	54.3	7.7	No match	104	No match	2.13E+07
42	Tetrahydrocortisone	C21 H32 O5	364.22483	365.23234	3.557	[M+H]+1	Full match	No results			Full match	9	No results	8.88E+06
43	tenivastatin	C25 H40 O6	436.28234	437.28966	3.466	[M+H]+1	No results	No results			Full match	1	No results	3.20E+06
44	Sucrose	C12 H22 O11	342.11614	341.10908	13.005	[M-H]-1	Full match	Full match	86	71.6	Partial match	73	Full match	3.93E+06
45	Succinimide	C4 H5 N O2	99.03232	158.04617	4.746	[M-H+HAc]-1	Full match	No results			Full match	3	No results	1.76E+06
46	Succinic acid	C4 H6 O4	118.02688	117.01961	12.787	[M-H]-1	Full match	No results			Full match	9	No results	1.20E+07
47	Succinic acid	C4 H6 O4	118.02689	117.01962	15.008	[M-H]-1	Full match	No results			Full match	9	No results	1.22E+07
48	Suberic acid	C8 H14 O4	174.08939	173.08219	4.744	[M-H]-1	Full match	Full match	59.6	61.1	Full match	8	No results	6.81E+06
49	Stiripentol	C14 H18 O3	234.12556	235.13276	3.584	[M+H]+1	Full match	No results			Full match	13	No results	1.29E+07
50	Stearidonoyl glycine	C20 H31 N O3	345.25131	346.25857	9.453	[M+H]+1	No match	Invalid mass	88.5	9.4	No match	1	No results	4.58E+06
51	Stearidonoyl glycine	C20 H31 N O3	345.25127	346.25855	10.107	[M+H]+1	No match	Invalid mass	85.5	9.3	No match	1	No results	1.14E+06
52	Stearic acid	C18 H36 O2	284.27147	283.26419	3.414	[M-H]-1	Full match	Full match	97.4	9.9	Full match	5	Full match	4.31E+09
53	Stearic acid	C18 H36 O2	284.27147	283.26419	3.869	[M-H]-1	Full match	Full match	97.4	9.9	Full match	5	Full match	4.34E+08
54	Stearic acid	C18 H36 O2	284.27144	283.26417	4.437	[M-H]-1	Full match	Full match	97.4	9.9	Full match	5	Full match	3.91E+08
55	ST2975000	C6 H7 N3 O2	153.05386	154.06113	4.749	[M+H]+1	Full match	No results			Full match	2	No results	8.72E+06
56	ST2975000	C6 H7 N3 O2	153.05381	154.06109	7.691	[M+H]+1	Full match	No results			Full match	2	No results	3.57E+06
57	ST2975000	C6 H7 N3 O2	153.05386	154.06113	5.945	[M+H]+1	Full match	No results			Full match	2	No results	5.35E+06
58	sn-Glycero-3-Phosphocholine	C8 H20 N O6 P	257.10293	258.11021	12.336	[M+H]+1	Full match	No results			Partial match	3	Full match	3.05E+07
59	shinanolone	C11 H12 O3	192.07859	251.09244	4.154	[M-H+HAc]-1	Full match	No results			Full match	31	No results	1.14E+06
60	Sebacic acid	C10 H18 O4	202.12055	203.12781	3.687	[M+H]+1	Full match	No results			Full match	9	No results	6.65E+06
61	Salicylic acid, 5-nitro-	C7 H5 N O5	183.01707	182.0098	11.642	[M-H]-1	Full match	No results			Full match	1	No results	3.63E+06
62	salicylamide	C7 H7 N O2	137.04799	196.06185	4.506	[M-H+HAc]-1	Full match	No results			Full match	15	No results	8.96E+06
63	Safingol	C18 H39 N O2	301.29806	302.30533	6.251	[M+H]+1	Full match	No results			Full match	3	No results	9.76E+05
64	Rizatriptan	C15 H19 N5	269.16303	270.17031	9.494	[M+H]+1	No results	No results			Full match	2	No results	3.64E+05
65	Ricinoleic Acid	C18 H34 O3	298.25082	279.23299	3.436	[M-H-H2O]-1	Full match	No results			Full match	15	No results	1.22E+08
66	Ricinoleic Acid	C18 H34 O3	298.25087	297.24358	3.889	[M-H]-1	Full match	No results			Full match	15	No results	2.11E+07
67	Rehmaionoside C	C19 H32 O8	388.20988	387.20264	4.736	[M-H]-1	Full match	No results			Not the top hit	3	No results	3.10E+06
68	Quwenzhi	C11 H21 N O3	215.15212	216.1594	11.537	[M+H]+1	Full match	No results			Full match	2	No results	2.41E+08
69	Quinolinic acid	C7 H5 N O4	167.02212	166.01485	12.882	[M-H]-1	Full match	No results			Full match	6	No results	7.47E+07
70	pyroglutamylglycine	C7 H10 N2 O4	186.06411	187.07139	10.85	[M+H]+1	Full match	No results			Full match	3	No results	5.42E+07
71	pyroglutamylglycine	C7 H10 N2 O4	186.06429	185.05708	4.821	[M-H]-1	Full match	No results			Full match	3	No results	8.47E+06
72	pyroglutamylglycine	C7 H10 N2 O4	186.06414	187.07142	6.073	[M+H]+1	Full match	No results			Full match	3	No results	1.32E+07
73	Pyridoxal	C8 H9 N O3	167.05832	168.06556	4.753	[M+H]+1	Full match	No results			Full match	12	No results	1.76E+07
74	Pyridoxal	C8 H9 N O3	167.05835	168.06558	7.487	[M+H]+1	Full match	No results			Full match	12	No results	2.39E+07
75	Protocatechuic aldehyde	C7 H6 O3	138.03179	139.03905	12.039	[M+H]+1	Full match	No results			Full match	11	No results	1.84E+07
76	Protocatechuic acid	C7 H6 O4	154.02692	153.01964	7.464	[M-H]-1	Full match	No results			Full match	10	No results	1.48E+06
77	Protocatechuic acid	C7 H6 O4	154.02694	153.01966	13.016	[M-H]-1	Full match	No results			Full match	10	No results	3.11E+06
78	Propyl (9E)-12-hydroxy-9-octadecenoate	C21 H40 O3	340.29731	341.30458	3.871	[M+H]+1	Full match	No results			Full match	2	No results	6.06E+05
79	Propyl (9E)-12-hydroxy-9-octadecenoate	C21 H40 O3	340.29746	341.30473	5.026	[M+H]+1	Full match	No results			Full match	2	No results	4.43E+06
80	propionylcarnitine	C10 H19 N O4	217.13146	218.13874	12.391	[M+H]+1	Full match	No results			Full match	2	No results	1.24E+08
81	Propionic acid	C3 H6 O2	74.03683	73.02946	7.457	[M-H]-1	Full match	No results			Full match	9	No results	1.33E+08
82	Proline	C5 H9 N O2	115.06335	116.07062	11.729	[M+H]+1	Full match	Full match	99.7	10	Partial match	8	Full match	1.45E+08
83	Pregabalin	C8 H17 N O2	159.12594	160.13321	11.813	[M+H]+1	Full match	No results			Full match	3	No results	6.22E+05
84	Pivagabine	C9 H17 N O3	187.12089	188.12816	11.558	[M+H]+1	Full match	No results			Full match	4	No results	1.16E+09
85	Piperidione	C9 H15 N O2	169.11035	202.14384	11.588	[M+H+MeOH]+1	Full match	No results			Full match	4	No results	1.72E+09
